feature,window,n_games,n_nonnull,pct_nonnull,n_measured,pct_measured,n_default_zero,status
is_home,current,96,96,100.0,96,100.0,0,OK
win_pct_diff,current,96,96,100.0,96,100.0,0,OK
elo_diff,current,96,96,100.0,96,100.0,0,OK
rest_days_diff,current,96,96,100.0,96,100.0,0,OK
sp_era_diff,current,96,94,97.9,94,97.9,0,OK
sp_era_5g_diff,current,96,94,97.9,94,97.9,0,OK
sp_k9_diff,current,96,94,97.9,94,97.9,0,OK
sp_k9_5g_diff,current,96,94,97.9,94,97.9,0,OK
sp_fbvelo_diff,current,96,93,96.9,93,96.9,0,OK
sp_fbpct_diff,current,96,94,97.9,94,97.9,0,OK
sp_whiff_diff,current,96,94,97.9,94,97.9,0,OK
sp_xwoba_diff,current,96,94,97.9,94,97.9,0,OK
sp_xwoba_vs_l_diff,current,96,94,97.9,94,97.9,0,OK
lineup_woba_mean_diff,current,96,96,100.0,96,100.0,0,OK
lineup_woba_top3_diff,current,96,96,100.0,96,100.0,0,OK
lineup_woba_std_diff,current,96,96,100.0,96,100.0,0,OK
woba_30g_diff,current,96,96,100.0,96,100.0,0,OK
bullpen_whip_diff,current,96,96,100.0,96,100.0,0,OK
bullpen_whip_3g_diff,current,96,94,97.9,94,97.9,0,OK
bullpen_pitches_diff,current,96,96,100.0,96,100.0,0,OK
team_barrel_diff,current,96,96,100.0,96,100.0,0,OK
team_hardhit_diff,current,96,96,100.0,96,100.0,0,OK
team_exitvelo_diff,current,96,96,100.0,96,100.0,0,OK
lineup_handedness_matchup_advantage,current,96,94,97.9,94,97.9,0,OK
travel_fatigue_diff,current,96,96,100.0,96,100.0,0,OK
closer_availability_diff,current,96,96,100.0,96,100.0,0,OK
dome_is_neutral,current,96,96,100.0,96,100.0,0,OK
park_factor_slug_diff,current,96,96,100.0,96,100.0,0,OK
wind_advantage_flyball_factor,current,96,94,97.9,66,68.8,28,LOW_COVERAGE
air_density_velocity_boost,current,96,93,96.9,93,96.9,0,OK
bullpen_meltdown_risk,current,96,96,100.0,96,100.0,0,OK
pitcher_regression_indicator,current,96,93,96.9,93,96.9,0,OK
lineup_depth_multiplier,current,96,96,100.0,96,100.0,0,OK
ace_efficiency_factor,current,96,94,97.9,94,97.9,0,OK
home_elo,current,96,96,100.0,96,100.0,0,OK
away_elo,current,96,96,100.0,96,100.0,0,OK
home_win_pct,current,96,96,100.0,96,100.0,0,OK
away_win_pct,current,96,96,100.0,96,100.0,0,OK
sp_era_home,current,96,95,99.0,95,99.0,0,OK
sp_era_away,current,96,95,99.0,95,99.0,0,OK
sp_k9_home,current,96,95,99.0,95,99.0,0,OK
sp_k9_away,current,96,95,99.0,95,99.0,0,OK
sp_xwoba_home,current,96,95,99.0,95,99.0,0,OK
sp_xwoba_away,current,96,95,99.0,95,99.0,0,OK
lineup_woba_mean_home,current,96,96,100.0,96,100.0,0,OK
lineup_woba_mean_away,current,96,96,100.0,96,100.0,0,OK
lineup_woba_top3_home,current,96,96,100.0,96,100.0,0,OK
lineup_woba_top3_away,current,96,96,100.0,96,100.0,0,OK
woba_30g_home,current,96,96,100.0,96,100.0,0,OK
woba_30g_away,current,96,96,100.0,96,100.0,0,OK
bullpen_whip_10g_home,current,96,96,100.0,96,100.0,0,OK
bullpen_whip_10g_away,current,96,96,100.0,96,100.0,0,OK
bullpen_whip_3g_home,current,96,94,97.9,94,97.9,0,OK
bullpen_whip_3g_away,current,96,94,97.9,94,97.9,0,OK
team_barrel_15g_home,current,96,96,100.0,96,100.0,0,OK
team_barrel_15g_away,current,96,96,100.0,96,100.0,0,OK
team_exitvelo_15g_home,current,96,96,100.0,96,100.0,0,OK
team_exitvelo_15g_away,current,96,96,100.0,96,100.0,0,OK
lineup_actual_woba_delta_home,current,96,66,68.8,66,68.8,0,LOW_COVERAGE
lineup_actual_woba_delta_away,current,96,66,68.8,66,68.8,0,LOW_COVERAGE
lineup_actual_top3_delta_home,current,96,66,68.8,66,68.8,0,LOW_COVERAGE
lineup_actual_top3_delta_away,current,96,66,68.8,66,68.8,0,LOW_COVERAGE
lineup_rest_count_home,current,96,64,66.7,64,66.7,0,LOW_COVERAGE
lineup_rest_count_away,current,96,64,66.7,64,66.7,0,LOW_COVERAGE
run_margin_diff,current,96,0,0.0,0,0.0,0,STARVED
is_home,baseline,288,288,100.0,288,100.0,0,OK
win_pct_diff,baseline,288,288,100.0,288,100.0,0,OK
elo_diff,baseline,288,288,100.0,288,100.0,0,OK
rest_days_diff,baseline,288,288,100.0,288,100.0,0,OK
sp_era_diff,baseline,288,279,96.9,279,96.9,0,OK
sp_era_5g_diff,baseline,288,283,98.3,283,98.3,0,OK
sp_k9_diff,baseline,288,279,96.9,279,96.9,0,OK
sp_k9_5g_diff,baseline,288,283,98.3,283,98.3,0,OK
sp_fbvelo_diff,baseline,288,283,98.3,283,98.3,0,OK
sp_fbpct_diff,baseline,288,283,98.3,283,98.3,0,OK
sp_whiff_diff,baseline,288,283,98.3,283,98.3,0,OK
sp_xwoba_diff,baseline,288,283,98.3,283,98.3,0,OK
sp_xwoba_vs_l_diff,baseline,288,279,96.9,279,96.9,0,OK
lineup_woba_mean_diff,baseline,288,288,100.0,288,100.0,0,OK
lineup_woba_top3_diff,baseline,288,288,100.0,288,100.0,0,OK
lineup_woba_std_diff,baseline,288,288,100.0,288,100.0,0,OK
woba_30g_diff,baseline,288,288,100.0,288,100.0,0,OK
bullpen_whip_diff,baseline,288,283,98.3,283,98.3,0,OK
bullpen_whip_3g_diff,baseline,288,283,98.3,283,98.3,0,OK
bullpen_pitches_diff,baseline,288,288,100.0,288,100.0,0,OK
team_barrel_diff,baseline,288,288,100.0,288,100.0,0,OK
team_hardhit_diff,baseline,288,288,100.0,288,100.0,0,OK
team_exitvelo_diff,baseline,288,288,100.0,288,100.0,0,OK
lineup_handedness_matchup_advantage,baseline,288,288,100.0,288,100.0,0,OK
travel_fatigue_diff,baseline,288,288,100.0,288,100.0,0,OK
closer_availability_diff,baseline,288,288,100.0,288,100.0,0,OK
dome_is_neutral,baseline,288,288,100.0,288,100.0,0,OK
park_factor_slug_diff,baseline,288,288,100.0,288,100.0,0,OK
wind_advantage_flyball_factor,baseline,288,279,96.9,230,79.9,49,LOW_COVERAGE
air_density_velocity_boost,baseline,288,283,98.3,283,98.3,0,OK
