feature,current_mean,baseline_mean,psi,status
home_elo,1502.2731,1501.3852,0.483223,ALERT
home_win_pct,0.5003,0.4996,1.690009,ALERT
away_win_pct,0.4974,0.4979,1.554157,ALERT
sp_era_home,7.6258,7.4706,0.138563,WARN
sp_era_away,7.4233,7.5097,0.082978,OK
sp_k9_home,5.6867,6.0235,0.49292,ALERT
sp_k9_away,6.0248,6.0085,0.209413,WARN
woba_30g_home,0.3001,0.3039,0.650496,ALERT
woba_30g_away,0.2999,0.3037,0.705863,ALERT
bullpen_whip_10g_home,0.9261,0.9261,1.463643,ALERT
bullpen_whip_10g_away,0.9219,0.9248,0.897847,ALERT
rest_days_home,1.1064,1.6983,0.055083,OK
rest_days_away,1.1277,1.6835,0.055083,OK
sp_era_30g_home,7.6258,7.4706,0.138563,WARN
sp_era_30g_away,7.4233,7.5097,0.082978,OK
sp_k9_30g_home,5.6867,6.0235,0.49292,ALERT
sp_k9_30g_away,6.0248,6.0085,0.209413,WARN
home_run_diff,1.766,0.9801,0.612992,ALERT
away_run_diff,-8.234,1.5324,0.802459,ALERT
