feature,current_mean,baseline_mean,psi,psi_adjusted,noise_floor,mean_shift,shift_se,location_shift,status,weight_pct,n_baseline,n_current
is_home,1.0,1.0,0.0,0.0,0.065217,0.0,0.0,False,OK,,276,92
dome_is_neutral,0.3261,0.3043,0.0,0.0,0.065217,0.021739,0.083711,False,OK,,276,92
park_factor_slug_diff,-0.0001,0.0001,0.13378,0.068563,0.065217,-0.000205,0.000146,False,OK,,276,92
wind_advantage_flyball_factor,0.0023,0.0154,0.078335,0.011544,0.066791,-0.013088,0.055101,False,OK,,268,90
air_density_velocity_boost,0.002,0.0116,0.189711,0.122605,0.067106,-0.009595,0.048781,False,OK,,272,89
home_elo,1502.4757,1504.5038,0.17622,0.111003,0.065217,-2.028072,9.979674,False,OK,,276,92
away_elo,1494.984,1496.697,0.163497,0.09828,0.065217,-1.71302,10.007292,False,OK,,276,92
home_win_pct,0.4988,0.5036,0.256622,0.191405,0.065217,-0.004841,0.011286,False,OK,,276,92
away_win_pct,0.499,0.4985,0.381764,0.316547,0.065217,0.000442,0.011159,False,OK,,276,92
sp_era_home,4.0327,4.0586,0.057664,0.0,0.066056,-0.025873,0.250973,False,OK,,271,91
sp_era_away,3.9873,4.0394,0.04277,0.0,0.065934,-0.052048,0.240044,False,OK,,273,91
sp_k9_home,8.4412,8.7116,0.096256,0.0302,0.066056,-0.270433,0.319582,False,OK,,271,91
sp_k9_away,8.9021,8.6358,0.092989,0.027055,0.065934,0.266346,0.326886,False,OK,,273,91
sp_xwoba_home,0.3075,0.3109,0.077942,0.012068,0.065874,-0.003337,0.008203,False,OK,,274,91
sp_xwoba_away,0.3001,0.3116,0.072831,0.006957,0.065874,-0.011553,0.00846,False,OK,,274,91
lineup_woba_mean_home,0.3434,0.344,0.162296,0.097079,0.065217,-0.000593,0.001959,False,OK,,276,92
lineup_woba_mean_away,0.3431,0.3446,0.193535,0.128318,0.065217,-0.001442,0.002087,False,OK,,276,92
lineup_woba_top3_home,0.3499,0.3555,0.157529,0.092312,0.065217,-0.005619,0.002711,True,OK,,276,92
lineup_woba_top3_away,0.3524,0.353,0.075884,0.010667,0.065217,-0.000563,0.003295,False,OK,,276,92
woba_30g_home,0.3011,0.3012,0.302048,0.236831,0.065217,-0.000108,0.003177,False,OK,,276,92
woba_30g_away,0.2977,0.3023,0.229436,0.164219,0.065217,-0.004615,0.003596,False,OK,,276,92
bullpen_whip_10g_home,1.3054,1.3441,0.081295,0.015481,0.065814,-0.038709,0.040663,False,OK,,275,91
bullpen_whip_10g_away,1.3012,1.3415,0.155076,0.089619,0.065457,-0.040301,0.046361,False,OK,,272,92
bullpen_whip_3g_home,1.3019,1.3086,0.099426,0.033612,0.065814,-0.006613,0.077778,False,OK,,275,91
bullpen_whip_3g_away,1.3077,1.377,0.295145,0.229688,0.065457,-0.069243,0.088294,False,OK,,272,92
team_barrel_15g_home,0.0227,0.0223,0.098108,0.032891,0.065217,0.00049,0.001592,False,OK,,276,92
team_barrel_15g_away,0.0228,0.0215,0.170538,0.105321,0.065217,0.001258,0.001406,False,OK,,276,92
team_exitvelo_15g_home,88.0972,87.7384,0.189672,0.124455,0.065217,0.358868,0.231035,False,OK,,276,92
team_exitvelo_15g_away,87.6183,87.8449,0.192487,0.12727,0.065217,-0.226588,0.234661,False,OK,,276,92
