game_pk,game_date,kind,home_expected_runs,away_expected_runs,alpha_home,alpha_away,p_over_6_5,p_over_7_0,p_over_7_5,p_over_8_0,p_over_8_5,p_over_9_0,p_over_9_5,p_over_10_0,p_over_10_5,p_over_11_0,p_over_11_5,p_over_12_0,p_over_12_5,p_under_6_5,p_under_7_0,p_under_7_5,p_under_8_0,p_under_8_5,p_under_9_0,p_under_9_5,p_under_10_0,p_under_10_5,p_under_11_0,p_under_11_5,p_under_12_0,p_under_12_5,p_home_cover_0_5,p_home_cover_1_5,p_home_cover_2_5,p_home_cover_3_5,p_home_win_derived,p_away_win_derived,home_score,away_score,total_runs,ml_win_prob,agreement_conflict
778485.0,2025-04-01,oof,4.7612,4.1045,0.2783,0.3619,0.6635,0.6635,0.5664,0.5664,0.4748,0.4748,0.3935,0.3935,0.3091,0.3091,0.2504,0.2504,0.1975,0.3365,0.3365,0.4336,0.4336,0.5252,0.5252,0.6065,0.6065,0.6909,0.6909,0.7496,0.7496,0.8025,0.5157,0.4216,0.3239,0.2466,0.5157,0.4843,7,0,7,,False
778486.0,2025-04-01,oof,4.7612,4.1045,0.2783,0.3619,0.6619,0.6619,0.5707,0.5707,0.4774,0.4774,0.3949,0.3949,0.322,0.322,0.2521,0.2521,0.1958,0.3381,0.3381,0.4293,0.4293,0.5226,0.5226,0.6051,0.6051,0.678,0.678,0.7479,0.7479,0.8042,0.505,0.4087,0.323,0.2426,0.505,0.495,1,4,5,,False
778487.0,2025-04-01,oof,4.7612,4.1045,0.2783,0.3619,0.6637,0.6637,0.5704,0.5704,0.4776,0.4776,0.3897,0.3897,0.3134,0.3134,0.2491,0.2491,0.1944,0.3363,0.3363,0.4296,0.4296,0.5224,0.5224,0.6103,0.6103,0.6866,0.6866,0.7509,0.7509,0.8056,0.5125,0.4182,0.3233,0.2417,0.5125,0.4875,3,1,4,,False
778488.0,2025-04-01,oof,4.7612,4.1045,0.2783,0.3619,0.6509,0.6509,0.5582,0.5582,0.4743,0.4743,0.3949,0.3949,0.3194,0.3194,0.2558,0.2558,0.1996,0.3491,0.3491,0.4418,0.4418,0.5257,0.5257,0.6051,0.6051,0.6806,0.6806,0.7442,0.7442,0.8004,0.516,0.419,0.3268,0.2462,0.516,0.484,5,0,5,,False
778489.0,2025-04-01,oof,4.7612,4.1045,0.2783,0.3619,0.6551,0.6551,0.5584,0.5584,0.4672,0.4672,0.3868,0.3868,0.3163,0.3163,0.2523,0.2523,0.1939,0.3449,0.3449,0.4416,0.4416,0.5328,0.5328,0.6132,0.6132,0.6837,0.6837,0.7477,0.7477,0.8061,0.5169,0.4265,0.3317,0.2525,0.5169,0.4831,1,3,4,,False
778490.0,2025-04-01,oof,4.7612,4.1045,0.2783,0.3619,0.6654,0.6654,0.5758,0.5758,0.4836,0.4836,0.4005,0.4005,0.324,0.324,0.258,0.258,0.2014,0.3346,0.3346,0.4242,0.4242,0.5164,0.5164,0.5995,0.5995,0.676,0.676,0.742,0.742,0.7986,0.5074,0.4125,0.3199,0.2406,0.5074,0.4926,3,8,11,,False
778491.0,2025-04-01,oof,4.7612,4.1045,0.2783,0.3619,0.6695,0.6695,0.5724,0.5724,0.4831,0.4831,0.3978,0.3978,0.3214,0.3214,0.2578,0.2578,0.1998,0.3305,0.3305,0.4276,0.4276,0.5169,0.5169,0.6022,0.6022,0.6786,0.6786,0.7422,0.7422,0.8002,0.516,0.4142,0.3229,0.2449,0.516,0.484,5,3,8,,False
778492.0,2025-04-01,oof,4.7612,4.1045,0.2783,0.3619,0.6649,0.6649,0.5728,0.5728,0.4816,0.4816,0.3977,0.3977,0.3217,0.3217,0.2521,0.2521,0.1952,0.3351,0.3351,0.4272,0.4272,0.5184,0.5184,0.6023,0.6023,0.6783,0.6783,0.7479,0.7479,0.8048,0.5158,0.4192,0.3283,0.2513,0.5158,0.4842,5,7,12,,False
778493.0,2025-04-01,oof,4.7612,4.1045,0.2783,0.3619,0.6614,0.6614,0.5675,0.5675,0.4709,0.4709,0.3855,0.3855,0.3164,0.3164,0.2515,0.2515,0.1981,0.3386,0.3386,0.4325,0.4325,0.5291,0.5291,0.6145,0.6145,0.6836,0.6836,0.7485,0.7485,0.8019,0.5099,0.4116,0.3243,0.2497,0.5099,0.4901,7,0,7,,False
778494.0,2025-04-01,oof,4.7612,4.1045,0.2783,0.3619,0.6622,0.6622,0.5684,0.5684,0.4744,0.4744,0.3878,0.3878,0.3152,0.3152,0.2469,0.2469,0.1926,0.3378,0.3378,0.4316,0.4316,0.5256,0.5256,0.6122,0.6122,0.6848,0.6848,0.7531,0.7531,0.8074,0.5143,0.4162,0.3217,0.2442,0.5143,0.4857,4,7,11,,False
778495.0,2025-04-01,oof,4.7612,4.1045,0.2783,0.3619,0.6651,0.6651,0.5723,0.5723,0.484,0.484,0.399,0.399,0.3183,0.3183,0.2498,0.2498,0.1951,0.3349,0.3349,0.4277,0.4277,0.516,0.516,0.601,0.601,0.6817,0.6817,0.7502,0.7502,0.8049,0.5092,0.4145,0.3235,0.2474,0.5092,0.4908,7,9,16,,False
778497.0,2025-04-01,oof,4.7612,4.1045,0.2783,0.3619,0.6573,0.6573,0.5642,0.5642,0.4732,0.4732,0.3877,0.3877,0.3116,0.3116,0.2496,0.2496,0.1978,0.3427,0.3427,0.4358,0.4358,0.5268,0.5268,0.6123,0.6123,0.6884,0.6884,0.7504,0.7504,0.8022,0.5115,0.4136,0.3244,0.2496,0.5115,0.4885,4,2,6,,False
778498.0,2025-04-01,oof,4.7612,4.1045,0.2783,0.3619,0.6629,0.6629,0.5634,0.5634,0.4675,0.4675,0.3839,0.3839,0.3122,0.3122,0.2475,0.2475,0.1904,0.3371,0.3371,0.4366,0.4366,0.5325,0.5325,0.6161,0.6161,0.6878,0.6878,0.7525,0.7525,0.8096,0.5131,0.4139,0.323,0.2491,0.5131,0.4869,0,1,1,,False
778469.0,2025-04-02,oof,4.7612,4.1045,0.2783,0.3619,0.6668,0.6668,0.5736,0.5736,0.4833,0.4833,0.3955,0.3955,0.3202,0.3202,0.254,0.254,0.1994,0.3332,0.3332,0.4264,0.4264,0.5167,0.5167,0.6045,0.6045,0.6798,0.6798,0.746,0.746,0.8006,0.5143,0.4177,0.3287,0.2516,0.5143,0.4857,3,2,5,,False
778471.0,2025-04-02,oof,4.7612,4.1045,0.2783,0.3619,0.6581,0.6581,0.5658,0.5658,0.4755,0.4755,0.3843,0.3843,0.3112,0.3112,0.2444,0.2444,0.1884,0.3419,0.3419,0.4342,0.4342,0.5245,0.5245,0.6157,0.6157,0.6888,0.6888,0.7556,0.7556,0.8116,0.5169,0.417,0.3219,0.2441,0.5169,0.4831,2,10,12,,False
