feature,shap_value,signed_effect
home_elo,0.0,negative
home_win_pct,0.0,negative
away_win_pct,0.0,negative
sp_era_home,0.0,negative
sp_era_away,0.0,negative
sp_k9_home,0.0,negative
sp_k9_away,0.0,negative
woba_30g_home,0.0,negative
woba_30g_away,0.0,negative
bullpen_whip_10g_home,0.0,negative
bullpen_whip_10g_away,0.0,negative
rest_days_home,0.0,negative
rest_days_away,0.0,negative
sp_era_30g_home,0.0,negative
sp_era_30g_away,0.0,negative
sp_k9_30g_home,0.0,negative
sp_k9_30g_away,0.0,negative
home_run_diff,0.0,negative
away_run_diff,0.0,negative
