feature,shap_value,signed_effect
sp_xwoba_vs_r_away,0.363821,positive
home_run_diff,0.267243,positive
team_barrel_15g_home,-0.163554,negative
bullpen_whip_10g_home,0.112608,positive
sp_xwoba_vs_r_home,0.099679,positive
team_exitvelo_15g_home,-0.088794,negative
sp_xwoba_vs_l_away,0.08475,positive
bullpen_ip_3d_away,-0.077874,negative
opp_lefty_share_away,0.071462,positive
lineup_woba_top3_away,0.065477,positive
away_win_pct,-0.064841,negative
woba_30g_away,0.064708,positive
lineup_woba_top3_home,-0.062614,negative
home_win_pct,0.062041,positive
team_hardhit_15g_home,0.061799,positive
lineup_woba_mean_home,0.061766,positive
sp_whiff_3g_away,0.060912,positive
team_exitvelo_15g_away,-0.054217,negative
sp_whiff_3g_home,-0.053562,negative
away_run_diff,0.053356,positive
bullpen_pitches_3d_home,-0.051028,negative
bullpen_pitches_3d_away,0.044272,positive
lineup_woba_std_away,0.043529,positive
sp_k9_away,0.040014,positive
sp_fbvelo_3g_home,0.030497,positive
home_elo,-0.029627,negative
bullpen_ip_3d_home,-0.028806,negative
bullpen_whip_10g_away,0.027424,positive
sp_fbvelo_3g_away,0.027181,positive
lineup_woba_std_home,-0.025962,negative
sp_era_away,0.024171,positive
sp_fbpct_3g_away,0.019174,positive
sp_k9_30g_away,0.017081,positive
sp_era_30g_away,-0.012213,negative
sp_k9_30g_home,-0.010156,negative
woba_30g_home,0.009453,positive
sp_fbpct_3g_home,0.008223,positive
team_barrel_15g_away,-0.007694,negative
opp_lefty_share_home,-0.007465,negative
team_hardhit_15g_away,0.005687,positive
sp_xwoba_vs_l_home,-0.003771,negative
rest_days_away,-0.0017,negative
sp_era_home,-0.001673,negative
sp_k9_home,0.001644,positive
rest_days_home,-0.001459,negative
lineup_woba_mean_away,-0.000325,negative
sp_era_30g_home,0.000221,positive
