feature,shap_value,signed_effect
sp_xwoba_vs_r_away,0.286147,positive
sp_xwoba_vs_l_away,0.181656,positive
home_run_diff,-0.166103,negative
sp_xwoba_vs_r_home,0.113197,positive
bullpen_pitches_3d_home,0.111272,positive
sp_fbvelo_3g_away,0.092308,positive
team_exitvelo_15g_home,0.091868,positive
home_elo,-0.088166,negative
sp_era_away,0.087013,positive
bullpen_ip_3d_home,0.084284,positive
sp_k9_away,0.060154,positive
home_win_pct,-0.055166,negative
sp_fbpct_3g_away,0.054501,positive
team_hardhit_15g_home,-0.046857,negative
sp_whiff_3g_away,0.046237,positive
sp_k9_home,-0.04601,negative
lineup_woba_top3_away,0.044061,positive
bullpen_whip_10g_away,0.042296,positive
opp_lefty_share_home,-0.037328,negative
bullpen_pitches_3d_away,0.035768,positive
lineup_woba_std_away,0.034861,positive
lineup_woba_mean_away,0.032669,positive
sp_whiff_3g_home,-0.029636,negative
bullpen_ip_3d_away,-0.0293,negative
sp_k9_30g_away,0.027203,positive
sp_fbvelo_3g_home,-0.027153,negative
away_win_pct,-0.02708,negative
team_barrel_15g_home,0.027074,positive
woba_30g_away,-0.026108,negative
lineup_woba_top3_home,-0.02565,negative
bullpen_whip_10g_home,0.017308,positive
away_run_diff,-0.01538,negative
sp_xwoba_vs_l_home,-0.015107,negative
lineup_woba_mean_home,0.014956,positive
sp_era_home,-0.012745,negative
sp_era_30g_home,-0.012573,negative
lineup_woba_std_home,-0.012296,negative
team_hardhit_15g_away,0.011257,positive
team_exitvelo_15g_away,-0.010179,negative
sp_fbpct_3g_home,-0.009817,negative
sp_era_30g_away,0.008745,positive
woba_30g_home,-0.006801,negative
sp_k9_30g_home,-0.006372,negative
opp_lefty_share_away,0.006277,positive
team_barrel_15g_away,0.002356,positive
rest_days_away,-0.002322,negative
rest_days_home,-0.001063,negative
