feature,shap_value,signed_effect
sp_xwoba_vs_r_away,0.253506,positive
home_run_diff,0.171137,positive
sp_xwoba_vs_l_away,0.14922,positive
sp_xwoba_vs_r_home,0.114477,positive
sp_era_away,0.080336,positive
team_hardhit_15g_home,-0.072722,negative
team_exitvelo_15g_home,-0.072043,negative
sp_k9_away,0.069235,positive
away_run_diff,0.066421,positive
opp_lefty_share_away,0.06593,positive
bullpen_pitches_3d_away,-0.059661,negative
sp_whiff_3g_home,-0.055449,negative
sp_whiff_3g_away,0.052477,positive
home_win_pct,0.04922,positive
sp_fbpct_3g_away,0.039336,positive
bullpen_whip_10g_home,0.037374,positive
bullpen_whip_10g_away,0.036761,positive
lineup_woba_top3_away,-0.035965,negative
woba_30g_away,0.031197,positive
sp_fbvelo_3g_away,0.028599,positive
team_hardhit_15g_away,0.027193,positive
lineup_woba_mean_home,0.026655,positive
home_elo,-0.026408,negative
bullpen_ip_3d_away,-0.025254,negative
sp_k9_30g_away,0.02333,positive
bullpen_pitches_3d_home,0.022931,positive
team_exitvelo_15g_away,0.022605,positive
lineup_woba_mean_away,0.018567,positive
opp_lefty_share_home,-0.017634,negative
lineup_woba_top3_home,-0.015494,negative
sp_era_home,-0.014094,negative
sp_xwoba_vs_l_home,0.013934,positive
team_barrel_15g_home,-0.010402,negative
lineup_woba_std_home,-0.009177,negative
sp_fbpct_3g_home,-0.008223,negative
bullpen_ip_3d_home,0.008042,positive
woba_30g_home,0.006929,positive
sp_k9_home,0.005116,positive
sp_fbvelo_3g_home,0.004548,positive
sp_era_30g_away,0.004432,positive
sp_era_30g_home,-0.004133,negative
lineup_woba_std_away,-0.003662,negative
rest_days_home,-0.002394,negative
rest_days_away,-0.002323,negative
team_barrel_15g_away,-0.002103,negative
sp_k9_30g_home,-0.001882,negative
away_win_pct,0.000646,positive
