feature,shap_value,signed_effect
sp_xwoba_vs_r_away,0.252158,positive
home_run_diff,0.220699,positive
sp_xwoba_vs_l_away,0.152794,positive
sp_xwoba_vs_r_home,0.126127,positive
sp_era_away,0.110739,positive
team_hardhit_15g_home,-0.087212,negative
bullpen_whip_10g_home,0.06791,positive
team_exitvelo_15g_home,0.065179,positive
sp_k9_away,0.057683,positive
lineup_woba_std_away,0.054326,positive
lineup_woba_top3_away,0.052928,positive
away_win_pct,-0.047723,negative
home_win_pct,0.044835,positive
sp_fbpct_3g_home,-0.042879,negative
sp_whiff_3g_home,-0.042656,negative
bullpen_pitches_3d_away,0.038756,positive
lineup_woba_std_home,-0.037628,negative
home_elo,-0.036958,negative
away_run_diff,0.034379,positive
bullpen_pitches_3d_home,-0.03302,negative
bullpen_ip_3d_home,-0.032208,negative
bullpen_whip_10g_away,0.031417,positive
sp_k9_30g_away,0.026894,positive
team_exitvelo_15g_away,0.02509,positive
team_hardhit_15g_away,0.023597,positive
opp_lefty_share_home,0.023419,positive
sp_fbpct_3g_away,0.021705,positive
lineup_woba_mean_away,-0.020867,negative
sp_era_home,0.019238,positive
sp_whiff_3g_away,0.019069,positive
lineup_woba_top3_home,-0.018544,negative
team_barrel_15g_home,0.017143,positive
opp_lefty_share_away,-0.014976,negative
woba_30g_away,0.014839,positive
lineup_woba_mean_home,0.010406,positive
sp_k9_home,-0.008432,negative
sp_fbvelo_3g_home,0.007491,positive
sp_k9_30g_home,-0.00666,negative
sp_era_30g_home,-0.006459,negative
sp_era_30g_away,0.00644,positive
team_barrel_15g_away,0.006003,positive
bullpen_ip_3d_away,0.00565,positive
sp_fbvelo_3g_away,0.003978,positive
rest_days_away,-0.001753,negative
sp_xwoba_vs_l_home,0.001646,positive
woba_30g_home,-0.001541,negative
rest_days_home,-0.001164,negative
