feature,shap_value,signed_effect
home_run_diff,0.248124,positive
sp_xwoba_vs_r_away,0.22399,positive
sp_xwoba_vs_r_home,0.115542,positive
sp_xwoba_vs_l_away,0.105582,positive
lineup_woba_top3_away,0.086435,positive
sp_era_away,0.085539,positive
team_exitvelo_15g_home,-0.083021,negative
team_hardhit_15g_home,0.076551,positive
bullpen_pitches_3d_home,-0.076381,negative
away_run_diff,0.07268,positive
home_win_pct,0.066061,positive
bullpen_ip_3d_home,-0.054577,negative
woba_30g_away,0.050983,positive
sp_fbpct_3g_away,0.043987,positive
sp_fbvelo_3g_away,0.041609,positive
sp_k9_30g_away,0.040849,positive
sp_xwoba_vs_l_home,0.038307,positive
bullpen_ip_3d_away,-0.037579,negative
home_elo,-0.029976,negative
sp_k9_away,0.029777,positive
bullpen_whip_10g_home,-0.029018,negative
sp_era_home,-0.028958,negative
opp_lefty_share_away,0.02641,positive
team_barrel_15g_home,0.026241,positive
team_hardhit_15g_away,0.026224,positive
lineup_woba_top3_home,0.025635,positive
sp_whiff_3g_away,0.024643,positive
sp_whiff_3g_home,-0.024016,negative
bullpen_whip_10g_away,0.0235,positive
opp_lefty_share_home,0.022515,positive
sp_fbvelo_3g_home,0.020107,positive
lineup_woba_std_away,0.01728,positive
sp_k9_home,-0.016658,negative
sp_fbpct_3g_home,-0.016146,negative
team_barrel_15g_away,-0.014924,negative
lineup_woba_mean_away,0.010082,positive
sp_era_30g_away,0.006398,positive
sp_era_30g_home,-0.006036,negative
away_win_pct,-0.005868,negative
bullpen_pitches_3d_away,-0.005229,negative
team_exitvelo_15g_away,0.005071,positive
sp_k9_30g_home,0.002608,positive
lineup_woba_mean_home,-0.002235,negative
rest_days_home,-0.001849,negative
woba_30g_home,-0.001784,negative
rest_days_away,0.0004,positive
lineup_woba_std_home,0.000319,positive
