feature,shap_value,signed_effect
team_hardhit_15g_away,-0.345045,negative
team_exitvelo_15g_away,-0.235309,negative
lineup_woba_mean_away,-0.231843,negative
home_run_diff,0.155928,positive
away_run_diff,0.138283,positive
bullpen_whip_10g_home,0.127135,positive
sp_k9_away,-0.110272,negative
lineup_woba_std_home,0.106967,positive
sp_xwoba_vs_l_away,0.099659,positive
team_hardhit_15g_home,0.088841,positive
team_barrel_15g_away,-0.071112,negative
away_win_pct,-0.065678,negative
woba_30g_away,-0.061811,negative
bullpen_pitches_3d_home,-0.06082,negative
opp_lefty_share_home,-0.057654,negative
sp_fbvelo_3g_away,-0.051419,negative
sp_era_home,0.0503,positive
home_win_pct,0.040269,positive
team_barrel_15g_home,0.036878,positive
lineup_woba_top3_away,0.036163,positive
sp_era_away,0.030214,positive
sp_fbpct_3g_home,-0.026107,negative
sp_xwoba_vs_r_home,0.024364,positive
home_elo,-0.024099,negative
woba_30g_home,0.023943,positive
sp_era_30g_away,0.021887,positive
lineup_woba_mean_home,0.017817,positive
bullpen_whip_10g_away,-0.017413,negative
sp_fbvelo_3g_home,-0.016331,negative
lineup_woba_top3_home,-0.015994,negative
sp_xwoba_vs_l_home,0.015187,positive
team_exitvelo_15g_home,-0.014799,negative
bullpen_ip_3d_away,-0.011268,negative
bullpen_pitches_3d_away,0.007995,positive
sp_k9_30g_home,0.006423,positive
bullpen_ip_3d_home,-0.004967,negative
sp_fbpct_3g_away,-0.004597,negative
sp_k9_home,0.004488,positive
sp_xwoba_vs_r_away,-0.004348,negative
sp_whiff_3g_away,-0.002645,negative
rest_days_away,0.002218,positive
sp_whiff_3g_home,0.002052,positive
lineup_woba_std_away,-0.00197,negative
sp_era_30g_home,0.001905,positive
sp_k9_30g_away,-0.001892,negative
opp_lefty_share_away,-0.001717,negative
rest_days_home,-0.000468,negative
