feature,shap_value,signed_effect
sp_xwoba_vs_r_away,0.225384,positive
away_run_diff,0.17307,positive
team_exitvelo_15g_home,0.138914,positive
sp_xwoba_vs_l_away,0.106468,positive
home_run_diff,-0.098578,negative
sp_xwoba_vs_r_home,0.098528,positive
sp_era_away,0.0961,positive
away_win_pct,0.093228,positive
sp_fbvelo_3g_away,0.088718,positive
sp_fbpct_3g_away,0.074904,positive
sp_k9_away,0.068214,positive
lineup_woba_std_away,0.065505,positive
team_hardhit_15g_home,-0.05198,negative
bullpen_ip_3d_away,0.048831,positive
bullpen_whip_10g_away,0.047075,positive
opp_lefty_share_home,-0.040931,negative
opp_lefty_share_away,0.039512,positive
lineup_woba_std_home,-0.034698,negative
sp_k9_home,-0.030429,negative
sp_k9_30g_away,0.030405,positive
sp_whiff_3g_away,0.028557,positive
bullpen_pitches_3d_away,0.027597,positive
woba_30g_away,0.027549,positive
sp_fbpct_3g_home,-0.026248,negative
lineup_woba_top3_home,0.024501,positive
sp_era_home,-0.019806,negative
woba_30g_home,-0.018122,negative
team_hardhit_15g_away,0.017449,positive
team_exitvelo_15g_away,0.015716,positive
lineup_woba_top3_away,0.014662,positive
bullpen_whip_10g_home,-0.013458,negative
sp_whiff_3g_home,-0.011641,negative
sp_xwoba_vs_l_home,0.010379,positive
home_elo,0.010269,positive
sp_era_30g_home,-0.008563,negative
home_win_pct,-0.008517,negative
sp_era_30g_away,0.007803,positive
bullpen_ip_3d_home,0.004081,positive
team_barrel_15g_away,0.003103,positive
lineup_woba_mean_home,-0.00235,negative
lineup_woba_mean_away,0.001774,positive
sp_k9_30g_home,0.001305,positive
rest_days_home,-0.001069,negative
rest_days_away,0.000838,positive
bullpen_pitches_3d_home,-0.000121,negative
team_barrel_15g_home,2.2e-05,positive
sp_fbvelo_3g_home,1.8e-05,positive
