feature,shap_value,signed_effect,perspective_team
sp_era_5g_diff,-0.121242,negative,HOU
bullpen_whip_3g_diff,0.119624,positive,HOU
sp_xwoba_vs_l_diff,0.062203,positive,HOU
park_factor_slug_diff,-0.06007,negative,HOU
team_exitvelo_diff,-0.054357,negative,HOU
ace_efficiency_factor,-0.050396,negative,HOU
dome_is_neutral,0.049841,positive,HOU
sp_era_diff,-0.04608,negative,HOU
lineup_handedness_matchup_advantage,0.042011,positive,HOU
bullpen_whip_diff,0.036613,positive,HOU
sp_xwoba_diff,-0.032063,negative,HOU
sp_k9_diff,-0.030229,negative,HOU
bullpen_meltdown_risk,-0.030066,negative,HOU
win_pct_diff,-0.024598,negative,HOU
lineup_woba_mean_diff,0.023511,positive,HOU
sp_k9_5g_diff,-0.02339,negative,HOU
elo_diff,0.019447,positive,HOU
sp_whiff_diff,0.018402,positive,HOU
bullpen_pitches_diff,-0.017004,negative,HOU
sp_fbpct_diff,-0.016869,negative,HOU
team_barrel_diff,-0.015613,negative,HOU
sp_fbvelo_diff,0.015433,positive,HOU
team_hardhit_diff,-0.010998,negative,HOU
lineup_woba_top3_diff,-0.010796,negative,HOU
woba_30g_diff,0.006465,positive,HOU
lineup_woba_std_diff,-0.005464,negative,HOU
travel_fatigue_diff,-0.004441,negative,HOU
lineup_depth_multiplier,-0.002775,negative,HOU
pitcher_regression_indicator,0.00146,positive,HOU
rest_days_diff,0.001325,positive,HOU
closer_availability_diff,-0.000349,negative,HOU
is_home,0.0,negative,HOU
