feature,shap_value,signed_effect,perspective_team
lineup_woba_mean_diff,-0.109001,negative,MIL
bullpen_whip_3g_diff,0.0904,positive,MIL
elo_diff,0.078777,positive,MIL
team_hardhit_diff,0.069001,positive,MIL
ace_efficiency_factor,0.043038,positive,MIL
wind_advantage_flyball_factor,0.041436,positive,MIL
lineup_depth_multiplier,0.038379,positive,MIL
sp_xwoba_diff,-0.037349,negative,MIL
woba_30g_diff,-0.032228,negative,MIL
bullpen_ip_diff,0.028627,positive,MIL
bullpen_meltdown_risk,-0.028335,negative,MIL
bullpen_pitches_diff,-0.024826,negative,MIL
team_barrel_diff,0.024685,positive,MIL
lineup_woba_std_diff,0.022604,positive,MIL
air_density_velocity_boost,0.020861,positive,MIL
sp_xwoba_vs_l_diff,0.019053,positive,MIL
sp_fbvelo_diff,0.018307,positive,MIL
sp_k9_diff,0.017204,positive,MIL
sp_whiff_diff,0.016233,positive,MIL
bullpen_whip_diff,0.015061,positive,MIL
win_pct_diff,-0.012678,negative,MIL
lineup_handedness_matchup_advantage,0.01187,positive,MIL
park_factor_slug_diff,0.011426,positive,MIL
sp_era_30g_diff,-0.01036,negative,MIL
sp_fbpct_diff,-0.007978,negative,MIL
sp_era_diff,-0.006018,negative,MIL
travel_fatigue_diff,0.006012,positive,MIL
team_exitvelo_diff,0.005469,positive,MIL
sp_k9_30g_diff,-0.004487,negative,MIL
lineup_woba_top3_diff,-0.003848,negative,MIL
rest_days_diff,0.002664,positive,MIL
dome_is_neutral,0.002178,positive,MIL
pitcher_regression_indicator,-0.002064,negative,MIL
closer_availability_diff,-0.000665,negative,MIL
is_home,0.0,negative,MIL
