feature,shap_value,signed_effect,perspective_team
lineup_woba_mean_diff,0.093933,positive,CHC
bullpen_whip_diff,0.08051,positive,CHC
lineup_depth_multiplier,0.080148,positive,CHC
sp_k9_diff,0.07911,positive,CHC
team_hardhit_diff,0.06805,positive,CHC
sp_era_diff,0.064975,positive,CHC
bullpen_pitches_diff,0.056287,positive,CHC
sp_fbvelo_diff,-0.052526,negative,CHC
lineup_woba_std_diff,0.049853,positive,CHC
sp_xwoba_vs_l_diff,0.038071,positive,CHC
wind_advantage_flyball_factor,-0.035747,negative,CHC
woba_30g_diff,0.030794,positive,CHC
sp_xwoba_diff,0.030108,positive,CHC
elo_diff,0.028961,positive,CHC
team_exitvelo_diff,-0.025451,negative,CHC
win_pct_diff,0.024668,positive,CHC
bullpen_meltdown_risk,0.024483,positive,CHC
bullpen_whip_3g_diff,0.021889,positive,CHC
team_barrel_diff,-0.020344,negative,CHC
air_density_velocity_boost,-0.019834,negative,CHC
pitcher_regression_indicator,0.01467,positive,CHC
lineup_handedness_matchup_advantage,-0.013449,negative,CHC
sp_era_30g_diff,0.013186,positive,CHC
ace_efficiency_factor,-0.010643,negative,CHC
bullpen_ip_diff,-0.007604,negative,CHC
sp_fbpct_diff,0.007425,positive,CHC
dome_is_neutral,-0.00685,negative,CHC
travel_fatigue_diff,-0.006538,negative,CHC
park_factor_slug_diff,-0.005848,negative,CHC
sp_k9_30g_diff,0.00579,positive,CHC
lineup_woba_top3_diff,0.004585,positive,CHC
sp_whiff_diff,0.00302,positive,CHC
rest_days_diff,-0.002405,negative,CHC
closer_availability_diff,0.001178,positive,CHC
is_home,-0.0,negative,CHC
