feature,shap_value,signed_effect
sp_k9_away,-0.25613,negative
lineup_woba_top3_home,-0.139424,negative
sp_xwoba_vs_r_away,0.105508,positive
team_barrel_15g_home,-0.090588,negative
sp_fbpct_3g_home,-0.07743,negative
bullpen_pitches_3d_home,0.062189,positive
away_win_pct,-0.060647,negative
team_hardhit_15g_away,0.058847,positive
sp_xwoba_vs_l_home,0.057583,positive
opp_lefty_share_home,-0.054461,negative
lineup_woba_top3_away,0.051922,positive
home_run_diff,0.045794,positive
lineup_woba_mean_away,-0.045033,negative
team_barrel_15g_away,0.042444,positive
sp_xwoba_vs_l_away,0.041266,positive
bullpen_whip_10g_home,-0.037462,negative
home_elo,-0.036222,negative
sp_fbvelo_3g_away,-0.035497,negative
away_run_diff,0.03281,positive
sp_whiff_3g_away,-0.029595,negative
sp_era_30g_away,0.029233,positive
home_win_pct,-0.027779,negative
bullpen_ip_3d_home,-0.027725,negative
opp_lefty_share_away,-0.023938,negative
sp_fbpct_3g_away,-0.02285,negative
team_hardhit_15g_home,-0.022072,negative
bullpen_ip_3d_away,-0.02197,negative
sp_xwoba_vs_r_home,0.021446,positive
lineup_woba_std_home,-0.018782,negative
bullpen_pitches_3d_away,0.017289,positive
sp_whiff_3g_home,0.016703,positive
team_exitvelo_15g_away,0.014916,positive
sp_era_away,0.014007,positive
woba_30g_away,-0.012146,negative
sp_k9_30g_away,-0.011479,negative
sp_k9_home,-0.011395,negative
sp_era_home,-0.011033,negative
woba_30g_home,0.005783,positive
sp_fbvelo_3g_home,0.005336,positive
lineup_woba_mean_home,0.004725,positive
team_exitvelo_15g_home,0.003347,positive
sp_era_30g_home,0.002857,positive
lineup_woba_std_away,0.002478,positive
sp_k9_30g_home,0.00246,positive
rest_days_home,-0.001508,negative
rest_days_away,0.000482,positive
bullpen_whip_10g_away,0.000308,positive
