feature,shap_value,signed_effect,perspective_team
sp_xwoba_vs_l_diff,-0.101325,negative,COL
lineup_handedness_matchup_advantage,0.087376,positive,COL
wind_advantage_flyball_factor,-0.08413,negative,COL
park_factor_slug_diff,0.060246,positive,COL
sp_xwoba_diff,-0.056313,negative,COL
bullpen_ip_diff,-0.051118,negative,COL
lineup_woba_std_diff,0.048783,positive,COL
team_exitvelo_diff,-0.041952,negative,COL
sp_fbvelo_diff,0.040106,positive,COL
ace_efficiency_factor,0.031458,positive,COL
lineup_woba_mean_diff,0.030755,positive,COL
team_barrel_diff,-0.027596,negative,COL
sp_era_diff,-0.027145,negative,COL
bullpen_whip_diff,-0.025385,negative,COL
bullpen_meltdown_risk,-0.024981,negative,COL
bullpen_whip_3g_diff,0.023337,positive,COL
win_pct_diff,0.022544,positive,COL
woba_30g_diff,0.022229,positive,COL
team_hardhit_diff,0.021457,positive,COL
elo_diff,-0.015654,negative,COL
sp_k9_diff,-0.015015,negative,COL
sp_fbpct_diff,-0.014091,negative,COL
lineup_depth_multiplier,0.010163,positive,COL
travel_fatigue_diff,-0.008213,negative,COL
sp_era_30g_diff,-0.007352,negative,COL
air_density_velocity_boost,-0.006817,negative,COL
sp_k9_30g_diff,-0.00491,negative,COL
bullpen_pitches_diff,-0.003522,negative,COL
sp_whiff_diff,0.003193,positive,COL
pitcher_regression_indicator,-0.002279,negative,COL
dome_is_neutral,-0.00151,negative,COL
rest_days_diff,0.001469,positive,COL
lineup_woba_top3_diff,0.000795,positive,COL
closer_availability_diff,-0.000267,negative,COL
is_home,0.0,negative,COL
