feature,shap_value,signed_effect,perspective_team
sp_era_5g_diff,0.079643,positive,KC
lineup_handedness_matchup_advantage,0.064483,positive,KC
sp_xwoba_diff,0.046469,positive,KC
bullpen_meltdown_risk,0.03836,positive,KC
team_barrel_diff,0.036331,positive,KC
team_hardhit_diff,-0.034402,negative,KC
dome_is_neutral,-0.033838,negative,KC
bullpen_whip_3g_diff,0.024166,positive,KC
lineup_woba_top3_diff,-0.022693,negative,KC
sp_fbpct_diff,0.020773,positive,KC
bullpen_pitches_diff,-0.018209,negative,KC
woba_30g_diff,-0.017134,negative,KC
sp_xwoba_vs_l_diff,0.016746,positive,KC
bullpen_whip_diff,-0.015148,negative,KC
team_exitvelo_diff,0.013781,positive,KC
elo_diff,0.01228,positive,KC
lineup_woba_mean_diff,0.011596,positive,KC
sp_fbvelo_diff,-0.010814,negative,KC
ace_efficiency_factor,-0.009614,negative,KC
lineup_depth_multiplier,-0.008177,negative,KC
rest_days_diff,0.007723,positive,KC
lineup_woba_std_diff,-0.007718,negative,KC
pitcher_regression_indicator,-0.005774,negative,KC
sp_whiff_diff,0.003563,positive,KC
sp_k9_5g_diff,0.003392,positive,KC
sp_k9_diff,0.002845,positive,KC
travel_fatigue_diff,-0.002559,negative,KC
win_pct_diff,0.001707,positive,KC
sp_era_diff,-0.001645,negative,KC
park_factor_slug_diff,0.001131,positive,KC
closer_availability_diff,-0.000189,negative,KC
is_home,0.0,negative,KC
