feature,shap_value,signed_effect,perspective_team
sp_xwoba_diff,0.129315,positive,LAA
bullpen_whip_diff,0.129106,positive,LAA
park_factor_slug_diff,-0.093513,negative,LAA
lineup_handedness_matchup_advantage,-0.090868,negative,LAA
sp_k9_diff,-0.036038,negative,LAA
lineup_woba_mean_diff,0.034675,positive,LAA
lineup_depth_multiplier,0.033971,positive,LAA
sp_xwoba_vs_l_diff,-0.031178,negative,LAA
pitcher_regression_indicator,-0.031,negative,LAA
bullpen_whip_3g_diff,0.029398,positive,LAA
wind_advantage_flyball_factor,-0.027632,negative,LAA
sp_whiff_diff,0.027448,positive,LAA
win_pct_diff,0.022214,positive,LAA
elo_diff,0.022144,positive,LAA
woba_30g_diff,0.021668,positive,LAA
bullpen_meltdown_risk,-0.018442,negative,LAA
team_hardhit_diff,0.015261,positive,LAA
lineup_woba_top3_diff,-0.01511,negative,LAA
sp_fbvelo_diff,-0.014795,negative,LAA
bullpen_ip_diff,-0.01148,negative,LAA
sp_era_diff,-0.01091,negative,LAA
team_barrel_diff,-0.009607,negative,LAA
dome_is_neutral,-0.008046,negative,LAA
sp_era_30g_diff,-0.006922,negative,LAA
sp_fbpct_diff,-0.006594,negative,LAA
lineup_woba_std_diff,0.005976,positive,LAA
bullpen_pitches_diff,0.005116,positive,LAA
team_exitvelo_diff,-0.00449,negative,LAA
ace_efficiency_factor,0.004311,positive,LAA
rest_days_diff,-0.00312,negative,LAA
air_density_velocity_boost,-0.002065,negative,LAA
travel_fatigue_diff,0.001216,positive,LAA
sp_k9_30g_diff,0.000546,positive,LAA
closer_availability_diff,0.000293,positive,LAA
is_home,-0.0,negative,LAA
