feature,shap_value,signed_effect,perspective_team
elo_diff,0.019618,positive,SD
sp_era_5g_diff,0.010088,positive,SD
lineup_woba_mean_home,-0.007951,negative,SD
home_elo,0.007512,positive,SD
bullpen_whip_diff,-0.006375,negative,SD
lineup_woba_top3_away,0.005694,positive,SD
sp_xwoba_vs_l_diff,0.005174,positive,SD
team_barrel_15g_home,0.005111,positive,SD
lineup_woba_top3_diff,0.004605,positive,SD
lineup_woba_std_diff,0.004162,positive,SD
park_factor_slug_diff,0.004093,positive,SD
bullpen_meltdown_risk,-0.00392,negative,SD
sp_era_home,-0.003709,negative,SD
win_pct_diff,0.003627,positive,SD
sp_k9_diff,0.003586,positive,SD
away_win_pct,-0.003183,negative,SD
lineup_woba_top3_home,0.003114,positive,SD
sp_xwoba_away,0.002801,positive,SD
bullpen_whip_10g_away,0.002723,positive,SD
pitcher_regression_indicator,-0.002583,negative,SD
sp_fbvelo_diff,0.002447,positive,SD
sp_xwoba_diff,0.002409,positive,SD
woba_30g_home,0.002355,positive,SD
home_win_pct,0.002327,positive,SD
air_density_velocity_boost,-0.002277,negative,SD
team_exitvelo_15g_away,0.002225,positive,SD
sp_k9_home,0.002095,positive,SD
team_barrel_diff,0.001954,positive,SD
lineup_depth_multiplier,0.001914,positive,SD
woba_30g_diff,0.001814,positive,SD
wind_advantage_flyball_factor,0.001794,positive,SD
lineup_woba_mean_diff,-0.001608,negative,SD
bullpen_whip_10g_home,-0.00136,negative,SD
ace_efficiency_factor,0.001322,positive,SD
sp_xwoba_home,0.001271,positive,SD
team_hardhit_diff,-0.001245,negative,SD
sp_k9_away,0.001161,positive,SD
team_exitvelo_diff,0.001082,positive,SD
lineup_handedness_matchup_advantage,-0.000956,negative,SD
team_barrel_15g_away,-0.000902,negative,SD
bullpen_whip_3g_home,0.000873,positive,SD
away_elo,0.000773,positive,SD
bullpen_whip_3g_away,-0.000604,negative,SD
sp_whiff_diff,0.000593,positive,SD
lineup_woba_mean_away,0.000585,positive,SD
bullpen_whip_3g_diff,0.000574,positive,SD
bullpen_pitches_diff,-0.000419,negative,SD
dome_is_neutral,-0.000418,negative,SD
woba_30g_away,-0.000413,negative,SD
sp_k9_5g_diff,0.000331,positive,SD
sp_fbpct_diff,0.00028,positive,SD
team_exitvelo_15g_home,-0.00027,negative,SD
sp_era_away,0.000194,positive,SD
sp_era_diff,-5.3e-05,negative,SD
travel_fatigue_diff,2.3e-05,positive,SD
rest_days_diff,-1.9e-05,negative,SD
closer_availability_diff,-6e-06,negative,SD
is_home,0.0,negative,SD
