feature,shap_value,signed_effect,perspective_team
lineup_handedness_matchup_advantage,0.133458,positive,CWS
bullpen_whip_3g_diff,0.101863,positive,CWS
sp_xwoba_diff,-0.086989,negative,CWS
park_factor_slug_diff,-0.062837,negative,CWS
team_hardhit_diff,0.048973,positive,CWS
ace_efficiency_factor,0.048795,positive,CWS
sp_k9_diff,-0.048048,negative,CWS
lineup_woba_mean_diff,0.045658,positive,CWS
sp_era_diff,0.043901,positive,CWS
bullpen_ip_diff,0.042708,positive,CWS
bullpen_meltdown_risk,-0.034279,negative,CWS
bullpen_pitches_diff,0.034022,positive,CWS
woba_30g_diff,-0.028151,negative,CWS
pitcher_regression_indicator,0.026158,positive,CWS
lineup_depth_multiplier,0.024994,positive,CWS
dome_is_neutral,0.01435,positive,CWS
sp_k9_30g_diff,-0.013199,negative,CWS
win_pct_diff,-0.012274,negative,CWS
sp_fbpct_diff,-0.011534,negative,CWS
rest_days_diff,0.009033,positive,CWS
sp_xwoba_vs_l_diff,0.008216,positive,CWS
elo_diff,0.008159,positive,CWS
lineup_woba_std_diff,0.007827,positive,CWS
sp_era_30g_diff,0.007542,positive,CWS
sp_fbvelo_diff,0.00611,positive,CWS
team_barrel_diff,-0.005446,negative,CWS
team_exitvelo_diff,0.003996,positive,CWS
wind_advantage_flyball_factor,0.003829,positive,CWS
bullpen_whip_diff,-0.003256,negative,CWS
lineup_woba_top3_diff,0.002791,positive,CWS
closer_availability_diff,-0.002666,negative,CWS
sp_whiff_diff,0.002224,positive,CWS
is_home,0.0,negative,CWS
travel_fatigue_diff,0.0,negative,CWS
air_density_velocity_boost,0.0,negative,CWS
