feature,shap_value,signed_effect,perspective_team
bullpen_whip_3g_diff,0.174884,positive,LAD
sp_k9_diff,0.171385,positive,LAD
sp_era_5g_diff,-0.165063,negative,LAD
sp_era_diff,-0.095517,negative,LAD
lineup_handedness_matchup_advantage,0.075283,positive,LAD
bullpen_whip_diff,0.066831,positive,LAD
bullpen_meltdown_risk,0.056904,positive,LAD
elo_diff,0.051012,positive,LAD
bullpen_pitches_diff,0.047543,positive,LAD
lineup_woba_std_diff,0.044349,positive,LAD
sp_whiff_diff,0.042459,positive,LAD
lineup_woba_mean_diff,0.039615,positive,LAD
team_hardhit_diff,0.033556,positive,LAD
team_barrel_diff,0.026083,positive,LAD
sp_xwoba_diff,-0.023186,negative,LAD
dome_is_neutral,-0.021634,negative,LAD
park_factor_slug_diff,0.021315,positive,LAD
pitcher_regression_indicator,0.021166,positive,LAD
sp_k9_5g_diff,0.020033,positive,LAD
lineup_depth_multiplier,0.016636,positive,LAD
team_exitvelo_diff,0.016154,positive,LAD
lineup_woba_top3_diff,0.014153,positive,LAD
win_pct_diff,0.014014,positive,LAD
ace_efficiency_factor,0.013145,positive,LAD
sp_xwoba_vs_l_diff,0.012949,positive,LAD
sp_fbvelo_diff,0.011077,positive,LAD
sp_fbpct_diff,-0.01012,negative,LAD
woba_30g_diff,-0.004274,negative,LAD
travel_fatigue_diff,-0.002386,negative,LAD
rest_days_diff,0.000377,positive,LAD
closer_availability_diff,-0.000297,negative,LAD
is_home,0.0,negative,LAD
