feature,shap_value,signed_effect,perspective_team
lineup_handedness_matchup_advantage,-0.153826,negative,SF
bullpen_whip_3g_diff,-0.09238,negative,SF
bullpen_pitches_diff,-0.07707,negative,SF
sp_xwoba_diff,-0.06287,negative,SF
ace_efficiency_factor,-0.061828,negative,SF
sp_xwoba_vs_l_diff,-0.060203,negative,SF
woba_30g_diff,-0.059507,negative,SF
lineup_depth_multiplier,-0.055786,negative,SF
lineup_woba_mean_diff,0.051026,positive,SF
sp_whiff_diff,-0.048666,negative,SF
lineup_woba_std_diff,0.048636,positive,SF
sp_era_diff,-0.048429,negative,SF
bullpen_whip_diff,-0.039997,negative,SF
park_factor_slug_diff,-0.038866,negative,SF
elo_diff,0.038372,positive,SF
sp_k9_diff,-0.035614,negative,SF
win_pct_diff,-0.034836,negative,SF
pitcher_regression_indicator,-0.033137,negative,SF
team_hardhit_diff,0.026391,positive,SF
team_barrel_diff,-0.025379,negative,SF
lineup_woba_top3_diff,0.024148,positive,SF
sp_fbpct_diff,-0.022343,negative,SF
sp_era_30g_diff,-0.015908,negative,SF
bullpen_ip_diff,0.011948,positive,SF
rest_days_diff,-0.005118,negative,SF
air_density_velocity_boost,0.004735,positive,SF
team_exitvelo_diff,-0.004427,negative,SF
sp_k9_30g_diff,0.003832,positive,SF
dome_is_neutral,0.002745,positive,SF
wind_advantage_flyball_factor,0.0022,positive,SF
travel_fatigue_diff,-0.001004,negative,SF
bullpen_meltdown_risk,0.000681,positive,SF
sp_fbvelo_diff,0.000231,positive,SF
closer_availability_diff,0.000123,positive,SF
is_home,-0.0,negative,SF
