feature,shap_value,signed_effect,perspective_team
lineup_handedness_matchup_advantage,-0.221373,negative,STL
sp_xwoba_vs_l_diff,-0.107925,negative,STL
team_exitvelo_diff,0.094817,positive,STL
bullpen_whip_3g_diff,-0.082845,negative,STL
sp_fbpct_diff,0.082776,positive,STL
bullpen_whip_diff,0.074972,positive,STL
bullpen_ip_diff,-0.063215,negative,STL
lineup_woba_std_diff,0.059717,positive,STL
bullpen_meltdown_risk,0.059487,positive,STL
sp_xwoba_diff,0.055985,positive,STL
team_hardhit_diff,-0.054853,negative,STL
ace_efficiency_factor,-0.044784,negative,STL
bullpen_pitches_diff,-0.040777,negative,STL
lineup_depth_multiplier,-0.036208,negative,STL
sp_k9_diff,-0.033641,negative,STL
park_factor_slug_diff,0.024832,positive,STL
sp_fbvelo_diff,-0.018518,negative,STL
rest_days_diff,-0.017791,negative,STL
sp_era_diff,0.017704,positive,STL
pitcher_regression_indicator,0.015239,positive,STL
dome_is_neutral,0.014102,positive,STL
lineup_woba_mean_diff,0.010996,positive,STL
lineup_woba_top3_diff,0.006876,positive,STL
team_barrel_diff,-0.005169,negative,STL
sp_k9_30g_diff,-0.004703,negative,STL
air_density_velocity_boost,-0.003856,negative,STL
sp_whiff_diff,-0.002994,negative,STL
closer_availability_diff,0.002135,positive,STL
sp_era_30g_diff,0.001002,positive,STL
wind_advantage_flyball_factor,-0.000451,negative,STL
is_home,-0.0,negative,STL
win_pct_diff,-0.0,negative,STL
elo_diff,-0.0,negative,STL
woba_30g_diff,-0.0,negative,STL
travel_fatigue_diff,-0.0,negative,STL
