feature,shap_value,signed_effect,perspective_team
bullpen_whip_diff,0.129535,positive,BAL
team_exitvelo_diff,0.117855,positive,BAL
lineup_woba_top3_diff,0.099972,positive,BAL
woba_30g_diff,-0.095459,negative,BAL
sp_era_5g_diff,-0.093994,negative,BAL
bullpen_whip_3g_diff,0.079325,positive,BAL
park_factor_slug_diff,-0.075917,negative,BAL
sp_k9_diff,0.074918,positive,BAL
lineup_handedness_matchup_advantage,0.072711,positive,BAL
lineup_woba_std_diff,-0.045688,negative,BAL
sp_fbvelo_diff,-0.042327,negative,BAL
sp_xwoba_diff,-0.041849,negative,BAL
sp_era_diff,-0.040093,negative,BAL
lineup_woba_mean_diff,0.028741,positive,BAL
sp_whiff_diff,-0.026013,negative,BAL
elo_diff,-0.021946,negative,BAL
lineup_depth_multiplier,0.017119,positive,BAL
win_pct_diff,-0.016039,negative,BAL
team_hardhit_diff,-0.012155,negative,BAL
dome_is_neutral,-0.01078,negative,BAL
sp_fbpct_diff,-0.008542,negative,BAL
bullpen_meltdown_risk,0.007705,positive,BAL
sp_k9_5g_diff,-0.00757,negative,BAL
bullpen_pitches_diff,-0.007069,negative,BAL
sp_xwoba_vs_l_diff,0.006603,positive,BAL
pitcher_regression_indicator,0.006534,positive,BAL
ace_efficiency_factor,-0.006398,negative,BAL
team_barrel_diff,0.004517,positive,BAL
rest_days_diff,0.002878,positive,BAL
travel_fatigue_diff,0.00077,positive,BAL
closer_availability_diff,-0.000368,negative,BAL
is_home,0.0,negative,BAL
