feature,shap_value,signed_effect,perspective_team
bullpen_whip_10g_home,0.021238,positive,NYY
bullpen_whip_diff,0.010144,positive,NYY
sp_era_5g_diff,-0.008165,negative,NYY
sp_fbvelo_diff,-0.007276,negative,NYY
home_elo,0.007246,positive,NYY
lineup_woba_mean_away,-0.006513,negative,NYY
team_exitvelo_diff,0.006367,positive,NYY
team_hardhit_diff,0.006078,positive,NYY
win_pct_diff,0.00604,positive,NYY
team_barrel_15g_away,-0.005726,negative,NYY
sp_xwoba_vs_l_diff,0.004898,positive,NYY
team_exitvelo_15g_away,-0.004684,negative,NYY
home_win_pct,0.003963,positive,NYY
lineup_woba_mean_home,-0.003845,negative,NYY
away_win_pct,-0.00362,negative,NYY
sp_era_diff,-0.003613,negative,NYY
away_elo,-0.00312,negative,NYY
woba_30g_home,-0.003017,negative,NYY
sp_k9_diff,0.002976,positive,NYY
lineup_woba_top3_away,0.002793,positive,NYY
lineup_woba_top3_home,-0.002512,negative,NYY
bullpen_meltdown_risk,0.002287,positive,NYY
woba_30g_away,-0.002185,negative,NYY
team_exitvelo_15g_home,0.002156,positive,NYY
pitcher_regression_indicator,-0.00193,negative,NYY
team_barrel_diff,0.001867,positive,NYY
sp_era_home,-0.001867,negative,NYY
bullpen_whip_10g_away,-0.001833,negative,NYY
sp_whiff_diff,0.00177,positive,NYY
sp_k9_5g_diff,0.001664,positive,NYY
sp_k9_home,-0.001647,negative,NYY
elo_diff,0.001592,positive,NYY
lineup_woba_mean_diff,0.001419,positive,NYY
sp_era_away,-0.001351,negative,NYY
lineup_woba_std_diff,-0.001312,negative,NYY
lineup_handedness_matchup_advantage,-0.001193,negative,NYY
sp_xwoba_diff,0.001115,positive,NYY
lineup_woba_top3_diff,0.00098,positive,NYY
sp_xwoba_away,-0.000974,negative,NYY
bullpen_whip_3g_home,0.000866,positive,NYY
dome_is_neutral,-0.000807,negative,NYY
bullpen_whip_3g_diff,0.000662,positive,NYY
ace_efficiency_factor,0.000628,positive,NYY
lineup_depth_multiplier,0.000554,positive,NYY
sp_fbpct_diff,-0.000494,negative,NYY
park_factor_slug_diff,0.00047,positive,NYY
wind_advantage_flyball_factor,-0.00045,negative,NYY
woba_30g_diff,-0.000443,negative,NYY
bullpen_whip_3g_away,-0.000407,negative,NYY
bullpen_pitches_diff,0.000383,positive,NYY
team_barrel_15g_home,-0.000368,negative,NYY
air_density_velocity_boost,0.000308,positive,NYY
sp_xwoba_home,-0.000213,negative,NYY
travel_fatigue_diff,-0.000104,negative,NYY
sp_k9_away,0.000102,positive,NYY
closer_availability_diff,-7.1e-05,negative,NYY
rest_days_diff,-3.3e-05,negative,NYY
is_home,0.0,negative,NYY
