feature,shap_value,signed_effect,perspective_team
woba_30g_diff,-0.109525,negative,WSH
lineup_woba_top3_diff,0.092416,positive,WSH
sp_xwoba_vs_l_diff,0.08258,positive,WSH
elo_diff,-0.081833,negative,WSH
lineup_handedness_matchup_advantage,-0.079714,negative,WSH
lineup_woba_std_diff,-0.072698,negative,WSH
bullpen_whip_diff,0.071074,positive,WSH
lineup_woba_mean_diff,-0.060503,negative,WSH
ace_efficiency_factor,0.057555,positive,WSH
team_barrel_diff,0.047193,positive,WSH
park_factor_slug_diff,-0.045754,negative,WSH
bullpen_ip_diff,-0.044299,negative,WSH
sp_k9_diff,-0.031952,negative,WSH
pitcher_regression_indicator,-0.031024,negative,WSH
bullpen_meltdown_risk,0.026709,positive,WSH
sp_fbvelo_diff,-0.022784,negative,WSH
wind_advantage_flyball_factor,-0.020276,negative,WSH
sp_era_diff,-0.019079,negative,WSH
bullpen_pitches_diff,-0.017462,negative,WSH
team_exitvelo_diff,0.015354,positive,WSH
bullpen_whip_3g_diff,0.013231,positive,WSH
travel_fatigue_diff,0.011604,positive,WSH
win_pct_diff,0.010817,positive,WSH
sp_k9_30g_diff,-0.010505,negative,WSH
team_hardhit_diff,-0.01023,negative,WSH
sp_fbpct_diff,0.008186,positive,WSH
air_density_velocity_boost,-0.006705,negative,WSH
dome_is_neutral,-0.004037,negative,WSH
lineup_depth_multiplier,-0.003953,negative,WSH
sp_whiff_diff,0.003145,positive,WSH
sp_era_30g_diff,0.001585,positive,WSH
closer_availability_diff,0.000873,positive,WSH
sp_xwoba_diff,0.000454,positive,WSH
rest_days_diff,-0.000258,negative,WSH
is_home,-0.0,negative,WSH
