feature,shap_value,signed_effect,perspective_team
bullpen_whip_3g_home,-0.252845,negative,CHC
lineup_woba_std_diff,0.214571,positive,CHC
away_team_id,0.16914,positive,CHC
lineup_handedness_matchup_advantage,-0.066492,negative,CHC
lineup_woba_top3_away,0.064277,positive,CHC
bullpen_whip_3g_diff,0.054131,positive,CHC
home_team_id,-0.049638,negative,CHC
sp_xwoba_vs_l_diff,0.048149,positive,CHC
team_exitvelo_15g_away,0.045607,positive,CHC
air_density_velocity_boost,0.042435,positive,CHC
bullpen_pitches_diff,-0.041454,negative,CHC
bullpen_whip_3g_away,0.038416,positive,CHC
sp_era_5g_diff,0.038013,positive,CHC
sp_k9_home,-0.031612,negative,CHC
sp_fbvelo_diff,0.030661,positive,CHC
team_barrel_15g_home,0.028562,positive,CHC
lineup_woba_top3_diff,0.023787,positive,CHC
lineup_woba_mean_home,-0.023056,negative,CHC
team_barrel_diff,0.022956,positive,CHC
bullpen_whip_10g_home,0.021916,positive,CHC
lineup_woba_mean_diff,-0.021629,negative,CHC
bullpen_whip_diff,0.019955,positive,CHC
bullpen_meltdown_risk,-0.018707,negative,CHC
team_exitvelo_15g_home,-0.018606,negative,CHC
sp_k9_diff,0.014524,positive,CHC
home_win_pct,0.014186,positive,CHC
sp_era_diff,0.014039,positive,CHC
lineup_woba_top3_home,-0.01157,negative,CHC
sp_xwoba_diff,0.009808,positive,CHC
sp_xwoba_home,0.009561,positive,CHC
win_pct_diff,-0.009196,negative,CHC
sp_era_away,0.008912,positive,CHC
ace_efficiency_factor,-0.008779,negative,CHC
elo_diff,-0.00844,negative,CHC
lineup_depth_multiplier,0.00771,positive,CHC
bullpen_whip_10g_away,0.00717,positive,CHC
team_exitvelo_diff,0.007148,positive,CHC
sp_era_home,0.006973,positive,CHC
away_win_pct,-0.0064,negative,CHC
away_elo,-0.005502,negative,CHC
woba_30g_home,-0.004844,negative,CHC
sp_k9_5g_diff,0.004608,positive,CHC
sp_whiff_diff,0.004535,positive,CHC
sp_fbpct_diff,0.004396,positive,CHC
team_hardhit_diff,0.00385,positive,CHC
pitcher_regression_indicator,0.003786,positive,CHC
home_elo,-0.003683,negative,CHC
team_barrel_15g_away,0.003523,positive,CHC
park_factor_slug_diff,0.003365,positive,CHC
woba_30g_diff,0.003013,positive,CHC
wind_advantage_flyball_factor,-0.002613,negative,CHC
lineup_woba_mean_away,0.001854,positive,CHC
woba_30g_away,-0.001404,negative,CHC
sp_xwoba_away,0.001383,positive,CHC
dome_is_neutral,-0.000967,negative,CHC
rest_days_diff,-0.000382,negative,CHC
closer_availability_diff,-0.000351,negative,CHC
travel_fatigue_diff,-0.000179,negative,CHC
sp_k9_away,-9e-05,negative,CHC
is_home,-0.0,negative,CHC
