feature,shap_value,signed_effect,perspective_team
bullpen_whip_10g_home,0.03274,positive,DET
bullpen_whip_diff,0.032206,positive,DET
sp_whiff_diff,-0.023781,negative,DET
bullpen_meltdown_risk,0.0185,positive,DET
team_barrel_15g_home,-0.014939,negative,DET
sp_k9_home,-0.014634,negative,DET
sp_era_5g_diff,-0.013443,negative,DET
bullpen_whip_3g_away,-0.013113,negative,DET
ace_efficiency_factor,-0.012982,negative,DET
sp_era_diff,-0.011146,negative,DET
lineup_woba_mean_home,0.009965,positive,DET
lineup_woba_std_diff,0.009522,positive,DET
sp_xwoba_diff,-0.009333,negative,DET
sp_xwoba_vs_l_diff,0.00885,positive,DET
park_factor_slug_diff,-0.008663,negative,DET
pitcher_regression_indicator,-0.008579,negative,DET
team_hardhit_diff,-0.008545,negative,DET
away_win_pct,-0.007481,negative,DET
lineup_woba_top3_diff,0.007333,positive,DET
home_elo,0.005679,positive,DET
lineup_handedness_matchup_advantage,-0.005623,negative,DET
air_density_velocity_boost,0.005525,positive,DET
home_win_pct,-0.00502,negative,DET
sp_era_away,0.004766,positive,DET
bullpen_whip_3g_diff,-0.004477,negative,DET
woba_30g_diff,0.003897,positive,DET
woba_30g_away,-0.003331,negative,DET
team_exitvelo_15g_home,-0.003314,negative,DET
lineup_woba_mean_away,0.002914,positive,DET
lineup_woba_top3_away,0.002794,positive,DET
team_barrel_diff,-0.002756,negative,DET
team_exitvelo_15g_away,-0.002756,negative,DET
lineup_woba_mean_diff,-0.002713,negative,DET
sp_k9_diff,-0.002584,negative,DET
woba_30g_home,0.002335,positive,DET
sp_xwoba_away,-0.002332,negative,DET
bullpen_whip_3g_home,0.001909,positive,DET
sp_fbvelo_diff,-0.001805,negative,DET
bullpen_whip_10g_away,-0.001763,negative,DET
bullpen_pitches_diff,0.001752,positive,DET
away_team_id,0.001607,positive,DET
sp_k9_away,-0.001498,negative,DET
sp_xwoba_home,-0.001191,negative,DET
lineup_woba_top3_home,0.00117,positive,DET
team_barrel_15g_away,-0.001019,negative,DET
sp_era_home,-0.000747,negative,DET
sp_fbpct_diff,-0.000699,negative,DET
team_exitvelo_diff,-0.000592,negative,DET
win_pct_diff,-0.000552,negative,DET
rest_days_diff,0.000367,positive,DET
away_elo,-0.000267,negative,DET
elo_diff,-0.000247,negative,DET
sp_k9_5g_diff,-0.000213,negative,DET
dome_is_neutral,-0.000199,negative,DET
wind_advantage_flyball_factor,0.000199,positive,DET
home_team_id,8.1e-05,positive,DET
lineup_depth_multiplier,4.4e-05,positive,DET
travel_fatigue_diff,1.5e-05,positive,DET
closer_availability_diff,9e-06,positive,DET
is_home,0.0,negative,DET
