feature,shap_value,signed_effect,perspective_team
bullpen_whip_3g_home,0.338222,positive,CWS
away_team_id,0.158824,positive,CWS
home_team_id,-0.115079,negative,CWS
bullpen_whip_3g_diff,-0.039132,negative,CWS
bullpen_meltdown_risk,-0.038576,negative,CWS
sp_era_5g_diff,0.038242,positive,CWS
sp_k9_home,-0.036363,negative,CWS
bullpen_whip_diff,0.032131,positive,CWS
lineup_woba_mean_away,0.025759,positive,CWS
lineup_woba_std_diff,0.024264,positive,CWS
lineup_handedness_matchup_advantage,0.02324,positive,CWS
bullpen_pitches_diff,-0.021966,negative,CWS
sp_xwoba_vs_l_diff,-0.021177,negative,CWS
away_elo,-0.019183,negative,CWS
team_barrel_15g_home,0.018833,positive,CWS
bullpen_whip_10g_home,0.018447,positive,CWS
sp_k9_5g_diff,0.017045,positive,CWS
team_barrel_diff,0.016383,positive,CWS
team_exitvelo_15g_home,0.015941,positive,CWS
sp_fbpct_diff,0.015908,positive,CWS
woba_30g_away,0.013893,positive,CWS
lineup_depth_multiplier,0.013878,positive,CWS
lineup_woba_top3_home,0.012972,positive,CWS
pitcher_regression_indicator,-0.012561,negative,CWS
lineup_woba_top3_away,0.012178,positive,CWS
sp_xwoba_home,-0.011782,negative,CWS
sp_era_diff,0.011217,positive,CWS
bullpen_whip_10g_away,-0.01072,negative,CWS
away_win_pct,0.009801,positive,CWS
elo_diff,0.00959,positive,CWS
bullpen_whip_3g_away,-0.009512,negative,CWS
team_barrel_15g_away,-0.009212,negative,CWS
sp_fbvelo_diff,0.006822,positive,CWS
sp_era_home,-0.00637,negative,CWS
lineup_woba_top3_diff,-0.006195,negative,CWS
win_pct_diff,0.00597,positive,CWS
sp_whiff_diff,0.005493,positive,CWS
home_win_pct,-0.004301,negative,CWS
lineup_woba_mean_home,0.004135,positive,CWS
woba_30g_diff,0.003802,positive,CWS
ace_efficiency_factor,0.003217,positive,CWS
woba_30g_home,-0.003168,negative,CWS
sp_xwoba_diff,0.002845,positive,CWS
team_exitvelo_15g_away,0.002762,positive,CWS
team_hardhit_diff,-0.002408,negative,CWS
team_exitvelo_diff,-0.002282,negative,CWS
park_factor_slug_diff,-0.00228,negative,CWS
air_density_velocity_boost,0.00213,positive,CWS
lineup_woba_mean_diff,-0.002073,negative,CWS
wind_advantage_flyball_factor,-0.001759,negative,CWS
sp_era_away,-0.00161,negative,CWS
sp_k9_diff,0.001455,positive,CWS
home_elo,0.001096,positive,CWS
rest_days_diff,0.000611,positive,CWS
dome_is_neutral,-0.000607,negative,CWS
sp_k9_away,0.000402,positive,CWS
sp_xwoba_away,0.000291,positive,CWS
closer_availability_diff,8.6e-05,positive,CWS
travel_fatigue_diff,3.7e-05,positive,CWS
is_home,0.0,negative,CWS
