feature,shap_value,signed_effect,perspective_team
away_team_id,0.159186,positive,BOS
home_team_id,0.034759,positive,BOS
sp_era_5g_diff,0.030955,positive,BOS
lineup_actual_woba_delta_home,0.029927,positive,BOS
sp_fbpct_diff,-0.02953,negative,BOS
sp_xwoba_vs_l_diff,0.017862,positive,BOS
sp_xwoba_away,0.016324,positive,BOS
woba_30g_away,-0.015678,negative,BOS
bullpen_whip_diff,0.015072,positive,BOS
away_elo,0.012428,positive,BOS
run_margin_diff,-0.011371,negative,BOS
lineup_actual_woba_delta_away,0.011106,positive,BOS
lineup_actual_top3_delta_home,0.010455,positive,BOS
sp_k9_diff,0.009744,positive,BOS
bullpen_whip_3g_diff,0.008691,positive,BOS
team_barrel_15g_home,0.00842,positive,BOS
lineup_woba_top3_diff,0.008316,positive,BOS
team_hardhit_diff,-0.007765,negative,BOS
team_exitvelo_diff,-0.007399,negative,BOS
elo_diff,0.006911,positive,BOS
lineup_woba_top3_home,0.006626,positive,BOS
sp_xwoba_diff,0.006235,positive,BOS
park_factor_slug_diff,-0.006103,negative,BOS
sp_k9_home,0.006087,positive,BOS
lineup_woba_std_diff,-0.005611,negative,BOS
sp_k9_away,0.005586,positive,BOS
sp_era_diff,0.005547,positive,BOS
sp_era_home,0.004784,positive,BOS
bullpen_whip_10g_home,0.004265,positive,BOS
lineup_handedness_matchup_advantage,0.003828,positive,BOS
lineup_rest_count_away,0.003641,positive,BOS
bullpen_pitches_diff,0.003477,positive,BOS
lineup_woba_mean_away,-0.002929,negative,BOS
bullpen_whip_3g_away,0.002695,positive,BOS
home_elo,-0.002593,negative,BOS
sp_fbvelo_diff,0.002581,positive,BOS
sp_xwoba_home,0.002498,positive,BOS
bullpen_whip_3g_home,-0.002201,negative,BOS
ace_efficiency_factor,-0.002169,negative,BOS
away_win_pct,-0.002114,negative,BOS
lineup_woba_top3_away,0.002013,positive,BOS
sp_k9_5g_diff,0.001809,positive,BOS
home_win_pct,0.001643,positive,BOS
travel_fatigue_diff,-0.001578,negative,BOS
team_barrel_15g_away,-0.001559,negative,BOS
team_barrel_diff,0.001476,positive,BOS
lineup_woba_mean_home,-0.00142,negative,BOS
bullpen_meltdown_risk,-0.001335,negative,BOS
win_pct_diff,-0.001327,negative,BOS
woba_30g_home,0.001248,positive,BOS
woba_30g_diff,0.001225,positive,BOS
team_exitvelo_15g_away,0.001004,positive,BOS
air_density_velocity_boost,-0.000918,negative,BOS
lineup_actual_top3_delta_away,-0.000849,negative,BOS
team_exitvelo_15g_home,0.000744,positive,BOS
bullpen_whip_10g_away,-0.00057,negative,BOS
wind_advantage_flyball_factor,-0.00044,negative,BOS
lineup_woba_mean_diff,-0.000347,negative,BOS
lineup_depth_multiplier,-0.000275,negative,BOS
lineup_rest_count_home,0.000259,positive,BOS
dome_is_neutral,-0.000213,negative,BOS
sp_era_away,-0.000169,negative,BOS
sp_whiff_diff,-0.000168,negative,BOS
pitcher_regression_indicator,0.000152,positive,BOS
rest_days_diff,-2.4e-05,negative,BOS
closer_availability_diff,1.8e-05,positive,BOS
is_home,-0.0,negative,BOS
