feature,shap_value,signed_effect,perspective_team
away_team_id,-0.141745,negative,AZ
home_team_id,0.05828,positive,AZ
woba_30g_away,0.024702,positive,AZ
bullpen_meltdown_risk,0.02043,positive,AZ
bullpen_whip_diff,-0.014324,negative,AZ
sp_era_5g_diff,0.01349,positive,AZ
team_barrel_15g_home,-0.012237,negative,AZ
bullpen_whip_10g_home,-0.010004,negative,AZ
lineup_woba_mean_away,0.009452,positive,AZ
lineup_woba_std_diff,0.009445,positive,AZ
sp_xwoba_vs_l_diff,0.008363,positive,AZ
sp_xwoba_away,0.008116,positive,AZ
team_hardhit_diff,0.007999,positive,AZ
bullpen_whip_3g_diff,0.006763,positive,AZ
win_pct_diff,-0.006579,negative,AZ
lineup_woba_top3_away,-0.006234,negative,AZ
sp_k9_away,0.005848,positive,AZ
sp_xwoba_home,0.00574,positive,AZ
sp_fbpct_diff,0.005672,positive,AZ
bullpen_whip_3g_home,-0.005571,negative,AZ
sp_fbvelo_diff,0.005192,positive,AZ
sp_era_home,0.004901,positive,AZ
ace_efficiency_factor,0.004334,positive,AZ
team_exitvelo_diff,-0.004176,negative,AZ
travel_fatigue_diff,-0.004101,negative,AZ
lineup_handedness_matchup_advantage,-0.004022,negative,AZ
sp_k9_diff,0.003791,positive,AZ
woba_30g_diff,-0.003739,negative,AZ
lineup_woba_mean_home,0.003115,positive,AZ
away_win_pct,0.002815,positive,AZ
run_margin_diff,-0.002711,negative,AZ
home_win_pct,-0.002548,negative,AZ
bullpen_whip_3g_away,0.002432,positive,AZ
team_exitvelo_15g_away,0.002422,positive,AZ
air_density_velocity_boost,0.002286,positive,AZ
sp_era_away,-0.001792,negative,AZ
sp_era_diff,-0.001637,negative,AZ
pitcher_regression_indicator,0.001528,positive,AZ
home_elo,0.001286,positive,AZ
team_exitvelo_15g_home,0.001156,positive,AZ
woba_30g_home,0.001154,positive,AZ
lineup_woba_mean_diff,0.001118,positive,AZ
dome_is_neutral,0.001079,positive,AZ
team_barrel_diff,-0.000924,negative,AZ
sp_whiff_diff,0.000897,positive,AZ
lineup_woba_top3_diff,0.000885,positive,AZ
sp_k9_home,-0.000652,negative,AZ
elo_diff,0.000533,positive,AZ
wind_advantage_flyball_factor,0.000511,positive,AZ
team_barrel_15g_away,0.000511,positive,AZ
lineup_woba_top3_home,0.000444,positive,AZ
lineup_depth_multiplier,0.000439,positive,AZ
sp_k9_5g_diff,0.000271,positive,AZ
sp_xwoba_diff,0.000253,positive,AZ
bullpen_pitches_diff,0.000229,positive,AZ
away_elo,-0.000159,negative,AZ
park_factor_slug_diff,-0.000148,negative,AZ
bullpen_whip_10g_away,-0.00012,negative,AZ
closer_availability_diff,-3.1e-05,negative,AZ
rest_days_diff,-5e-06,negative,AZ
is_home,0.0,negative,AZ
lineup_actual_woba_delta_home,0.0,negative,AZ
lineup_actual_woba_delta_away,0.0,negative,AZ
lineup_actual_top3_delta_home,0.0,negative,AZ
lineup_actual_top3_delta_away,0.0,negative,AZ
lineup_rest_count_home,0.0,negative,AZ
lineup_rest_count_away,0.0,negative,AZ
