feature,shap_value,signed_effect,perspective_team
home_team_id,-0.251749,negative,WSH
away_team_id,0.244109,positive,WSH
run_margin_diff,0.026067,positive,WSH
sp_era_5g_diff,0.021543,positive,WSH
bullpen_meltdown_risk,0.018736,positive,WSH
bullpen_whip_10g_home,-0.015746,negative,WSH
team_exitvelo_15g_home,-0.014227,negative,WSH
lineup_woba_mean_away,-0.013329,negative,WSH
bullpen_whip_3g_diff,-0.010452,negative,WSH
lineup_handedness_matchup_advantage,-0.010429,negative,WSH
sp_era_away,0.009395,positive,WSH
sp_xwoba_home,-0.008267,negative,WSH
lineup_woba_std_diff,0.007743,positive,WSH
sp_fbpct_diff,0.007122,positive,WSH
away_win_pct,-0.006324,negative,WSH
elo_diff,0.00604,positive,WSH
bullpen_whip_3g_away,-0.006001,negative,WSH
home_elo,-0.005363,negative,WSH
home_win_pct,-0.004992,negative,WSH
sp_fbvelo_diff,-0.004849,negative,WSH
sp_xwoba_diff,0.004704,positive,WSH
woba_30g_away,-0.004615,negative,WSH
sp_xwoba_vs_l_diff,0.004208,positive,WSH
lineup_woba_top3_home,0.003652,positive,WSH
bullpen_whip_diff,-0.003396,negative,WSH
sp_k9_diff,0.003324,positive,WSH
win_pct_diff,0.003019,positive,WSH
team_exitvelo_15g_away,-0.002702,negative,WSH
away_elo,0.002617,positive,WSH
team_barrel_15g_home,0.002447,positive,WSH
ace_efficiency_factor,0.00234,positive,WSH
sp_era_home,0.002259,positive,WSH
wind_advantage_flyball_factor,-0.002237,negative,WSH
sp_whiff_diff,0.002187,positive,WSH
team_hardhit_diff,0.002139,positive,WSH
woba_30g_diff,-0.002131,negative,WSH
lineup_woba_mean_home,0.002098,positive,WSH
sp_era_diff,-0.001924,negative,WSH
travel_fatigue_diff,-0.001627,negative,WSH
sp_k9_away,0.001525,positive,WSH
lineup_woba_mean_diff,0.001522,positive,WSH
pitcher_regression_indicator,-0.001411,negative,WSH
team_exitvelo_diff,0.001387,positive,WSH
lineup_woba_top3_diff,0.001186,positive,WSH
sp_k9_home,0.001133,positive,WSH
bullpen_whip_3g_home,0.001043,positive,WSH
sp_k9_5g_diff,0.000916,positive,WSH
woba_30g_home,-0.000693,negative,WSH
bullpen_pitches_diff,0.00069,positive,WSH
lineup_woba_top3_away,0.000585,positive,WSH
lineup_depth_multiplier,-0.00058,negative,WSH
sp_xwoba_away,-0.000443,negative,WSH
dome_is_neutral,-0.000378,negative,WSH
team_barrel_diff,0.000331,positive,WSH
bullpen_whip_10g_away,-0.000294,negative,WSH
air_density_velocity_boost,-0.000215,negative,WSH
park_factor_slug_diff,-0.000151,negative,WSH
team_barrel_15g_away,-1.6e-05,negative,WSH
closer_availability_diff,-8e-06,negative,WSH
rest_days_diff,6e-06,positive,WSH
is_home,0.0,negative,WSH
lineup_actual_woba_delta_home,0.0,negative,WSH
lineup_actual_woba_delta_away,0.0,negative,WSH
lineup_actual_top3_delta_home,0.0,negative,WSH
lineup_actual_top3_delta_away,0.0,negative,WSH
lineup_rest_count_home,0.0,negative,WSH
lineup_rest_count_away,0.0,negative,WSH
