feature,shap_value,signed_effect,perspective_team
away_team_id,0.20997,positive,LAD
home_team_id,-0.047153,negative,LAD
air_density_velocity_boost,0.035941,positive,LAD
sp_era_5g_diff,0.023176,positive,LAD
lineup_actual_top3_delta_home,0.022302,positive,LAD
lineup_actual_woba_delta_away,0.021671,positive,LAD
lineup_woba_mean_home,0.014276,positive,LAD
sp_xwoba_away,0.013848,positive,LAD
lineup_actual_woba_delta_home,-0.012531,negative,LAD
bullpen_whip_10g_home,0.012047,positive,LAD
sp_k9_away,0.010887,positive,LAD
lineup_actual_top3_delta_away,-0.009504,negative,LAD
sp_xwoba_diff,0.008245,positive,LAD
sp_k9_diff,0.008187,positive,LAD
bullpen_whip_3g_diff,-0.007333,negative,LAD
lineup_woba_top3_home,0.007153,positive,LAD
sp_fbvelo_diff,0.006787,positive,LAD
lineup_woba_std_diff,-0.006533,negative,LAD
sp_era_diff,0.006524,positive,LAD
sp_k9_home,0.006407,positive,LAD
bullpen_whip_3g_home,-0.006259,negative,LAD
sp_xwoba_home,0.006083,positive,LAD
home_win_pct,-0.005721,negative,LAD
pitcher_regression_indicator,0.004426,positive,LAD
bullpen_whip_diff,0.004381,positive,LAD
wind_advantage_flyball_factor,-0.004305,negative,LAD
woba_30g_away,-0.003792,negative,LAD
lineup_rest_count_away,0.003749,positive,LAD
lineup_handedness_matchup_advantage,0.003659,positive,LAD
elo_diff,0.003613,positive,LAD
sp_xwoba_vs_l_diff,-0.003553,negative,LAD
sp_era_home,0.00322,positive,LAD
home_elo,-0.0032,negative,LAD
team_exitvelo_15g_home,-0.002953,negative,LAD
bullpen_whip_3g_away,-0.00295,negative,LAD
sp_era_away,0.002827,positive,LAD
woba_30g_home,0.002271,positive,LAD
sp_k9_5g_diff,0.00181,positive,LAD
bullpen_pitches_diff,0.001719,positive,LAD
bullpen_meltdown_risk,-0.001637,negative,LAD
team_barrel_diff,-0.001622,negative,LAD
lineup_depth_multiplier,-0.00138,negative,LAD
park_factor_slug_diff,0.001343,positive,LAD
away_elo,0.001104,positive,LAD
away_win_pct,0.000994,positive,LAD
lineup_woba_top3_away,0.000988,positive,LAD
lineup_woba_mean_diff,-0.00097,negative,LAD
ace_efficiency_factor,-0.000954,negative,LAD
team_barrel_15g_away,-0.000885,negative,LAD
bullpen_whip_10g_away,-0.000831,negative,LAD
team_hardhit_diff,-0.000744,negative,LAD
lineup_woba_mean_away,-0.000733,negative,LAD
team_barrel_15g_home,-0.000648,negative,LAD
team_exitvelo_diff,-0.000637,negative,LAD
team_exitvelo_15g_away,0.000509,positive,LAD
win_pct_diff,-0.000501,negative,LAD
sp_whiff_diff,-0.000288,negative,LAD
sp_fbpct_diff,0.000242,positive,LAD
lineup_woba_top3_diff,-0.00023,negative,LAD
woba_30g_diff,0.000227,positive,LAD
dome_is_neutral,0.000169,positive,LAD
travel_fatigue_diff,-6.9e-05,negative,LAD
rest_days_diff,-4.2e-05,negative,LAD
lineup_rest_count_home,4e-06,positive,LAD
closer_availability_diff,3e-06,positive,LAD
is_home,-0.0,negative,LAD
