feature,shap_value,signed_effect,perspective_team
home_team_id,0.233332,positive,MIN
away_team_id,-0.154603,negative,MIN
sp_era_5g_diff,-0.024504,negative,MIN
sp_xwoba_diff,0.019258,positive,MIN
lineup_actual_woba_delta_home,0.017572,positive,MIN
lineup_actual_top3_delta_home,0.014567,positive,MIN
lineup_woba_mean_away,0.014535,positive,MIN
lineup_actual_woba_delta_away,0.012266,positive,MIN
bullpen_pitches_diff,-0.012124,negative,MIN
bullpen_meltdown_risk,0.00926,positive,MIN
home_win_pct,-0.008931,negative,MIN
bullpen_whip_10g_home,0.008858,positive,MIN
bullpen_whip_3g_away,0.008202,positive,MIN
sp_xwoba_vs_l_diff,-0.008093,negative,MIN
lineup_woba_top3_diff,0.007535,positive,MIN
lineup_woba_std_diff,-0.007361,negative,MIN
home_elo,0.007299,positive,MIN
lineup_woba_top3_home,0.006176,positive,MIN
elo_diff,0.005278,positive,MIN
lineup_handedness_matchup_advantage,0.005082,positive,MIN
ace_efficiency_factor,-0.004819,negative,MIN
team_exitvelo_15g_away,-0.004694,negative,MIN
sp_xwoba_home,0.004604,positive,MIN
sp_fbvelo_diff,0.004503,positive,MIN
team_exitvelo_15g_home,-0.004376,negative,MIN
lineup_depth_multiplier,0.004338,positive,MIN
lineup_woba_mean_home,-0.003867,negative,MIN
sp_xwoba_away,0.003713,positive,MIN
sp_era_diff,0.003501,positive,MIN
bullpen_whip_10g_away,0.003387,positive,MIN
team_barrel_15g_home,-0.003005,negative,MIN
run_margin_diff,-0.002655,negative,MIN
bullpen_whip_3g_diff,0.00253,positive,MIN
sp_k9_away,0.002322,positive,MIN
team_barrel_15g_away,-0.002315,negative,MIN
team_exitvelo_diff,0.002268,positive,MIN
lineup_rest_count_away,0.002058,positive,MIN
sp_whiff_diff,-0.00196,negative,MIN
wind_advantage_flyball_factor,0.001908,positive,MIN
woba_30g_away,0.001739,positive,MIN
sp_k9_diff,-0.001565,negative,MIN
lineup_woba_top3_away,0.001435,positive,MIN
park_factor_slug_diff,0.001313,positive,MIN
bullpen_whip_3g_home,-0.0013,negative,MIN
sp_era_home,-0.001287,negative,MIN
away_win_pct,-0.001272,negative,MIN
woba_30g_diff,0.001067,positive,MIN
team_barrel_diff,-0.000868,negative,MIN
win_pct_diff,-0.000849,negative,MIN
travel_fatigue_diff,-0.000761,negative,MIN
lineup_woba_mean_diff,-0.000601,negative,MIN
sp_k9_home,-0.000583,negative,MIN
team_hardhit_diff,0.000532,positive,MIN
sp_k9_5g_diff,-0.000446,negative,MIN
away_elo,-0.000425,negative,MIN
dome_is_neutral,0.000298,positive,MIN
sp_fbpct_diff,0.000275,positive,MIN
pitcher_regression_indicator,-0.000234,negative,MIN
woba_30g_home,0.000188,positive,MIN
air_density_velocity_boost,-0.000148,negative,MIN
sp_era_away,-8.7e-05,negative,MIN
lineup_rest_count_home,8.1e-05,positive,MIN
rest_days_diff,-5.7e-05,negative,MIN
closer_availability_diff,3.9e-05,positive,MIN
lineup_actual_top3_delta_away,-3.7e-05,negative,MIN
bullpen_whip_diff,2.2e-05,positive,MIN
is_home,-0.0,negative,MIN
