feature,shap_value,signed_effect,perspective_team
home_team_id,0.163795,positive,SD
away_team_id,0.150517,positive,SD
lineup_actual_woba_delta_home,-0.033988,negative,SD
sp_era_5g_diff,0.021194,positive,SD
lineup_actual_woba_delta_away,-0.019765,negative,SD
sp_xwoba_vs_l_diff,-0.018427,negative,SD
bullpen_whip_10g_home,0.016528,positive,SD
run_margin_diff,0.01577,positive,SD
lineup_actual_top3_delta_home,-0.012547,negative,SD
sp_fbvelo_diff,-0.011864,negative,SD
team_exitvelo_diff,0.011812,positive,SD
sp_k9_diff,-0.010688,negative,SD
lineup_woba_top3_diff,0.008232,positive,SD
lineup_woba_std_diff,0.008214,positive,SD
sp_k9_home,-0.007124,negative,SD
sp_xwoba_diff,0.006635,positive,SD
elo_diff,0.005884,positive,SD
bullpen_whip_diff,-0.00551,negative,SD
bullpen_meltdown_risk,-0.005001,negative,SD
lineup_handedness_matchup_advantage,0.004653,positive,SD
lineup_woba_top3_home,0.004505,positive,SD
away_win_pct,-0.004438,negative,SD
lineup_woba_mean_away,0.004116,positive,SD
lineup_woba_mean_home,0.00374,positive,SD
sp_k9_away,-0.003622,negative,SD
sp_xwoba_home,0.003525,positive,SD
sp_era_home,0.003451,positive,SD
sp_era_diff,0.002992,positive,SD
lineup_depth_multiplier,0.002575,positive,SD
sp_k9_5g_diff,-0.002445,negative,SD
lineup_actual_top3_delta_away,-0.002335,negative,SD
bullpen_pitches_diff,-0.002324,negative,SD
woba_30g_away,-0.002272,negative,SD
bullpen_whip_3g_away,0.002021,positive,SD
team_barrel_15g_home,0.00202,positive,SD
home_elo,0.002018,positive,SD
bullpen_whip_10g_away,0.001836,positive,SD
home_win_pct,0.001685,positive,SD
travel_fatigue_diff,0.001634,positive,SD
team_exitvelo_15g_away,0.001634,positive,SD
lineup_woba_top3_away,0.001516,positive,SD
bullpen_whip_3g_home,0.001455,positive,SD
win_pct_diff,0.001386,positive,SD
wind_advantage_flyball_factor,-0.001305,negative,SD
woba_30g_home,0.001,positive,SD
park_factor_slug_diff,0.00094,positive,SD
bullpen_whip_3g_diff,-0.000814,negative,SD
sp_era_away,0.000783,positive,SD
sp_fbpct_diff,-0.000646,negative,SD
sp_xwoba_away,-0.000628,negative,SD
ace_efficiency_factor,0.000557,positive,SD
pitcher_regression_indicator,-0.00051,negative,SD
woba_30g_diff,-0.000482,negative,SD
away_elo,0.00044,positive,SD
lineup_woba_mean_diff,0.000421,positive,SD
team_barrel_diff,-0.000368,negative,SD
air_density_velocity_boost,-0.000294,negative,SD
team_exitvelo_15g_home,-0.00019,negative,SD
dome_is_neutral,-0.000182,negative,SD
team_hardhit_diff,9.9e-05,positive,SD
team_barrel_15g_away,5.8e-05,positive,SD
lineup_rest_count_away,-4.9e-05,negative,SD
rest_days_diff,4.7e-05,positive,SD
lineup_rest_count_home,-4.5e-05,negative,SD
sp_whiff_diff,2.6e-05,positive,SD
closer_availability_diff,-5e-06,negative,SD
is_home,0.0,negative,SD
