feature,shap_value,signed_effect,perspective_team
home_team_id,-0.074413,negative,SF
bullpen_whip_diff,0.027184,positive,SF
lineup_actual_woba_delta_away,-0.02712,negative,SF
sp_xwoba_diff,0.021824,positive,SF
lineup_actual_woba_delta_home,0.021475,positive,SF
run_margin_diff,0.020288,positive,SF
lineup_actual_top3_delta_home,-0.018974,negative,SF
home_elo,-0.013934,negative,SF
bullpen_meltdown_risk,-0.011883,negative,SF
bullpen_whip_10g_home,-0.011022,negative,SF
sp_xwoba_vs_l_diff,0.0107,positive,SF
sp_era_5g_diff,-0.010131,negative,SF
sp_fbvelo_diff,-0.009746,negative,SF
lineup_woba_std_diff,0.008092,positive,SF
lineup_actual_top3_delta_away,0.007618,positive,SF
sp_k9_home,-0.007145,negative,SF
win_pct_diff,-0.006758,negative,SF
away_team_id,-0.006741,negative,SF
bullpen_whip_3g_away,-0.006578,negative,SF
lineup_woba_mean_home,-0.004997,negative,SF
team_exitvelo_15g_away,0.004378,positive,SF
sp_xwoba_away,-0.004113,negative,SF
ace_efficiency_factor,0.004111,positive,SF
bullpen_whip_3g_home,0.004066,positive,SF
lineup_depth_multiplier,-0.004063,negative,SF
bullpen_whip_3g_diff,-0.003815,negative,SF
woba_30g_away,-0.003764,negative,SF
lineup_woba_top3_home,0.003184,positive,SF
sp_era_diff,-0.00318,negative,SF
lineup_woba_mean_away,-0.002993,negative,SF
away_win_pct,-0.002957,negative,SF
elo_diff,-0.002548,negative,SF
team_exitvelo_diff,-0.002333,negative,SF
sp_k9_away,0.00182,positive,SF
wind_advantage_flyball_factor,0.001626,positive,SF
sp_k9_diff,0.001614,positive,SF
woba_30g_diff,-0.001538,negative,SF
team_hardhit_diff,-0.001443,negative,SF
team_barrel_diff,0.001306,positive,SF
lineup_rest_count_away,0.001274,positive,SF
lineup_woba_top3_away,0.001203,positive,SF
lineup_woba_mean_diff,0.00118,positive,SF
lineup_handedness_matchup_advantage,-0.000979,negative,SF
lineup_woba_top3_diff,0.000965,positive,SF
sp_fbpct_diff,0.000955,positive,SF
park_factor_slug_diff,-0.000946,negative,SF
team_barrel_15g_home,-0.000937,negative,SF
sp_era_away,-0.00087,negative,SF
team_barrel_15g_away,-0.000841,negative,SF
home_win_pct,-0.000837,negative,SF
sp_whiff_diff,-0.00081,negative,SF
pitcher_regression_indicator,0.000802,positive,SF
away_elo,0.000617,positive,SF
rest_days_diff,0.000561,positive,SF
bullpen_whip_10g_away,0.000535,positive,SF
woba_30g_home,0.000415,positive,SF
sp_era_home,-0.000375,negative,SF
dome_is_neutral,-0.000245,negative,SF
sp_k9_5g_diff,-0.000199,negative,SF
team_exitvelo_15g_home,-0.000191,negative,SF
sp_xwoba_home,0.000187,positive,SF
travel_fatigue_diff,-8.8e-05,negative,SF
bullpen_pitches_diff,-2.5e-05,negative,SF
lineup_rest_count_home,2.1e-05,positive,SF
closer_availability_diff,-1.5e-05,negative,SF
air_density_velocity_boost,-8e-06,negative,SF
is_home,0.0,negative,SF
