feature,shap_value,signed_effect,perspective_team
away_team_id,0.15672,positive,CLE
home_team_id,0.144628,positive,CLE
sp_xwoba_vs_l_diff,0.027818,positive,CLE
lineup_actual_woba_delta_away,0.023928,positive,CLE
home_elo,0.023146,positive,CLE
run_margin_diff,0.022762,positive,CLE
lineup_actual_top3_delta_home,0.022538,positive,CLE
sp_era_5g_diff,0.020614,positive,CLE
lineup_actual_woba_delta_home,-0.015925,negative,CLE
bullpen_whip_10g_home,-0.015668,negative,CLE
lineup_woba_top3_home,0.015551,positive,CLE
team_barrel_15g_home,0.012451,positive,CLE
bullpen_whip_diff,0.011507,positive,CLE
bullpen_pitches_diff,0.010249,positive,CLE
lineup_woba_std_diff,0.00961,positive,CLE
wind_advantage_flyball_factor,0.009266,positive,CLE
sp_xwoba_diff,0.008906,positive,CLE
lineup_depth_multiplier,0.008598,positive,CLE
bullpen_meltdown_risk,0.007209,positive,CLE
lineup_actual_top3_delta_away,-0.00701,negative,CLE
win_pct_diff,0.006606,positive,CLE
sp_era_diff,0.006046,positive,CLE
lineup_woba_mean_away,-0.005358,negative,CLE
sp_fbpct_diff,-0.005266,negative,CLE
lineup_woba_mean_home,0.004776,positive,CLE
woba_30g_diff,-0.004448,negative,CLE
sp_xwoba_away,0.003734,positive,CLE
ace_efficiency_factor,-0.00353,negative,CLE
elo_diff,0.003491,positive,CLE
sp_fbvelo_diff,-0.003441,negative,CLE
lineup_handedness_matchup_advantage,0.003388,positive,CLE
lineup_rest_count_away,0.003338,positive,CLE
sp_era_home,-0.003105,negative,CLE
sp_xwoba_home,0.003002,positive,CLE
sp_k9_home,0.002837,positive,CLE
woba_30g_away,0.002638,positive,CLE
away_win_pct,0.00262,positive,CLE
lineup_woba_top3_diff,0.002565,positive,CLE
bullpen_whip_3g_away,0.002211,positive,CLE
team_barrel_15g_away,-0.002183,negative,CLE
team_exitvelo_15g_away,-0.001872,negative,CLE
pitcher_regression_indicator,-0.001786,negative,CLE
park_factor_slug_diff,0.001736,positive,CLE
air_density_velocity_boost,-0.001692,negative,CLE
bullpen_whip_3g_home,-0.001665,negative,CLE
team_exitvelo_15g_home,0.001562,positive,CLE
sp_era_away,0.001504,positive,CLE
team_hardhit_diff,-0.001468,negative,CLE
bullpen_whip_10g_away,-0.001407,negative,CLE
sp_k9_away,-0.001346,negative,CLE
woba_30g_home,-0.001314,negative,CLE
team_exitvelo_diff,0.001118,positive,CLE
home_win_pct,0.001042,positive,CLE
lineup_woba_mean_diff,-0.000947,negative,CLE
sp_k9_5g_diff,0.000845,positive,CLE
lineup_woba_top3_away,0.000802,positive,CLE
sp_k9_diff,0.000687,positive,CLE
bullpen_whip_3g_diff,0.000406,positive,CLE
team_barrel_diff,0.000224,positive,CLE
away_elo,0.000182,positive,CLE
rest_days_diff,-0.000174,negative,CLE
dome_is_neutral,0.000103,positive,CLE
travel_fatigue_diff,5.2e-05,positive,CLE
lineup_rest_count_home,2.4e-05,positive,CLE
sp_whiff_diff,-1.1e-05,negative,CLE
closer_availability_diff,6e-06,positive,CLE
is_home,-0.0,negative,CLE
