feature,shap_value,signed_effect,perspective_team
away_team_id,-0.139624,negative,NYY
home_team_id,0.050693,positive,NYY
run_margin_diff,0.041059,positive,NYY
sp_xwoba_vs_l_diff,-0.040533,negative,NYY
bullpen_whip_10g_home,0.029154,positive,NYY
sp_era_5g_diff,-0.028525,negative,NYY
bullpen_whip_diff,0.025673,positive,NYY
sp_xwoba_diff,-0.019841,negative,NYY
sp_xwoba_away,-0.014929,negative,NYY
sp_fbpct_diff,-0.013091,negative,NYY
team_hardhit_diff,0.012683,positive,NYY
sp_k9_5g_diff,-0.012671,negative,NYY
sp_k9_diff,-0.01223,negative,NYY
bullpen_meltdown_risk,-0.011652,negative,NYY
lineup_woba_top3_diff,-0.010998,negative,NYY
sp_k9_home,0.010418,positive,NYY
elo_diff,0.009552,positive,NYY
woba_30g_home,0.008724,positive,NYY
woba_30g_away,-0.008366,negative,NYY
sp_era_diff,-0.008073,negative,NYY
bullpen_whip_3g_diff,0.007052,positive,NYY
lineup_woba_mean_away,0.006172,positive,NYY
lineup_woba_std_diff,0.005946,positive,NYY
sp_xwoba_home,0.005635,positive,NYY
team_exitvelo_15g_home,0.00494,positive,NYY
lineup_woba_mean_diff,0.004688,positive,NYY
air_density_velocity_boost,-0.0044,negative,NYY
win_pct_diff,0.00364,positive,NYY
travel_fatigue_diff,-0.003428,negative,NYY
ace_efficiency_factor,-0.003378,negative,NYY
sp_fbvelo_diff,0.003054,positive,NYY
sp_k9_away,0.003016,positive,NYY
wind_advantage_flyball_factor,-0.002847,negative,NYY
team_exitvelo_diff,0.002604,positive,NYY
lineup_woba_top3_away,-0.002481,negative,NYY
team_barrel_diff,0.002413,positive,NYY
bullpen_whip_3g_home,0.002304,positive,NYY
team_exitvelo_15g_away,0.001857,positive,NYY
away_win_pct,0.001835,positive,NYY
lineup_handedness_matchup_advantage,-0.001831,negative,NYY
bullpen_pitches_diff,-0.001811,negative,NYY
home_elo,0.001809,positive,NYY
bullpen_whip_3g_away,0.001531,positive,NYY
lineup_woba_top3_home,-0.001463,negative,NYY
woba_30g_diff,-0.00142,negative,NYY
park_factor_slug_diff,-0.001332,negative,NYY
sp_era_home,0.00128,positive,NYY
sp_whiff_diff,-0.001233,negative,NYY
team_barrel_15g_away,0.000504,positive,NYY
home_win_pct,-0.000502,negative,NYY
pitcher_regression_indicator,-0.000449,negative,NYY
lineup_depth_multiplier,0.000343,positive,NYY
lineup_woba_mean_home,-0.00028,negative,NYY
away_elo,-0.000161,negative,NYY
dome_is_neutral,-0.000157,negative,NYY
sp_era_away,-0.000117,negative,NYY
bullpen_whip_10g_away,-7.9e-05,negative,NYY
team_barrel_15g_home,4.5e-05,positive,NYY
rest_days_diff,7e-06,positive,NYY
closer_availability_diff,-5e-06,negative,NYY
is_home,0.0,negative,NYY
lineup_actual_woba_delta_home,0.0,negative,NYY
lineup_actual_woba_delta_away,0.0,negative,NYY
lineup_actual_top3_delta_home,0.0,negative,NYY
lineup_actual_top3_delta_away,0.0,negative,NYY
lineup_rest_count_home,0.0,negative,NYY
lineup_rest_count_away,0.0,negative,NYY
