feature,shap_value,signed_effect,perspective_team
home_team_id,-0.133234,negative,PHI
away_team_id,0.071294,positive,PHI
lineup_woba_std_diff,0.047263,positive,PHI
run_margin_diff,0.037022,positive,PHI
sp_xwoba_vs_l_diff,0.030179,positive,PHI
lineup_actual_woba_delta_away,0.029619,positive,PHI
sp_era_5g_diff,0.01985,positive,PHI
lineup_actual_woba_delta_home,-0.017567,negative,PHI
sp_xwoba_away,0.017522,positive,PHI
lineup_actual_top3_delta_home,0.015905,positive,PHI
bullpen_whip_diff,0.012635,positive,PHI
sp_era_home,0.01087,positive,PHI
sp_xwoba_diff,0.010592,positive,PHI
bullpen_meltdown_risk,-0.010034,negative,PHI
sp_era_diff,0.009371,positive,PHI
bullpen_whip_10g_home,0.009014,positive,PHI
woba_30g_home,-0.007329,negative,PHI
lineup_actual_top3_delta_away,-0.007044,negative,PHI
lineup_woba_mean_home,0.006973,positive,PHI
bullpen_pitches_diff,-0.006571,negative,PHI
team_hardhit_diff,0.005746,positive,PHI
sp_fbpct_diff,-0.005427,negative,PHI
woba_30g_diff,-0.005378,negative,PHI
team_barrel_diff,-0.005195,negative,PHI
ace_efficiency_factor,-0.005017,negative,PHI
lineup_woba_mean_away,-0.004714,negative,PHI
park_factor_slug_diff,-0.004644,negative,PHI
bullpen_whip_3g_home,-0.004588,negative,PHI
lineup_depth_multiplier,-0.003623,negative,PHI
sp_k9_diff,0.003509,positive,PHI
sp_fbvelo_diff,-0.003285,negative,PHI
lineup_woba_top3_home,-0.003255,negative,PHI
win_pct_diff,0.003252,positive,PHI
sp_k9_away,0.00319,positive,PHI
away_win_pct,0.00258,positive,PHI
team_exitvelo_15g_away,-0.002506,negative,PHI
lineup_woba_top3_diff,0.002447,positive,PHI
air_density_velocity_boost,-0.002242,negative,PHI
team_exitvelo_15g_home,-0.002052,negative,PHI
sp_whiff_diff,0.002037,positive,PHI
home_elo,-0.001878,negative,PHI
woba_30g_away,0.001822,positive,PHI
team_barrel_15g_home,-0.001684,negative,PHI
pitcher_regression_indicator,-0.001602,negative,PHI
wind_advantage_flyball_factor,0.001541,positive,PHI
lineup_handedness_matchup_advantage,0.001429,positive,PHI
sp_k9_5g_diff,0.001373,positive,PHI
lineup_woba_top3_away,0.001355,positive,PHI
away_elo,-0.001329,negative,PHI
bullpen_whip_3g_away,0.001187,positive,PHI
sp_era_away,0.001076,positive,PHI
bullpen_whip_10g_away,0.001054,positive,PHI
bullpen_whip_3g_diff,0.000961,positive,PHI
elo_diff,0.000944,positive,PHI
lineup_woba_mean_diff,-0.000928,negative,PHI
team_exitvelo_diff,0.000785,positive,PHI
sp_xwoba_home,0.000678,positive,PHI
sp_k9_home,-0.000545,negative,PHI
dome_is_neutral,-0.000382,negative,PHI
team_barrel_15g_away,-0.000272,negative,PHI
rest_days_diff,-0.000165,negative,PHI
lineup_rest_count_home,0.00013,positive,PHI
travel_fatigue_diff,8.8e-05,positive,PHI
lineup_rest_count_away,-6.4e-05,negative,PHI
home_win_pct,5.7e-05,positive,PHI
closer_availability_diff,-2e-06,negative,PHI
is_home,-0.0,negative,PHI
