feature,shap_value,signed_effect,perspective_team
away_team_id,-0.097947,negative,SF
home_team_id,-0.03838,negative,SF
sp_xwoba_vs_l_diff,0.02732,positive,SF
lineup_actual_top3_delta_home,-0.013394,negative,SF
bullpen_whip_diff,0.013027,positive,SF
lineup_actual_top3_delta_away,0.010604,positive,SF
lineup_actual_woba_delta_away,-0.010499,negative,SF
lineup_actual_woba_delta_home,0.010058,positive,SF
bullpen_meltdown_risk,-0.009371,negative,SF
team_exitvelo_diff,0.009321,positive,SF
sp_era_5g_diff,0.008862,positive,SF
sp_era_diff,0.00872,positive,SF
home_elo,-0.007706,negative,SF
sp_era_home,0.007565,positive,SF
lineup_handedness_matchup_advantage,0.006836,positive,SF
lineup_depth_multiplier,-0.006293,negative,SF
air_density_velocity_boost,0.006272,positive,SF
sp_k9_away,0.006068,positive,SF
sp_k9_diff,0.005422,positive,SF
sp_xwoba_diff,-0.005229,negative,SF
sp_xwoba_away,0.005003,positive,SF
elo_diff,-0.004444,negative,SF
bullpen_whip_10g_home,0.004339,positive,SF
bullpen_whip_3g_away,-0.004292,negative,SF
bullpen_whip_3g_diff,0.004193,positive,SF
woba_30g_away,-0.004026,negative,SF
away_win_pct,-0.003984,negative,SF
sp_fbvelo_diff,0.003663,positive,SF
woba_30g_diff,-0.003499,negative,SF
sp_whiff_diff,0.003417,positive,SF
away_elo,-0.003302,negative,SF
sp_xwoba_home,-0.003246,negative,SF
lineup_woba_top3_diff,-0.002904,negative,SF
team_barrel_diff,0.002868,positive,SF
team_exitvelo_15g_away,0.002865,positive,SF
bullpen_whip_3g_home,0.001846,positive,SF
team_barrel_15g_away,0.00175,positive,SF
lineup_woba_std_diff,0.001666,positive,SF
team_barrel_15g_home,0.001581,positive,SF
lineup_woba_mean_away,0.001458,positive,SF
lineup_woba_top3_home,-0.00141,negative,SF
lineup_woba_top3_away,-0.001342,negative,SF
pitcher_regression_indicator,0.001234,positive,SF
park_factor_slug_diff,0.001099,positive,SF
sp_fbpct_diff,-0.00088,negative,SF
ace_efficiency_factor,0.000854,positive,SF
home_win_pct,0.000794,positive,SF
sp_k9_home,-0.000742,negative,SF
lineup_rest_count_away,-0.000733,negative,SF
team_exitvelo_15g_home,0.000723,positive,SF
lineup_woba_mean_diff,0.00062,positive,SF
bullpen_pitches_diff,0.000478,positive,SF
wind_advantage_flyball_factor,-0.000354,negative,SF
sp_k9_5g_diff,-0.000336,negative,SF
dome_is_neutral,-0.000279,negative,SF
travel_fatigue_diff,-0.000256,negative,SF
bullpen_whip_10g_away,0.000251,positive,SF
woba_30g_home,-0.000237,negative,SF
run_margin_diff,-0.000218,negative,SF
sp_era_away,-0.000179,negative,SF
team_hardhit_diff,0.000102,positive,SF
lineup_woba_mean_home,7.3e-05,positive,SF
lineup_rest_count_home,-6.9e-05,negative,SF
win_pct_diff,-4.9e-05,negative,SF
rest_days_diff,1.2e-05,positive,SF
closer_availability_diff,-5e-06,negative,SF
is_home,0.0,negative,SF
