feature,shap_value,signed_effect,perspective_team
home_team_id,-0.066308,negative,STL
sp_era_5g_diff,0.032136,positive,STL
lineup_actual_top3_delta_home,-0.031307,negative,STL
away_team_id,-0.031123,negative,STL
lineup_woba_std_diff,-0.025353,negative,STL
lineup_actual_woba_delta_away,-0.024245,negative,STL
lineup_actual_woba_delta_home,0.02145,positive,STL
bullpen_whip_diff,-0.014111,negative,STL
run_margin_diff,0.013684,positive,STL
bullpen_meltdown_risk,0.012953,positive,STL
sp_xwoba_vs_l_diff,0.010982,positive,STL
team_barrel_diff,0.010739,positive,STL
woba_30g_away,-0.010015,negative,STL
bullpen_whip_10g_home,-0.009514,negative,STL
sp_xwoba_away,-0.009313,negative,STL
ace_efficiency_factor,0.009095,positive,STL
bullpen_whip_3g_home,0.008861,positive,STL
team_barrel_15g_home,-0.008384,negative,STL
sp_fbvelo_diff,0.007867,positive,STL
sp_xwoba_diff,0.007481,positive,STL
park_factor_slug_diff,0.00595,positive,STL
sp_whiff_diff,0.005001,positive,STL
lineup_rest_count_away,0.004645,positive,STL
lineup_woba_top3_diff,-0.004632,negative,STL
lineup_actual_top3_delta_away,0.004364,positive,STL
lineup_woba_top3_home,-0.004113,negative,STL
home_win_pct,-0.00358,negative,STL
sp_fbpct_diff,0.003172,positive,STL
air_density_velocity_boost,-0.003049,negative,STL
lineup_woba_mean_home,-0.002827,negative,STL
sp_k9_home,-0.002823,negative,STL
sp_era_diff,-0.002376,negative,STL
sp_era_home,-0.002269,negative,STL
sp_k9_away,0.002222,positive,STL
lineup_woba_top3_away,-0.002087,negative,STL
wind_advantage_flyball_factor,0.001986,positive,STL
lineup_woba_mean_diff,0.001948,positive,STL
sp_k9_5g_diff,0.001747,positive,STL
sp_k9_diff,0.001722,positive,STL
win_pct_diff,0.001696,positive,STL
team_exitvelo_15g_away,-0.001615,negative,STL
away_win_pct,-0.001478,negative,STL
sp_era_away,-0.001469,negative,STL
team_barrel_15g_away,-0.001383,negative,STL
elo_diff,0.001269,positive,STL
team_exitvelo_15g_home,0.001071,positive,STL
bullpen_whip_3g_diff,0.001041,positive,STL
bullpen_whip_3g_away,0.001028,positive,STL
lineup_woba_mean_away,0.000957,positive,STL
team_hardhit_diff,0.000951,positive,STL
bullpen_whip_10g_away,0.000883,positive,STL
woba_30g_home,-0.000778,negative,STL
pitcher_regression_indicator,0.000599,positive,STL
lineup_depth_multiplier,-0.000572,negative,STL
team_exitvelo_diff,-0.000507,negative,STL
sp_xwoba_home,-0.000431,negative,STL
away_elo,0.000392,positive,STL
dome_is_neutral,-0.00038,negative,STL
home_elo,0.000345,positive,STL
bullpen_pitches_diff,0.00031,positive,STL
woba_30g_diff,-0.00029,negative,STL
closer_availability_diff,-0.000173,negative,STL
lineup_rest_count_home,-0.000155,negative,STL
rest_days_diff,5.5e-05,positive,STL
lineup_handedness_matchup_advantage,-5.5e-05,negative,STL
travel_fatigue_diff,-2.5e-05,negative,STL
is_home,0.0,negative,STL
