feature,shap_value,signed_effect,perspective_team
away_team_id,0.056128,positive,TOR
home_team_id,0.041846,positive,TOR
sp_era_5g_diff,-0.015268,negative,TOR
lineup_actual_woba_delta_away,-0.015072,negative,TOR
lineup_actual_top3_delta_home,-0.014079,negative,TOR
sp_k9_5g_diff,0.013825,positive,TOR
sp_xwoba_diff,-0.012889,negative,TOR
lineup_actual_top3_delta_away,0.010915,positive,TOR
bullpen_whip_diff,0.010697,positive,TOR
sp_era_diff,0.010173,positive,TOR
lineup_woba_top3_diff,-0.009272,negative,TOR
team_exitvelo_diff,-0.007073,negative,TOR
sp_fbpct_diff,0.00689,positive,TOR
pitcher_regression_indicator,-0.006714,negative,TOR
team_barrel_diff,-0.006028,negative,TOR
lineup_handedness_matchup_advantage,0.005767,positive,TOR
lineup_actual_woba_delta_home,0.005609,positive,TOR
sp_k9_diff,0.005472,positive,TOR
team_exitvelo_15g_home,-0.005433,negative,TOR
bullpen_pitches_diff,-0.005163,negative,TOR
team_barrel_15g_home,-0.004977,negative,TOR
bullpen_meltdown_risk,0.004565,positive,TOR
away_win_pct,-0.004447,negative,TOR
bullpen_whip_10g_home,0.003821,positive,TOR
sp_k9_away,0.003644,positive,TOR
team_exitvelo_15g_away,-0.003529,negative,TOR
bullpen_whip_3g_away,-0.00346,negative,TOR
sp_xwoba_vs_l_diff,-0.003408,negative,TOR
sp_xwoba_home,-0.00322,negative,TOR
woba_30g_away,-0.003217,negative,TOR
bullpen_whip_3g_home,0.003033,positive,TOR
lineup_depth_multiplier,0.003004,positive,TOR
sp_whiff_diff,-0.002468,negative,TOR
away_elo,-0.002361,negative,TOR
elo_diff,0.002255,positive,TOR
air_density_velocity_boost,0.002248,positive,TOR
lineup_rest_count_away,-0.001949,negative,TOR
sp_era_home,0.001769,positive,TOR
home_win_pct,-0.001639,negative,TOR
lineup_woba_mean_away,0.001509,positive,TOR
bullpen_whip_3g_diff,0.001343,positive,TOR
lineup_woba_top3_home,-0.001334,negative,TOR
lineup_woba_mean_home,0.001288,positive,TOR
sp_fbvelo_diff,-0.001272,negative,TOR
sp_k9_home,-0.001101,negative,TOR
win_pct_diff,0.001068,positive,TOR
run_margin_diff,-0.000932,negative,TOR
team_hardhit_diff,-0.000929,negative,TOR
sp_xwoba_away,-0.00086,negative,TOR
lineup_woba_std_diff,0.000855,positive,TOR
dome_is_neutral,0.000687,positive,TOR
sp_era_away,-0.000468,negative,TOR
team_barrel_15g_away,-0.000339,negative,TOR
bullpen_whip_10g_away,-0.000213,negative,TOR
travel_fatigue_diff,-0.000178,negative,TOR
woba_30g_diff,-0.000155,negative,TOR
lineup_woba_mean_diff,-0.000142,negative,TOR
home_elo,-0.000116,negative,TOR
lineup_woba_top3_away,-0.00011,negative,TOR
ace_efficiency_factor,-8.3e-05,negative,TOR
wind_advantage_flyball_factor,-8e-05,negative,TOR
woba_30g_home,7.3e-05,positive,TOR
closer_availability_diff,-2.2e-05,negative,TOR
park_factor_slug_diff,1.3e-05,positive,TOR
lineup_rest_count_home,-1.1e-05,negative,TOR
rest_days_diff,1e-05,positive,TOR
is_home,0.0,negative,TOR
