feature,shap_value,signed_effect,perspective_team
away_team_id,0.14244,positive,MIL
home_team_id,-0.036929,negative,MIL
air_density_velocity_boost,0.033404,positive,MIL
sp_xwoba_vs_l_diff,0.028043,positive,MIL
lineup_actual_woba_delta_away,0.027523,positive,MIL
bullpen_whip_10g_home,-0.021269,negative,MIL
sp_era_home,0.021114,positive,MIL
sp_fbvelo_diff,0.019661,positive,MIL
lineup_actual_top3_delta_home,0.018111,positive,MIL
run_margin_diff,0.016987,positive,MIL
lineup_actual_woba_delta_home,-0.014889,negative,MIL
sp_era_5g_diff,-0.013453,negative,MIL
bullpen_whip_3g_home,-0.012872,negative,MIL
sp_whiff_diff,0.011365,positive,MIL
sp_k9_diff,0.0109,positive,MIL
sp_k9_away,0.008507,positive,MIL
sp_xwoba_diff,0.008445,positive,MIL
woba_30g_away,-0.008358,negative,MIL
sp_xwoba_away,0.008249,positive,MIL
team_exitvelo_15g_home,-0.007369,negative,MIL
bullpen_meltdown_risk,-0.007066,negative,MIL
lineup_actual_top3_delta_away,-0.006855,negative,MIL
lineup_woba_std_diff,-0.006718,negative,MIL
away_elo,0.006595,positive,MIL
wind_advantage_flyball_factor,0.006359,positive,MIL
woba_30g_diff,0.005647,positive,MIL
bullpen_whip_3g_diff,-0.005191,negative,MIL
sp_k9_5g_diff,0.004743,positive,MIL
lineup_woba_top3_home,0.004484,positive,MIL
win_pct_diff,0.004421,positive,MIL
bullpen_whip_10g_away,-0.004058,negative,MIL
ace_efficiency_factor,0.004031,positive,MIL
sp_era_diff,-0.003982,negative,MIL
lineup_woba_mean_diff,-0.003434,negative,MIL
bullpen_whip_diff,0.003238,positive,MIL
home_win_pct,0.003065,positive,MIL
park_factor_slug_diff,0.002963,positive,MIL
elo_diff,-0.002843,negative,MIL
sp_fbpct_diff,0.002267,positive,MIL
team_barrel_15g_home,-0.002187,negative,MIL
team_exitvelo_15g_away,0.002105,positive,MIL
home_elo,-0.002056,negative,MIL
sp_xwoba_home,0.001992,positive,MIL
lineup_woba_mean_home,-0.001948,negative,MIL
lineup_woba_top3_away,-0.001773,negative,MIL
sp_k9_home,-0.001647,negative,MIL
lineup_woba_mean_away,-0.001522,negative,MIL
woba_30g_home,0.001502,positive,MIL
lineup_handedness_matchup_advantage,-0.001423,negative,MIL
sp_era_away,0.001361,positive,MIL
team_barrel_diff,0.001131,positive,MIL
team_hardhit_diff,-0.001076,negative,MIL
team_exitvelo_diff,0.000991,positive,MIL
team_barrel_15g_away,0.000923,positive,MIL
pitcher_regression_indicator,-0.000829,negative,MIL
lineup_woba_top3_diff,0.000808,positive,MIL
lineup_rest_count_away,-0.000566,negative,MIL
bullpen_whip_3g_away,-0.000494,negative,MIL
away_win_pct,0.000492,positive,MIL
lineup_depth_multiplier,0.00034,positive,MIL
dome_is_neutral,0.000231,positive,MIL
closer_availability_diff,0.000169,positive,MIL
lineup_rest_count_home,0.000112,positive,MIL
rest_days_diff,-3.6e-05,negative,MIL
travel_fatigue_diff,2.2e-05,positive,MIL
bullpen_pitches_diff,-1.9e-05,negative,MIL
is_home,-0.0,negative,MIL
