feature,shap_value,signed_effect,perspective_team
home_team_id,0.214902,positive,BAL
away_team_id,0.067173,positive,BAL
bullpen_whip_3g_home,-0.032445,negative,BAL
bullpen_meltdown_risk,-0.025192,negative,BAL
lineup_actual_woba_delta_away,0.017229,positive,BAL
run_margin_diff,0.01664,positive,BAL
team_hardhit_diff,0.015869,positive,BAL
lineup_handedness_matchup_advantage,0.014347,positive,BAL
lineup_actual_top3_delta_away,-0.01383,negative,BAL
bullpen_whip_diff,0.01358,positive,BAL
elo_diff,0.009837,positive,BAL
lineup_actual_top3_delta_home,0.008396,positive,BAL
lineup_actual_woba_delta_home,-0.008164,negative,BAL
air_density_velocity_boost,-0.008158,negative,BAL
bullpen_pitches_diff,-0.006864,negative,BAL
sp_era_5g_diff,0.006779,positive,BAL
lineup_woba_mean_diff,0.005306,positive,BAL
sp_k9_away,-0.004993,negative,BAL
sp_k9_diff,-0.004784,negative,BAL
lineup_depth_multiplier,-0.004392,negative,BAL
sp_era_diff,-0.004334,negative,BAL
sp_xwoba_diff,-0.003521,negative,BAL
bullpen_whip_10g_home,0.003492,positive,BAL
away_elo,0.003317,positive,BAL
team_barrel_diff,0.003278,positive,BAL
away_win_pct,0.003114,positive,BAL
home_elo,0.003101,positive,BAL
team_exitvelo_15g_away,-0.002931,negative,BAL
pitcher_regression_indicator,-0.002904,negative,BAL
win_pct_diff,0.002758,positive,BAL
bullpen_whip_10g_away,0.002749,positive,BAL
sp_fbvelo_diff,-0.002549,negative,BAL
lineup_woba_std_diff,-0.002466,negative,BAL
bullpen_whip_3g_diff,-0.002313,negative,BAL
lineup_woba_top3_diff,0.002166,positive,BAL
lineup_woba_top3_away,0.002143,positive,BAL
lineup_woba_mean_away,-0.001911,negative,BAL
sp_era_home,0.001843,positive,BAL
team_barrel_15g_home,-0.001739,negative,BAL
bullpen_whip_3g_away,0.00165,positive,BAL
team_barrel_15g_away,-0.00128,negative,BAL
woba_30g_diff,0.001199,positive,BAL
sp_xwoba_vs_l_diff,0.00115,positive,BAL
sp_xwoba_home,-0.001124,negative,BAL
sp_xwoba_away,0.00108,positive,BAL
team_exitvelo_15g_home,-0.000991,negative,BAL
woba_30g_away,0.000973,positive,BAL
woba_30g_home,-0.000932,negative,BAL
sp_whiff_diff,0.000916,positive,BAL
wind_advantage_flyball_factor,-0.000913,negative,BAL
home_win_pct,-0.000656,negative,BAL
lineup_woba_top3_home,-0.000597,negative,BAL
ace_efficiency_factor,-0.00044,negative,BAL
sp_fbpct_diff,-0.000345,negative,BAL
lineup_rest_count_away,-0.000339,negative,BAL
sp_k9_home,0.000331,positive,BAL
sp_era_away,0.000324,positive,BAL
dome_is_neutral,0.000309,positive,BAL
team_exitvelo_diff,0.000272,positive,BAL
lineup_woba_mean_home,-0.000253,negative,BAL
sp_k9_5g_diff,-0.000184,negative,BAL
travel_fatigue_diff,0.000119,positive,BAL
park_factor_slug_diff,5.7e-05,positive,BAL
closer_availability_diff,2.9e-05,positive,BAL
lineup_rest_count_home,6e-06,positive,BAL
is_home,-0.0,negative,BAL
rest_days_diff,-0.0,negative,BAL
