feature,shap_value,signed_effect,perspective_team
away_team_id,-0.130368,negative,NYY
home_team_id,0.039902,positive,NYY
team_exitvelo_15g_away,-0.032993,negative,NYY
sp_xwoba_vs_l_diff,0.029548,positive,NYY
run_margin_diff,-0.015302,negative,NYY
lineup_actual_woba_delta_away,-0.014394,negative,NYY
lineup_actual_top3_delta_home,-0.013262,negative,NYY
home_elo,0.012762,positive,NYY
sp_fbpct_diff,0.010948,positive,NYY
pitcher_regression_indicator,-0.010842,negative,NYY
sp_k9_5g_diff,0.01047,positive,NYY
sp_era_5g_diff,0.010344,positive,NYY
team_exitvelo_diff,0.010225,positive,NYY
lineup_actual_woba_delta_home,0.008898,positive,NYY
team_exitvelo_15g_home,0.00867,positive,NYY
bullpen_whip_3g_home,0.008213,positive,NYY
sp_era_home,0.008112,positive,NYY
bullpen_whip_10g_home,0.008079,positive,NYY
bullpen_meltdown_risk,-0.007942,negative,NYY
home_win_pct,0.007579,positive,NYY
sp_era_diff,0.007552,positive,NYY
elo_diff,-0.007368,negative,NYY
lineup_actual_top3_delta_away,0.00721,positive,NYY
sp_k9_diff,0.006874,positive,NYY
woba_30g_home,-0.006324,negative,NYY
sp_fbvelo_diff,0.006165,positive,NYY
sp_k9_away,0.005882,positive,NYY
air_density_velocity_boost,0.005071,positive,NYY
lineup_woba_top3_diff,-0.004711,negative,NYY
sp_xwoba_diff,-0.004677,negative,NYY
bullpen_whip_3g_diff,0.004071,positive,NYY
bullpen_pitches_diff,-0.00393,negative,NYY
team_barrel_diff,0.003624,positive,NYY
lineup_handedness_matchup_advantage,0.003447,positive,NYY
away_win_pct,-0.003394,negative,NYY
sp_xwoba_home,0.003356,positive,NYY
park_factor_slug_diff,-0.002822,negative,NYY
bullpen_whip_diff,-0.002549,negative,NYY
woba_30g_away,-0.002497,negative,NYY
wind_advantage_flyball_factor,-0.002478,negative,NYY
lineup_woba_mean_diff,-0.001808,negative,NYY
lineup_woba_mean_away,0.001749,positive,NYY
lineup_depth_multiplier,0.00169,positive,NYY
bullpen_whip_3g_away,-0.001504,negative,NYY
away_elo,-0.001488,negative,NYY
team_barrel_15g_home,-0.001442,negative,NYY
sp_whiff_diff,0.001402,positive,NYY
lineup_rest_count_away,-0.001309,negative,NYY
lineup_woba_mean_home,-0.001241,negative,NYY
lineup_woba_top3_away,-0.00092,negative,NYY
lineup_woba_top3_home,-0.000855,negative,NYY
ace_efficiency_factor,0.000787,positive,NYY
bullpen_whip_10g_away,0.000727,positive,NYY
team_hardhit_diff,0.000717,positive,NYY
sp_xwoba_away,-0.000654,negative,NYY
lineup_woba_std_diff,0.000534,positive,NYY
sp_k9_home,-0.000485,negative,NYY
team_barrel_15g_away,-0.000261,negative,NYY
dome_is_neutral,-0.000235,negative,NYY
woba_30g_diff,-0.000221,negative,NYY
win_pct_diff,-0.000126,negative,NYY
lineup_rest_count_home,-8.9e-05,negative,NYY
travel_fatigue_diff,-7.1e-05,negative,NYY
sp_era_away,5.5e-05,positive,NYY
closer_availability_diff,-1.2e-05,negative,NYY
rest_days_diff,1e-05,positive,NYY
is_home,0.0,negative,NYY
