feature,shap_value,signed_effect,perspective_team
away_team_id,0.257584,positive,MIN
home_team_id,-0.073642,negative,MIN
air_density_velocity_boost,-0.056558,negative,MIN
bullpen_whip_3g_home,0.027807,positive,MIN
lineup_actual_woba_delta_away,-0.015396,negative,MIN
bullpen_whip_diff,-0.014385,negative,MIN
bullpen_whip_10g_home,-0.014284,negative,MIN
bullpen_meltdown_risk,-0.012851,negative,MIN
elo_diff,-0.011933,negative,MIN
lineup_actual_top3_delta_home,-0.009851,negative,MIN
lineup_actual_top3_delta_away,0.008821,positive,MIN
sp_fbpct_diff,-0.007974,negative,MIN
sp_xwoba_vs_l_diff,0.007921,positive,MIN
sp_k9_away,0.007769,positive,MIN
lineup_actual_woba_delta_home,0.007316,positive,MIN
sp_k9_diff,0.007116,positive,MIN
sp_era_5g_diff,0.006916,positive,MIN
lineup_handedness_matchup_advantage,-0.006601,negative,MIN
sp_era_home,-0.006266,negative,MIN
sp_xwoba_diff,-0.005949,negative,MIN
lineup_woba_top3_diff,-0.005294,negative,MIN
win_pct_diff,-0.004389,negative,MIN
lineup_woba_mean_diff,-0.004315,negative,MIN
run_margin_diff,-0.004094,negative,MIN
team_exitvelo_diff,-0.00384,negative,MIN
away_elo,-0.003282,negative,MIN
sp_fbvelo_diff,-0.003279,negative,MIN
team_barrel_diff,-0.002801,negative,MIN
woba_30g_away,-0.002727,negative,MIN
lineup_rest_count_away,0.002546,positive,MIN
bullpen_whip_3g_diff,0.002472,positive,MIN
lineup_woba_std_diff,0.002433,positive,MIN
sp_xwoba_home,0.002408,positive,MIN
pitcher_regression_indicator,0.002214,positive,MIN
woba_30g_home,0.00206,positive,MIN
lineup_depth_multiplier,0.001789,positive,MIN
home_elo,-0.001707,negative,MIN
sp_whiff_diff,-0.001654,negative,MIN
lineup_woba_mean_away,0.001641,positive,MIN
sp_k9_5g_diff,0.00157,positive,MIN
team_hardhit_diff,0.001478,positive,MIN
away_win_pct,-0.001393,negative,MIN
wind_advantage_flyball_factor,0.001317,positive,MIN
woba_30g_diff,-0.001093,negative,MIN
team_barrel_15g_home,0.000994,positive,MIN
sp_xwoba_away,0.000951,positive,MIN
lineup_woba_top3_home,-0.000936,negative,MIN
team_exitvelo_15g_home,-0.000906,negative,MIN
bullpen_whip_3g_away,-0.000894,negative,MIN
home_win_pct,-0.00087,negative,MIN
bullpen_pitches_diff,0.000728,positive,MIN
sp_era_away,0.000546,positive,MIN
sp_era_diff,0.000402,positive,MIN
park_factor_slug_diff,0.0004,positive,MIN
lineup_woba_top3_away,-0.000397,negative,MIN
team_exitvelo_15g_away,0.000387,positive,MIN
sp_k9_home,-0.000352,negative,MIN
dome_is_neutral,0.00019,positive,MIN
travel_fatigue_diff,-0.000147,negative,MIN
team_barrel_15g_away,-0.000126,negative,MIN
bullpen_whip_10g_away,-0.000122,negative,MIN
lineup_woba_mean_home,4.2e-05,positive,MIN
ace_efficiency_factor,1.9e-05,positive,MIN
lineup_rest_count_home,-1.8e-05,negative,MIN
closer_availability_diff,-5e-06,negative,MIN
rest_days_diff,1e-06,positive,MIN
is_home,0.0,negative,MIN
