feature,shap_value,signed_effect,perspective_team
home_team_id,0.108423,positive,CHC
sp_era_5g_diff,0.023494,positive,CHC
elo_diff,0.023454,positive,CHC
run_margin_diff,0.019591,positive,CHC
lineup_woba_top3_diff,0.015195,positive,CHC
sp_xwoba_vs_l_diff,0.01488,positive,CHC
lineup_actual_woba_delta_away,-0.013374,negative,CHC
bullpen_meltdown_risk,-0.012874,negative,CHC
sp_era_home,-0.011838,negative,CHC
away_team_id,0.010572,positive,CHC
lineup_actual_woba_delta_home,0.009385,positive,CHC
lineup_actual_top3_delta_home,-0.008098,negative,CHC
sp_era_diff,-0.007484,negative,CHC
win_pct_diff,0.007194,positive,CHC
team_barrel_15g_home,0.006736,positive,CHC
lineup_handedness_matchup_advantage,0.006448,positive,CHC
home_elo,0.006339,positive,CHC
sp_fbpct_diff,0.00602,positive,CHC
bullpen_whip_3g_home,0.00585,positive,CHC
home_win_pct,0.005344,positive,CHC
sp_k9_home,-0.004999,negative,CHC
bullpen_whip_diff,0.004893,positive,CHC
lineup_actual_top3_delta_away,0.004796,positive,CHC
lineup_woba_mean_home,0.003932,positive,CHC
sp_k9_diff,0.003541,positive,CHC
lineup_woba_std_diff,0.003429,positive,CHC
team_exitvelo_15g_away,0.003367,positive,CHC
away_elo,0.003277,positive,CHC
pitcher_regression_indicator,0.003001,positive,CHC
sp_k9_away,0.002974,positive,CHC
away_win_pct,-0.002823,negative,CHC
bullpen_pitches_diff,0.002724,positive,CHC
sp_k9_5g_diff,0.002694,positive,CHC
team_barrel_diff,0.002589,positive,CHC
bullpen_whip_10g_home,0.002537,positive,CHC
team_exitvelo_diff,-0.002176,negative,CHC
team_exitvelo_15g_home,-0.002149,negative,CHC
lineup_woba_top3_away,0.002111,positive,CHC
sp_fbvelo_diff,0.002083,positive,CHC
bullpen_whip_3g_away,-0.001862,negative,CHC
woba_30g_diff,0.001609,positive,CHC
lineup_rest_count_away,-0.001594,negative,CHC
air_density_velocity_boost,-0.001591,negative,CHC
sp_xwoba_diff,0.001518,positive,CHC
lineup_woba_mean_away,-0.001501,negative,CHC
lineup_depth_multiplier,-0.001445,negative,CHC
ace_efficiency_factor,0.001366,positive,CHC
woba_30g_away,0.001332,positive,CHC
team_hardhit_diff,0.001294,positive,CHC
bullpen_whip_10g_away,0.00129,positive,CHC
wind_advantage_flyball_factor,0.00122,positive,CHC
sp_xwoba_away,-0.001101,negative,CHC
park_factor_slug_diff,0.000713,positive,CHC
bullpen_whip_3g_diff,-0.000707,negative,CHC
sp_whiff_diff,0.000597,positive,CHC
lineup_woba_top3_home,0.000382,positive,CHC
woba_30g_home,0.000357,positive,CHC
team_barrel_15g_away,-0.000255,negative,CHC
sp_xwoba_home,0.000235,positive,CHC
lineup_woba_mean_diff,8.4e-05,positive,CHC
dome_is_neutral,-5.3e-05,negative,CHC
lineup_rest_count_home,2.9e-05,positive,CHC
sp_era_away,2.6e-05,positive,CHC
travel_fatigue_diff,-2.4e-05,negative,CHC
closer_availability_diff,-1.5e-05,negative,CHC
rest_days_diff,1e-06,positive,CHC
is_home,0.0,negative,CHC
