feature,shap_value,signed_effect,perspective_team
away_team_id,0.255491,positive,ATL
home_team_id,0.076972,positive,ATL
elo_diff,0.048788,positive,ATL
sp_era_5g_diff,0.024792,positive,ATL
away_elo,0.02263,positive,ATL
run_margin_diff,0.015154,positive,ATL
sp_xwoba_vs_l_diff,0.011879,positive,ATL
bullpen_meltdown_risk,-0.010458,negative,ATL
win_pct_diff,0.010306,positive,ATL
lineup_actual_woba_delta_home,0.010079,positive,ATL
lineup_actual_woba_delta_away,-0.009563,negative,ATL
bullpen_whip_3g_home,0.00955,positive,ATL
sp_whiff_diff,0.008215,positive,ATL
lineup_woba_mean_home,-0.007976,negative,ATL
lineup_actual_top3_delta_home,-0.007851,negative,ATL
sp_era_home,0.007403,positive,ATL
away_win_pct,0.007234,positive,ATL
lineup_handedness_matchup_advantage,0.006963,positive,ATL
sp_era_diff,0.006104,positive,ATL
sp_k9_diff,0.005856,positive,ATL
sp_xwoba_home,-0.005291,negative,ATL
lineup_actual_top3_delta_away,0.005162,positive,ATL
sp_fbvelo_diff,0.004593,positive,ATL
pitcher_regression_indicator,0.004585,positive,ATL
team_exitvelo_15g_home,0.004312,positive,ATL
sp_k9_away,0.004309,positive,ATL
woba_30g_home,0.004231,positive,ATL
home_elo,0.003895,positive,ATL
sp_k9_5g_diff,0.003711,positive,ATL
lineup_woba_top3_home,-0.003687,negative,ATL
sp_k9_home,-0.00327,negative,ATL
bullpen_whip_diff,0.003203,positive,ATL
air_density_velocity_boost,0.002791,positive,ATL
bullpen_whip_3g_away,-0.002767,negative,ATL
team_exitvelo_diff,0.002702,positive,ATL
lineup_woba_std_diff,0.002165,positive,ATL
woba_30g_away,-0.002012,negative,ATL
lineup_woba_top3_diff,-0.002005,negative,ATL
bullpen_whip_10g_away,0.001969,positive,ATL
woba_30g_diff,0.001695,positive,ATL
home_win_pct,0.001652,positive,ATL
bullpen_pitches_diff,-0.001632,negative,ATL
lineup_rest_count_away,-0.001517,negative,ATL
ace_efficiency_factor,0.001316,positive,ATL
bullpen_whip_10g_home,0.001276,positive,ATL
park_factor_slug_diff,-0.001203,negative,ATL
team_barrel_15g_home,-0.0012,negative,ATL
lineup_woba_mean_diff,-0.00098,negative,ATL
sp_fbpct_diff,-0.000844,negative,ATL
team_hardhit_diff,0.000812,positive,ATL
wind_advantage_flyball_factor,0.00068,positive,ATL
lineup_woba_mean_away,0.000659,positive,ATL
team_barrel_diff,-0.000512,negative,ATL
team_exitvelo_15g_away,0.000501,positive,ATL
bullpen_whip_3g_diff,-0.000436,negative,ATL
sp_xwoba_diff,-0.000398,negative,ATL
lineup_depth_multiplier,0.000363,positive,ATL
team_barrel_15g_away,0.000227,positive,ATL
sp_xwoba_away,-0.000182,negative,ATL
sp_era_away,0.000177,positive,ATL
dome_is_neutral,-4.6e-05,negative,ATL
travel_fatigue_diff,-4.4e-05,negative,ATL
closer_availability_diff,-4.2e-05,negative,ATL
lineup_rest_count_home,1.4e-05,positive,ATL
lineup_woba_top3_away,-1e-05,negative,ATL
rest_days_diff,-3e-06,negative,ATL
is_home,0.0,negative,ATL
