feature,shap_value,signed_effect,perspective_team
away_team_id,-0.091772,negative,NYM
bullpen_whip_3g_home,0.028908,positive,NYM
run_margin_diff,-0.026569,negative,NYM
sp_era_5g_diff,-0.016683,negative,NYM
lineup_handedness_matchup_advantage,-0.016027,negative,NYM
lineup_actual_woba_delta_away,-0.015901,negative,NYM
bullpen_meltdown_risk,-0.013237,negative,NYM
home_team_id,0.012367,positive,NYM
lineup_actual_top3_delta_away,0.01034,positive,NYM
air_density_velocity_boost,0.008366,positive,NYM
lineup_actual_woba_delta_home,0.007813,positive,NYM
bullpen_whip_10g_home,0.007525,positive,NYM
bullpen_whip_diff,0.007512,positive,NYM
sp_k9_home,0.007278,positive,NYM
lineup_actual_top3_delta_home,-0.00653,negative,NYM
sp_k9_5g_diff,0.006351,positive,NYM
sp_xwoba_vs_l_diff,0.006258,positive,NYM
sp_fbpct_diff,-0.00613,negative,NYM
lineup_woba_std_diff,0.005644,positive,NYM
sp_k9_away,-0.005319,negative,NYM
lineup_woba_mean_diff,0.004781,positive,NYM
sp_era_home,0.004005,positive,NYM
away_win_pct,-0.003434,negative,NYM
team_barrel_diff,0.003186,positive,NYM
bullpen_pitches_diff,0.003068,positive,NYM
win_pct_diff,-0.002942,negative,NYM
woba_30g_away,-0.002878,negative,NYM
pitcher_regression_indicator,-0.0027,negative,NYM
elo_diff,0.002458,positive,NYM
away_elo,-0.002239,negative,NYM
sp_xwoba_diff,-0.002175,negative,NYM
sp_era_away,-0.002021,negative,NYM
sp_fbvelo_diff,-0.001901,negative,NYM
team_barrel_15g_home,0.001797,positive,NYM
sp_era_diff,-0.001715,negative,NYM
sp_k9_diff,0.001656,positive,NYM
team_exitvelo_15g_away,0.001593,positive,NYM
bullpen_whip_3g_away,-0.001579,negative,NYM
lineup_woba_mean_away,0.001497,positive,NYM
wind_advantage_flyball_factor,0.001322,positive,NYM
lineup_depth_multiplier,0.00127,positive,NYM
ace_efficiency_factor,0.001249,positive,NYM
woba_30g_home,0.001237,positive,NYM
lineup_woba_top3_diff,-0.001214,negative,NYM
home_win_pct,-0.001143,negative,NYM
lineup_woba_mean_home,-0.001034,negative,NYM
lineup_rest_count_away,0.00094,positive,NYM
sp_xwoba_home,-0.000918,negative,NYM
bullpen_whip_3g_diff,-0.000881,negative,NYM
bullpen_whip_10g_away,0.00081,positive,NYM
team_exitvelo_diff,0.000625,positive,NYM
lineup_woba_top3_away,-0.000558,negative,NYM
lineup_woba_top3_home,-0.000508,negative,NYM
sp_xwoba_away,-0.000489,negative,NYM
sp_whiff_diff,-0.000485,negative,NYM
team_hardhit_diff,0.000485,positive,NYM
team_barrel_15g_away,-0.000364,negative,NYM
home_elo,0.000322,positive,NYM
dome_is_neutral,-0.000294,negative,NYM
woba_30g_diff,-0.000284,negative,NYM
team_exitvelo_15g_home,-0.000274,negative,NYM
park_factor_slug_diff,-0.000186,negative,NYM
lineup_rest_count_home,-0.0001,negative,NYM
travel_fatigue_diff,-8.3e-05,negative,NYM
closer_availability_diff,-1.7e-05,negative,NYM
is_home,0.0,negative,NYM
rest_days_diff,0.0,negative,NYM
