feature,shap_value,signed_effect,perspective_team
away_team_id,0.091464,positive,CLE
home_team_id,0.045982,positive,CLE
bullpen_meltdown_risk,-0.024981,negative,CLE
bullpen_whip_diff,-0.023665,negative,CLE
sp_era_5g_diff,-0.015334,negative,CLE
bullpen_whip_10g_home,0.013922,positive,CLE
lineup_actual_woba_delta_away,-0.013237,negative,CLE
sp_xwoba_vs_l_diff,-0.012955,negative,CLE
run_margin_diff,0.011696,positive,CLE
sp_era_home,0.009952,positive,CLE
elo_diff,-0.008895,negative,CLE
lineup_actual_top3_delta_home,-0.008237,negative,CLE
lineup_actual_woba_delta_home,0.007699,positive,CLE
lineup_handedness_matchup_advantage,0.006831,positive,CLE
sp_era_diff,-0.006481,negative,CLE
bullpen_whip_3g_home,0.005673,positive,CLE
lineup_actual_top3_delta_away,0.005111,positive,CLE
sp_whiff_diff,0.004863,positive,CLE
sp_era_away,-0.004716,negative,CLE
sp_fbvelo_diff,0.003983,positive,CLE
bullpen_pitches_diff,0.003741,positive,CLE
win_pct_diff,0.003452,positive,CLE
lineup_woba_mean_home,0.003444,positive,CLE
woba_30g_diff,-0.003379,negative,CLE
air_density_velocity_boost,0.003346,positive,CLE
ace_efficiency_factor,-0.003268,negative,CLE
sp_k9_home,-0.003171,negative,CLE
sp_k9_diff,0.002972,positive,CLE
sp_k9_away,0.00295,positive,CLE
pitcher_regression_indicator,0.002765,positive,CLE
woba_30g_home,0.002555,positive,CLE
away_elo,-0.002548,negative,CLE
bullpen_whip_3g_away,-0.002512,negative,CLE
sp_k9_5g_diff,0.002423,positive,CLE
team_hardhit_diff,0.002306,positive,CLE
sp_xwoba_away,-0.0023,negative,CLE
lineup_rest_count_away,-0.002226,negative,CLE
team_exitvelo_15g_away,0.002112,positive,CLE
lineup_woba_top3_home,0.002109,positive,CLE
lineup_woba_std_diff,0.001894,positive,CLE
sp_xwoba_diff,-0.001567,negative,CLE
home_win_pct,-0.001561,negative,CLE
lineup_woba_mean_away,-0.001552,negative,CLE
sp_xwoba_home,0.001524,positive,CLE
team_exitvelo_15g_home,-0.001517,negative,CLE
woba_30g_away,-0.001431,negative,CLE
away_win_pct,0.001295,positive,CLE
lineup_woba_top3_diff,-0.001279,negative,CLE
wind_advantage_flyball_factor,0.001167,positive,CLE
team_barrel_15g_away,0.000942,positive,CLE
park_factor_slug_diff,-0.000899,negative,CLE
home_elo,-0.000848,negative,CLE
team_barrel_15g_home,-0.000802,negative,CLE
team_exitvelo_diff,-0.000757,negative,CLE
sp_fbpct_diff,-0.000733,negative,CLE
bullpen_whip_10g_away,0.00052,positive,CLE
lineup_woba_mean_diff,0.000432,positive,CLE
lineup_woba_top3_away,0.000365,positive,CLE
bullpen_whip_3g_diff,0.000347,positive,CLE
team_barrel_diff,0.000266,positive,CLE
lineup_depth_multiplier,0.000243,positive,CLE
dome_is_neutral,-0.000211,negative,CLE
lineup_rest_count_home,8.2e-05,positive,CLE
rest_days_diff,-9e-06,negative,CLE
closer_availability_diff,-8e-06,negative,CLE
travel_fatigue_diff,1e-06,positive,CLE
is_home,0.0,negative,CLE
