feature,shap_value,signed_effect,perspective_team
away_team_id,0.165216,positive,LAD
home_team_id,0.034452,positive,LAD
run_margin_diff,-0.025296,negative,LAD
lineup_depth_multiplier,0.016171,positive,LAD
sp_era_diff,0.014916,positive,LAD
sp_era_5g_diff,0.013179,positive,LAD
lineup_actual_woba_delta_away,0.012863,positive,LAD
sp_xwoba_vs_l_diff,-0.011804,negative,LAD
sp_k9_away,0.011456,positive,LAD
lineup_actual_top3_delta_home,0.011253,positive,LAD
sp_xwoba_diff,0.009707,positive,LAD
bullpen_whip_10g_home,-0.009633,negative,LAD
lineup_actual_top3_delta_away,-0.008965,negative,LAD
bullpen_pitches_diff,-0.008926,negative,LAD
elo_diff,0.008814,positive,LAD
sp_whiff_diff,-0.006877,negative,LAD
sp_xwoba_away,0.006401,positive,LAD
lineup_actual_woba_delta_home,-0.006367,negative,LAD
bullpen_meltdown_risk,-0.006206,negative,LAD
lineup_woba_mean_home,-0.005664,negative,LAD
air_density_velocity_boost,-0.004359,negative,LAD
lineup_handedness_matchup_advantage,-0.004211,negative,LAD
team_exitvelo_diff,0.004165,positive,LAD
sp_fbvelo_diff,-0.003491,negative,LAD
lineup_woba_mean_diff,-0.003461,negative,LAD
away_win_pct,0.003423,positive,LAD
bullpen_whip_3g_home,-0.003408,negative,LAD
bullpen_whip_3g_away,0.002663,positive,LAD
sp_k9_diff,-0.002626,negative,LAD
win_pct_diff,-0.002618,negative,LAD
team_barrel_15g_away,-0.002492,negative,LAD
bullpen_whip_3g_diff,-0.002168,negative,LAD
bullpen_whip_10g_away,0.002003,positive,LAD
sp_k9_5g_diff,0.001977,positive,LAD
team_barrel_diff,-0.001938,negative,LAD
away_elo,0.001906,positive,LAD
sp_k9_home,0.001812,positive,LAD
bullpen_whip_diff,0.001706,positive,LAD
sp_era_home,0.001578,positive,LAD
home_win_pct,0.001462,positive,LAD
lineup_woba_mean_away,-0.00125,negative,LAD
sp_era_away,0.000993,positive,LAD
team_hardhit_diff,-0.000951,negative,LAD
lineup_woba_top3_home,0.000889,positive,LAD
team_exitvelo_15g_home,0.000766,positive,LAD
woba_30g_diff,-0.000728,negative,LAD
team_barrel_15g_home,-0.000728,negative,LAD
home_elo,0.000722,positive,LAD
lineup_rest_count_away,0.00072,positive,LAD
sp_fbpct_diff,0.000679,positive,LAD
ace_efficiency_factor,0.000568,positive,LAD
pitcher_regression_indicator,-0.000563,negative,LAD
sp_xwoba_home,0.000505,positive,LAD
woba_30g_home,-0.000462,negative,LAD
wind_advantage_flyball_factor,0.000457,positive,LAD
park_factor_slug_diff,-0.000405,negative,LAD
lineup_woba_std_diff,0.000387,positive,LAD
team_exitvelo_15g_away,-0.000231,negative,LAD
dome_is_neutral,0.000169,positive,LAD
woba_30g_away,9.2e-05,positive,LAD
travel_fatigue_diff,5.2e-05,positive,LAD
closer_availability_diff,2.3e-05,positive,LAD
lineup_woba_top3_diff,1.1e-05,positive,LAD
lineup_rest_count_home,4e-06,positive,LAD
rest_days_diff,-3e-06,negative,LAD
lineup_woba_top3_away,-2e-06,negative,LAD
is_home,-0.0,negative,LAD
