feature,shap_value,signed_effect,perspective_team
home_team_id,0.135545,positive,MIA
away_team_id,-0.064995,negative,MIA
air_density_velocity_boost,0.034614,positive,MIA
sp_era_5g_diff,0.029863,positive,MIA
sp_era_home,0.029651,positive,MIA
bullpen_meltdown_risk,-0.019999,negative,MIA
run_margin_diff,-0.016709,negative,MIA
lineup_actual_woba_delta_away,0.0167,positive,MIA
sp_xwoba_home,0.014603,positive,MIA
bullpen_whip_10g_home,0.013866,positive,MIA
sp_fbvelo_diff,0.013844,positive,MIA
sp_xwoba_away,0.013122,positive,MIA
elo_diff,0.012363,positive,MIA
sp_era_diff,0.010254,positive,MIA
lineup_handedness_matchup_advantage,-0.009234,negative,MIA
lineup_actual_woba_delta_home,-0.009142,negative,MIA
pitcher_regression_indicator,0.008881,positive,MIA
bullpen_pitches_diff,-0.00645,negative,MIA
lineup_actual_top3_delta_away,-0.005427,negative,MIA
woba_30g_diff,0.005244,positive,MIA
bullpen_whip_3g_home,-0.005173,negative,MIA
lineup_actual_top3_delta_home,0.004601,positive,MIA
sp_xwoba_diff,0.004508,positive,MIA
win_pct_diff,0.00419,positive,MIA
lineup_woba_mean_home,-0.00411,negative,MIA
bullpen_whip_3g_away,0.003724,positive,MIA
park_factor_slug_diff,0.003472,positive,MIA
lineup_woba_std_diff,-0.003463,negative,MIA
lineup_woba_mean_away,0.003461,positive,MIA
lineup_woba_top3_away,-0.003453,negative,MIA
away_elo,0.00249,positive,MIA
team_exitvelo_15g_away,-0.002488,negative,MIA
team_exitvelo_15g_home,0.002487,positive,MIA
sp_k9_5g_diff,-0.002441,negative,MIA
sp_k9_diff,-0.002291,negative,MIA
sp_era_away,0.002257,positive,MIA
sp_fbpct_diff,0.002206,positive,MIA
lineup_woba_top3_home,0.00219,positive,MIA
sp_xwoba_vs_l_diff,-0.002126,negative,MIA
away_win_pct,0.002028,positive,MIA
lineup_woba_top3_diff,0.002007,positive,MIA
woba_30g_away,0.001895,positive,MIA
team_hardhit_diff,-0.001833,negative,MIA
sp_k9_home,-0.001763,negative,MIA
sp_whiff_diff,0.001714,positive,MIA
bullpen_whip_10g_away,-0.001633,negative,MIA
team_barrel_diff,-0.001553,negative,MIA
wind_advantage_flyball_factor,-0.001399,negative,MIA
home_elo,0.001328,positive,MIA
bullpen_whip_3g_diff,0.001182,positive,MIA
team_barrel_15g_away,-0.001028,negative,MIA
sp_k9_away,0.000854,positive,MIA
bullpen_whip_diff,-0.000796,negative,MIA
home_win_pct,0.000785,positive,MIA
lineup_woba_mean_diff,-0.000562,negative,MIA
lineup_rest_count_away,-0.000486,negative,MIA
woba_30g_home,0.0004,positive,MIA
ace_efficiency_factor,0.000223,positive,MIA
team_exitvelo_diff,-0.000214,negative,MIA
lineup_depth_multiplier,0.000186,positive,MIA
lineup_rest_count_home,0.000151,positive,MIA
team_barrel_15g_home,0.000117,positive,MIA
dome_is_neutral,9.2e-05,positive,MIA
travel_fatigue_diff,-6.8e-05,negative,MIA
closer_availability_diff,1.3e-05,positive,MIA
rest_days_diff,2e-06,positive,MIA
is_home,-0.0,negative,MIA
