feature,shap_value,signed_effect,perspective_team
away_team_id,0.084039,positive,STL
home_team_id,-0.044497,negative,STL
sp_xwoba_vs_l_diff,0.025461,positive,STL
sp_era_5g_diff,0.018077,positive,STL
run_margin_diff,0.014794,positive,STL
lineup_actual_woba_delta_away,-0.014503,negative,STL
sp_era_home,0.01331,positive,STL
elo_diff,-0.012471,negative,STL
bullpen_meltdown_risk,-0.011406,negative,STL
sp_era_diff,0.010561,positive,STL
lineup_actual_top3_delta_home,-0.007169,negative,STL
pitcher_regression_indicator,0.007055,positive,STL
lineup_actual_woba_delta_home,0.007048,positive,STL
sp_fbvelo_diff,-0.006738,negative,STL
lineup_actual_top3_delta_away,0.005606,positive,STL
air_density_velocity_boost,-0.005492,negative,STL
lineup_handedness_matchup_advantage,0.004786,positive,STL
bullpen_whip_3g_diff,-0.004705,negative,STL
sp_k9_5g_diff,0.004223,positive,STL
bullpen_whip_3g_home,0.004197,positive,STL
sp_k9_away,-0.004064,negative,STL
team_hardhit_diff,-0.003549,negative,STL
sp_k9_diff,0.003505,positive,STL
bullpen_whip_3g_away,-0.003364,negative,STL
woba_30g_away,0.002999,positive,STL
away_elo,-0.002897,negative,STL
bullpen_pitches_diff,-0.002864,negative,STL
wind_advantage_flyball_factor,0.002837,positive,STL
lineup_rest_count_away,-0.002662,negative,STL
sp_fbpct_diff,-0.002611,negative,STL
sp_whiff_diff,-0.002505,negative,STL
park_factor_slug_diff,0.002497,positive,STL
sp_xwoba_home,0.002331,positive,STL
bullpen_whip_10g_away,0.002266,positive,STL
lineup_woba_std_diff,0.002167,positive,STL
lineup_woba_top3_home,0.001932,positive,STL
team_exitvelo_15g_away,0.001795,positive,STL
sp_era_away,-0.001762,negative,STL
team_exitvelo_15g_home,-0.001751,negative,STL
sp_k9_home,0.001692,positive,STL
home_elo,-0.00154,negative,STL
team_exitvelo_diff,0.001486,positive,STL
bullpen_whip_diff,0.001466,positive,STL
team_barrel_15g_away,0.001376,positive,STL
lineup_woba_mean_away,0.001324,positive,STL
lineup_woba_top3_diff,-0.001299,negative,STL
ace_efficiency_factor,-0.001298,negative,STL
woba_30g_diff,0.001218,positive,STL
home_win_pct,-0.001144,negative,STL
lineup_depth_multiplier,0.001102,positive,STL
bullpen_whip_10g_home,-0.00107,negative,STL
team_barrel_15g_home,-0.000959,negative,STL
lineup_woba_top3_away,0.000908,positive,STL
away_win_pct,-0.000742,negative,STL
team_barrel_diff,0.000728,positive,STL
lineup_woba_mean_home,-0.000606,negative,STL
win_pct_diff,-0.000599,negative,STL
sp_xwoba_diff,-0.000534,negative,STL
sp_xwoba_away,0.000248,positive,STL
woba_30g_home,-0.000189,negative,STL
dome_is_neutral,-0.000103,negative,STL
lineup_woba_mean_diff,-4.4e-05,negative,STL
closer_availability_diff,-2.3e-05,negative,STL
travel_fatigue_diff,1.3e-05,positive,STL
lineup_rest_count_home,1.1e-05,positive,STL
rest_days_diff,1e-06,positive,STL
is_home,0.0,negative,STL
