game_id,game_date,start_time_utc,home_team,away_team,home_record,away_record,home_win_prob_model,away_win_prob_model,moneyline_home,moneyline_away,total_line,run_line_home,juice,edge_home,edge_away,sp_name_home,sp_name_away,sp_era_home,sp_k9_home,sp_era_away,sp_k9_away,venue,model_pick,home_win
20260809_PHI@CIN,2026-08-09,2026-08-09 13:00:00,CIN,PHI,41-53,39-61,0.5645,0.4355,-195,157,7.4,-174,0.0433,-0.065,0.065,J. Verlander,M. Gore,3.59,10.2,3.96,8.2,Great American Ball Park,CIN,1.0
20260809_PIT@KC,2026-08-09,2026-08-09 19:00:00,KC,PIT,50-39,51-37,0.5101,0.4899,100,-110,9.3,-134,0.0218,0.0217,-0.0217,C. Bassitt,L. Castillo,3.57,8.1,3.69,9.3,Kauffman Stadium,KC,0.0
20260809_CWS@LAA,2026-08-09,2026-08-09 19:00:00,LAA,CWS,47-47,39-45,0.4498,0.5502,-153,127,8.1,-121,0.0496,-0.1288,0.1288,J. Verlander,K. Bubic,3.26,10.7,3.63,7.7,Angel Stadium,CWS,0.0
20260809_CHC@LAD,2026-08-09,2026-08-09 13:00:00,LAD,CHC,49-43,48-43,0.5079,0.4921,-133,116,7.8,-118,0.0294,-0.0443,0.0443,Z. Wheeler,C. Sale,2.35,10.8,2.98,10.4,Dodger Stadium,LAD,1.0
20260809_TEX@STL,2026-08-09,2026-08-09 19:00:00,STL,TEX,38-47,44-44,0.5683,0.4317,-152,138,7.7,-113,0.0485,-0.0211,0.0211,M. Gore,L. Castillo,3.63,8.1,3.64,9.1,Busch Stadium,STL,1.0
20260809_HOU@DET,2026-08-09,2026-08-09 13:00:00,DET,HOU,46-39,51-41,0.502,0.498,117,-136,8.3,-144,0.0334,0.0577,-0.0577,M. Gore,Z. Wheeler,3.91,8.6,2.62,12.0,Comerica Park,DET,1.0
20260809_MIL@SF,2026-08-09,2026-08-09 19:00:00,SF,MIL,43-50,37-52,0.5919,0.4081,101,-115,7.1,-113,0.0402,0.11,-0.11,S. Strider,C. Bassitt,2.49,11.3,3.53,8.9,Oracle Park,SF,0.0
20260809_ATL@WSH,2026-08-09,2026-08-09 19:00:00,WSH,ATL,40-46,38-55,0.6469,0.35309999999999997,146,-162,7.8,-151,0.0449,0.2502,-0.2502,B. Webb,S. Strider,3.49,8.3,3.51,13.0,Nationals Park,WSH,1.0
20260809_BAL@CLE,2026-08-09,2026-08-09 13:00:00,CLE,BAL,54-36,45-39,0.423,0.577,-174,141,8.2,-146,0.0597,-0.1818,0.1818,G. Cole,K. Bubic,2.76,11.1,4.02,8.0,Progressive Field,BAL,1.0
20260809_NYM@TOR,2026-08-09,2026-08-09 13:00:00,TOR,NYM,44-42,44-44,0.5497,0.45030000000000003,-118,-105,7.5,-170,0.0316,0.0359,-0.0359,B. Webb,L. Castillo,2.76,7.6,3.7,8.9,Rogers Centre,TOR,1.0
