game_id,game_date,start_time_utc,home_team,away_team,home_record,away_record,home_win_prob_model,away_win_prob_model,moneyline_home,moneyline_away,total_line,run_line_home,juice,edge_home,edge_away,sp_era_home,sp_k9_home,sp_era_away,sp_k9_away,venue,model_pick,home_win,sp_name_home,sp_name_away
20260821_STL@PHI,2026-08-21,2026-08-21 19:00:00,PHI,STL,167-127,142-145,0.5413,0.4587,-151.0,137.0,7.9,-162.0,0.055,-0.0465,0.0465,7.982609,11.504348,6.75,8.4375,Citizens Bank Park,PHI,1.0,Jesús Luzardo,Hunter Dobbins
20260821_SF@BOS,2026-08-21,2026-08-21 19:00:00,BOS,SF,155-130,134-147,0.5969,0.4031,-111.0,-106.0,8.1,-169.0,0.0328,0.0914,-0.0914,6.0560746,8.074766,7.955357,7.232143,Fenway Park,BOS,1.0,Sonny Gray,Logan Webb
20260821_PIT@LAD,2026-08-21,2026-08-21 19:00:00,LAD,PIT,177-117,131-155,0.3498,0.6502,,,,,0.04,-0.1502,0.1502,6.6923075,8.307693,7.9772725,8.897727,Dodger Stadium,PIT,1.0,Yoshinobu Yamamoto,Bubba Chandler
20260821_TB@BAL,2026-08-21,2026-08-21 19:00:00,BAL,TB,136-152,157-133,0.3403,0.6597,-116.0,-107.0,9.4,-110.0,0.057,-0.1692,0.1692,8.307693,10.125,9.45,8.4375,Oriole Park at Camden Yards,TB,1.0,Trevor Rogers,Freddy Peralta
20260821_TOR@NYY,2026-08-21,2026-08-21 19:00:00,NYY,TOR,169-121,165-138,0.3485,0.6515,-131.0,107.0,8.7,-147.0,0.0218,-0.1915,0.1915,3.0,14.181818,0.0,3.6,Yankee Stadium,TOR,1.0,Cam Schlittler,Mason Fluharty
20260821_LAA@TEX,2026-08-21,2026-08-21 19:00:00,TEX,LAA,141-142,116-167,0.3952,0.6048,,,,,0.04,-0.1048,0.1048,8.287128,10.425742,2.4059405,11.762376,Globe Life Field,LAA,1.0,MacKenzie Gore,Reid Detmers
20260821_DET@KC,2026-08-21,2026-08-21 19:00:00,KC,DET,135-149,154-141,0.4946,0.5054000000000001,-186.0,148.0,9.3,-152.0,0.0349,-0.1227,0.1227,5.0080647,7.620968,5.504854,8.38835,Kauffman Stadium,DET,1.0,Noah Cameron,Troy Melton
20260821_CHC@SEA,2026-08-21,2026-08-21 19:00:00,SEA,CHC,150-138,159-131,0.374,0.626,,,,,0.04,-0.126,0.126,7.3636365,8.284091,10.75,5.25,T-Mobile Park,CHC,1.0,Emerson Hancock,Matthew Boyd
20260821_ATL@MIL,2026-08-21,2026-08-21 19:00:00,MIL,ATL,175-121,156-131,0.5167,0.4832999999999999,-156.0,128.0,9.0,-116.0,0.0279,-0.0648,0.0648,7.7884617,14.019231,6.21,12.96,American Family Field,MIL,1.0,Jacob Misiorowski,Chris Sale
20260821_CIN@AZ,2026-08-21,2026-08-21 19:00:00,AZ,CIN,142-140,136-154,0.39,0.61,100.0,-128.0,8.7,-143.0,0.0487,-0.0811,0.0811,8.307693,7.0096154,3.8117647,7.9411764,Unknown,CIN,1.0,Eduardo Rodriguez,Nick Lodolo
20260821_NYM@CWS,2026-08-21,2026-08-21 19:00:00,CWS,NYM,124-160,134-143,0.4625,0.5375,,,,,0.04,-0.0375,0.0375,5.4,10.53,9.174757,10.223301,Rate Field,NYM,1.0,Sean Burke,Sean Manaea
20260821_WSH@MIA,2026-08-21,2026-08-21 19:00:00,MIA,WSH,139-150,128-168,0.5204,0.4796,,,,,0.04,0.0204,-0.0204,8.25,9.0,11.8125,9.28125,loanDepot park,MIA,1.0,Ryan Gusto,Brad Lord
20260821_ATH@HOU,2026-08-21,2026-08-21 19:00:00,HOU,ATH,150-133,121-163,0.5956,0.4044,124.0,-156.0,9.1,-169.0,0.0206,0.1728,-0.1728,9.191489,6.319149,9.367347,8.816326,Minute Maid Park,HOU,1.0,Hayden Wesneski,J.T. Ginn
20260821_CLE@COL,2026-08-21,2026-08-21 19:00:00,COL,CLE,96-193,151-143,0.4149,0.5851,-145.0,129.0,8.4,-164.0,0.0222,-0.1605,0.1605,7.105263,5.6842103,7.9859157,12.929578,Coors Field,CLE,0.0,Tanner Gordon,Joey Cantillo
20260821_MIN@SD,2026-08-21,2026-08-21 19:00:00,SD,MIN,153-134,130-157,0.5615,0.4385,-158.0,140.0,5.8,-126.0,0.0452,-0.0336,0.0336,8.338235,3.5735295,10.8,11.7,Petco Park,SD,1.0,Randy Vásquez,Connor Prielipp
