game_id,game_date,start_time_utc,home_team,away_team,home_record,away_record,home_win_prob_model,away_win_prob_model,edge_home,edge_away,sp_name_home,sp_name_away,sp_era_home,sp_k9_home,sp_era_away,sp_k9_away,venue,model_pick,home_win
20260822_TOR@NYY,2026-08-22,2026-08-22 17:35:00+00:00,NYY,TOR,170-121,165-139,0.3824,0.6175999999999999,0.0,0.0,TBD,TBD,,,,,Yankee Stadium,TOR,0.0
20260822_ATL@MIL,2026-08-22,2026-08-22 18:10:00+00:00,MIL,ATL,176-121,156-132,0.6807,0.31930000000000003,0.0,0.0,TBD,TBD,,,,,American Family Field,MIL,0.0
20260822_WSH@MIA,2026-08-22,2026-08-22 20:10:00+00:00,MIA,WSH,139-150,128-168,0.712,0.28800000000000003,0.0,0.0,TBD,TBD,,,,,loanDepot park,MIA,0.0
20260822_STL@PHI,2026-08-22,2026-08-22 22:05:00+00:00,PHI,STL,167-128,143-145,0.6954,0.3046,0.0,0.0,TBD,TBD,,,,,Citizens Bank Park,PHI,0.0
20260822_TB@BAL,2026-08-22,2026-08-22 23:05:00+00:00,BAL,TB,137-152,157-134,0.4312,0.5688,0.0,0.0,TBD,TBD,,,,,Oriole Park at Camden Yards,TB,0.0
20260822_LAA@TEX,2026-08-22,2026-08-22 23:05:00+00:00,TEX,LAA,141-142,116-167,0.7673,0.23270000000000002,0.0,0.0,TBD,TBD,,,,,Globe Life Field,TEX,0.0
20260822_ATH@HOU,2026-08-22,2026-08-22 23:10:00+00:00,HOU,ATH,151-133,121-164,0.7093,0.29069999999999996,0.0,0.0,TBD,TBD,,,,,Daikin Park,HOU,0.0
20260822_NYM@CHW,2026-08-22,2026-08-22 23:10:00+00:00,CWS,NYM,124-160,134-143,0.6392,0.3608,0.0,0.0,TBD,TBD,,,,,Rate Field,CWS,0.0
20260822_SF@BOS,2026-08-22,2026-08-22 23:15:00+00:00,BOS,SF,156-130,134-148,0.6974,0.3026,0.0,0.0,TBD,TBD,,,,,Fenway Park,BOS,0.0
20260822_DET@KC,2026-08-22,2026-08-22 23:15:00+00:00,KC,DET,136-149,154-142,0.5505,0.4495,0.0,0.0,TBD,TBD,,,,,Kauffman Stadium,KC,0.0
20260822_CHC@SEA,2026-08-22,2026-08-22 23:15:00+00:00,SEA,CHC,150-138,159-131,0.6557,0.34430000000000005,0.0,0.0,TBD,TBD,,,,,T-Mobile Park,SEA,0.0
20260822_PIT@LAD,2026-08-22,2026-08-22 23:15:00+00:00,LAD,PIT,177-117,131-155,0.6861,0.31389999999999996,0.0,0.0,TBD,TBD,,,,,Dodger Stadium,LAD,0.0
20260823_CLE@COL,2026-08-22,2026-08-23 00:10:00+00:00,COL,CLE,96-194,152-143,0.4973,0.5026999999999999,0.0,0.0,TBD,TBD,,,,,Coors Field,CLE,0.0
20260823_CIN@ARI,2026-08-22,2026-08-23 00:10:00+00:00,AZ,CIN,143-140,136-155,0.7098,0.2902,0.0,0.0,TBD,TBD,,,,,Chase Field,AZ,0.0
20260823_MIN@SD,2026-08-22,2026-08-23 00:40:00+00:00,SD,MIN,154-134,130-158,0.6931,0.30689999999999995,0.0,0.0,TBD,TBD,,,,,Petco Park,SD,0.0
