rank,team,team_name,elo,wins,losses,record,pct,run_diff,point_diff,l10,home_pct,away_pct
1,OKC,Oklahoma City Thunder,1751.5,169,47,169-47,0.782,2443,2443,,,
2,NYK,New York Knicks,1719.5,141,77,141-77,0.647,1136,1136,,,
3,SAS,San Antonio Spurs,1702.4,112,79,112-79,0.586,634,634,,,
4,BOS,Boston Celtics,1635.9,144,61,144-61,0.702,1633,1633,,,
5,DET,Detroit Pistons,1634.1,114,74,114-74,0.606,790,790,,,
6,DEN,Denver Nuggets,1625.2,123,77,123-77,0.615,660,660,,,
7,LAL,Los Angeles Lakers,1605.8,111,76,111-76,0.594,154,154,,,
8,MIN,Minnesota Timberwolves,1597.6,124,87,124-87,0.588,706,706,,,
9,CLE,Cleveland Cavaliers,1590.2,136,70,136-70,0.66,1113,1113,,,
10,HOU,Houston Rockets,1590.0,112,69,112-69,0.619,812,812,,,
11,CHA,Charlotte Hornets,1574.5,65,103,65-103,0.387,-399,-399,,,
12,ATL,Atlanta Hawks,1559.1,88,86,88-86,0.506,-52,-52,,,
13,LAC,LA Clippers,1546.7,98,83,98-83,0.541,424,424,,,
14,ORL,Orlando Magic,1545.8,94,93,94-93,0.503,-41,-41,,,
15,TOR,Toronto Raptors,1526.9,79,96,79-96,0.451,-190,-190,,,
16,PHI,Philadelphia 76ers,1520.5,78,106,78-106,0.424,-585,-585,,,
17,POR,Portland Trail Blazers,1517.2,79,94,79-94,0.457,-396,-396,,,
18,MIA,Miami Heat,1501.0,84,93,84-93,0.475,61,61,,,
19,PHX,Phoenix Suns,1500.5,84,92,84-92,0.477,-232,-232,,,
20,GSW,Golden State Warriors,1431.5,93,87,93-87,0.517,213,213,,,
21,MIL,Milwaukee Bucks,1402.1,85,94,85-94,0.475,-373,-373,,,
22,NOP,New Orleans Pelicans,1379.6,50,122,50-122,0.291,-1194,-1194,,,
23,CHI,Chicago Bulls,1365.3,72,96,72-96,0.429,-543,-543,,,
24,SAC,Sacramento Kings,1355.3,63,105,63-105,0.375,-762,-762,,,
25,DAL,Dallas Mavericks,1354.6,80,110,80-110,0.421,-515,-515,,,
26,IND,Indiana Pacers,1332.9,94,113,94-113,0.454,-357,-357,,,
27,MEM,Memphis Grizzlies,1307.9,73,99,73-99,0.424,-218,-218,,,
28,BKN,Brooklyn Nets,1292.4,47,120,47-120,0.281,-1423,-1423,,,
29,UTA,Utah Jazz,1290.1,41,127,41-127,0.244,-1476,-1476,,,
30,WAS,Washington Wizards,1243.8,35,132,35-132,0.21,-2023,-2023,,,
