feature,window,n_games,pct_measured,pct_nonnull,n_default_zero,status
elo_diff,decided pool,2768,100.0,100.0,16,OK
win_pct_diff,decided pool,2768,99.42,99.42,314,OK
rest_days_diff,decided pool,2768,99.42,99.42,1605,OK
back_to_back_diff,decided pool,2768,99.42,99.42,2137,OK
ewm_net_points_diff,decided pool,2768,99.42,99.42,0,OK
ewm_off_rating_diff,decided pool,2768,99.42,99.42,0,OK
ewm_def_rating_diff,decided pool,2768,99.42,99.42,0,OK
ewm_pace_diff,decided pool,2768,99.42,99.42,1,OK
ewm_efg_pct_diff,decided pool,2768,99.42,99.42,0,OK
ewm_turnover_margin_diff,decided pool,2768,99.42,99.42,2752,OK
ewm_rebound_margin_diff,decided pool,2768,99.42,99.42,2752,OK
ewm_ast_per_game_diff,decided pool,2768,99.42,99.42,2,OK
is_playoffs,decided pool,2768,100.0,100.0,2517,OK
elo_home,decided pool,2768,100.0,100.0,0,OK
elo_away,decided pool,2768,100.0,100.0,0,OK
win_pct_home,decided pool,2768,99.42,99.42,35,OK
win_pct_away,decided pool,2768,99.49,99.49,37,OK
ewm_off_rating_home,decided pool,2768,99.42,99.42,0,OK
ewm_off_rating_away,decided pool,2768,99.49,99.49,0,OK
ewm_def_rating_home,decided pool,2768,99.42,99.42,0,OK
ewm_def_rating_away,decided pool,2768,99.49,99.49,0,OK
rest_days_home,decided pool,2768,99.42,99.42,0,OK
rest_days_away,decided pool,2768,99.49,99.49,0,OK
is_home,decided pool,2768,100.0,100.0,0,OK
event_three_rate_diff,decided pool,2768,99.42,99.42,0,OK
event_rim_rate_diff,decided pool,2768,21.32,21.32,0,STARVED
event_live_tov_rate_diff,decided pool,2768,21.32,21.32,0,STARVED
event_and_in_rate_diff,decided pool,2768,21.32,21.32,1,STARVED
event_shot_distance_diff,decided pool,2768,21.32,21.32,0,STARVED
event_possessions_diff,decided pool,2768,21.32,21.32,0,STARVED
event_shooting_fouls_diff,decided pool,2768,21.32,21.32,2,STARVED
event_q4_points_diff,decided pool,2768,21.32,21.32,0,STARVED
