feature,current_mean,baseline_mean,psi,psi_adjusted,status,weight_pct,n_baseline,n_current
elo_diff,-12.470448820644993,-1.0643145119348378,0.5453592416310169,0.5453592416310169,ALERT,0.0,3461,60
win_pct_diff,-0.029166666666666667,8.694041795087155e-05,0.5635377367653984,0.5635377367653984,ALERT,0.0,3444,60
rest_days_diff,0.23333333333333334,0.1443089430894309,2.2362314896825324,2.2362314896825324,ALERT,0.0,3444,60
back_to_back_diff,0.0,-0.006678281068524971,1.3989025133985864,1.3989025133985864,ALERT,0.0,3444,60
ewm_net_points_diff,-2.31207801392725,-0.08511792201029011,0.18321108966001384,0.18321108966001384,WARN,0.0,3444,60
ewm_off_rating_diff,-2.31207801392725,-0.08511792201029009,0.18321108966001384,0.18321108966001384,WARN,0.0,3444,60
ewm_def_rating_diff,2.312078013927251,0.08511792201029042,0.18321108966001384,0.18321108966001384,WARN,0.0,3444,60
ewm_pace_diff,0.030119353184378875,-0.27665350262499877,0.6527430860745068,0.6527430860745068,ALERT,0.0,3444,60
ewm_efg_pct_diff,-0.006087552120334433,-0.0005955938872409845,0.12741809472281415,0.12741809472281415,WARN,0.0,3444,60
ewm_turnover_margin_diff,0.0,0.0,,,OK,0.0,3444,60
ewm_rebound_margin_diff,0.0,0.0,,,OK,0.0,3444,60
ewm_ast_per_game_diff,-0.46011125451089613,-0.04140424631422931,0.13888582707381325,0.13888582707381325,WARN,0.0,3444,60
is_playoffs,1.0,0.07252239237214678,0.0,0.0,OK,0.0,3461,60
elo_home,1635.1844052635722,1507.7857550416945,5.796786920134446,5.796786920134446,ALERT,0.0,3461,60
elo_away,1647.6548540842173,1508.8500695536295,5.930669592337077,5.930669592337077,ALERT,0.0,3461,60
win_pct_home,0.6430555555555556,0.5036916018991491,3.546372469424909,3.546372469424909,ALERT,0.0,3445,60
win_pct_away,0.6722222222222222,0.5036025952257458,3.6981469040085373,3.6981469040085373,ALERT,0.0,3447,60
ewm_off_rating_home,104.14135620290736,100.08411686767838,1.2945396023318174,1.2945396023318174,ALERT,0.0,3445,60
ewm_off_rating_away,106.45343421683462,100.16098889833347,1.665536141324531,1.665536141324531,ALERT,0.0,3447,60
ewm_def_rating_home,95.85864379709272,99.91588313232165,1.2947540576802925,1.2947540576802925,ALERT,0.0,3445,60
ewm_def_rating_away,93.54656578316549,99.83901110166656,1.6657305130452507,1.6657305130452507,ALERT,0.0,3447,60
rest_days_home,2.5833333333333335,3.762844702467344,2.002841586462753,2.002841586462753,ALERT,0.0,3445,60
rest_days_away,2.35,3.617058311575283,2.1019085099587898,2.1019085099587898,ALERT,0.0,3447,60
is_home,1.0,1.0,,,OK,0.0,3461,60
event_three_rate_diff,0.0036635528288151754,-0.000720995661977605,0.14417691812886746,0.14417691812886746,WARN,0.0,3444,60
event_rim_rate_diff,-0.00129147527373507,-0.0015052082637236946,0.2320918901050283,0.2320918901050283,WARN,0.0,590,60
event_live_tov_rate_diff,0.001560275209208935,0.0005164477337253945,0.18850287672172922,0.18850287672172922,WARN,0.0,590,60
event_and_in_rate_diff,0.00024919781640258875,-0.00019251126997663052,0.06614635565411256,0.06614635565411256,OK,0.0,590,60
event_shot_distance_diff,0.09384119307194677,0.03467722172689694,0.30351540197805704,0.30351540197805704,ALERT,0.0,590,60
event_possessions_diff,0.08227969627249838,-0.14627305519086584,2.548238777464083,2.548238777464083,ALERT,0.0,590,60
event_shooting_fouls_diff,0.00036853201665296707,-0.02600965321792444,0.15295810911841842,0.15295810911841842,WARN,0.0,590,60
event_q4_points_diff,-0.0804722619797865,-0.1700230658326727,0.1728360890802047,0.1728360890802047,WARN,0.0,590,60
