season,team,n,mean_age,mean_exp
2018,ARI,120,26.28661687388587,3.0
2019,ARI,101,26.106422413461612,3.0792079207920793
2020,ARI,7,27.612398552850298,4.285714285714286
2021,ARI,8,25.012320328542096,1.75
2022,ARI,12,27.14774616211988,2.3333333333333335
2023,ARI,13,29.20807665982204,2.6923076923076925
2024,ARI,11,25.40128181195943,2.3636363636363638
2025,ARI,6,25.890029660050192,1.5
2026,ARI,100,26.427422755964848,3.24
2018,ATL,97,26.8354893908282,3.1752577319587627
2019,ATL,102,26.7867692536058,3.405940594059406
2020,ATL,14,26.28512760340276,2.7142857142857144
2021,ATL,5,28.161533196440793,1.0
2022,ATL,11,26.887337440109512,2.272727272727273
2023,ATL,10,26.798083504449007,1.6
2024,ATL,21,25.819085701934508,2.0952380952380953
2025,ATL,10,27.231055050356897,2.3
2026,ATL,103,26.908790263009873,3.8446601941747574
2020,BAL,8,26.45516769336071,4.142857142857143
2021,BAL,2,,0.5
2022,BAL,11,28.09363449691992,2.272727272727273
2023,BAL,7,,0.2857142857142857
2024,BAL,9,25.419575633127995,1.0
2025,BAL,6,25.824321241159023,1.0
2026,BAL,98,26.517853068674423,3.0816326530612246
2018,BUF,94,26.36367784622405,3.265957446808511
2020,BUF,9,29.069282835196596,6.222222222222222
2021,BUF,2,29.540041067761805,5.0
2022,BUF,8,26.97604380561259,1.125
2023,BUF,9,26.772269482741763,3.0
2024,BUF,15,26.161441934747888,2.2666666666666666
2025,BUF,15,27.110198494182068,2.2666666666666666
2026,BUF,98,26.425015310349796,3.0918367346938775
2018,CAR,96,26.79190664596584,3.6145833333333335
2019,CAR,107,26.38522212444184,3.317757009345794
2020,CAR,12,28.41204654346338,5.166666666666667
2021,CAR,5,25.613963039014372,1.8
2022,CAR,12,25.684951598709297,1.6666666666666667
2023,CAR,13,27.601368925393565,2.1538461538461537
2024,CAR,22,26.184941820670776,2.409090909090909
2025,CAR,16,26.726508262442554,1.375
2026,CAR,101,26.465122898326793,3.1881188118811883
2019,CHI,91,26.131982660278346,2.7472527472527473
2020,CHI,7,26.92871809914931,3.4285714285714284
2021,CHI,5,26.522473191877708,2.0
2022,CHI,14,26.397672826830938,1.0714285714285714
2023,CHI,11,27.148528405201915,1.5454545454545454
2024,CHI,9,25.60042588790022,1.7777777777777777
2025,CHI,8,26.10306052605847,1.875
2026,CHI,101,26.749825427443493,3.386138613861386
2018,CIN,96,25.519907847949113,2.4479166666666665
2019,CIN,86,25.627208317146717,2.627906976744186
2020,CIN,10,26.720328542094457,3.6666666666666665
2021,CIN,2,27.756331279945243,2.5
2022,CIN,15,25.96714579055441,1.4
2023,CIN,10,,0.7
2024,CIN,15,25.117773214693134,1.1333333333333333
2025,CIN,13,26.248459958932237,1.5384615384615385
2026,CIN,91,26.594934976043806,3.197802197802198
2018,CLE,96,25.364516387103656,2.03125
2019,CLE,90,25.383792963030352,2.2444444444444445
2020,CLE,8,25.50752908966461,2.75
