game_id,game_date,home_team,away_team,home_score,away_score,home_win,home_win_prob_model,home_win_prob_model_calibrated,model_pick,actual_winner,correct,source_artifact_date,p_home_win,p_away_win,game_status
2017_01_KC_NE,2017-09-07,NE,KC,27.0,42.0,,,,NE,KC,False,20260923,0.623849,0.376151,Final
2017_01_ARI_DET,2017-09-10,DET,ARI,35.0,23.0,,,,DET,DET,True,20260923,0.688053,0.311947,Final
2017_01_ATL_CHI,2017-09-10,CHI,ATL,17.0,23.0,,,,ATL,ATL,True,20260923,0.317671,0.682329,Final
2017_01_BAL_CIN,2017-09-10,CIN,BAL,0.0,20.0,,,,CIN,BAL,False,20260923,0.799358,0.200642,Final
2017_01_CAR_SF,2017-09-10,SF,CAR,3.0,23.0,,,,CAR,CAR,True,20260923,0.399972,0.600028,Final
2017_01_IND_LA,2017-09-10,LA,IND,46.0,9.0,,,,IND,LA,False,20260923,0.293875,0.706125,Final
2017_01_JAX_HOU,2017-09-10,HOU,JAX,7.0,29.0,,,,HOU,JAX,False,20260923,0.820122,0.179878,Final
2017_01_NYG_DAL,2017-09-10,DAL,NYG,19.0,3.0,,,,DAL,DAL,True,20260923,0.857832,0.142168,Final
2017_01_NYJ_BUF,2017-09-10,BUF,NYJ,21.0,12.0,,,,BUF,BUF,True,20260923,0.660237,0.339763,Final
2017_01_OAK_TEN,2017-09-10,TEN,OAK,16.0,26.0,,,,OAK,OAK,True,20260923,0.476257,0.523743,Final
2017_01_PHI_WAS,2017-09-10,WAS,PHI,17.0,30.0,,,,WAS,PHI,False,20260923,0.634318,0.365682,Final
2017_01_PIT_CLE,2017-09-10,CLE,PIT,18.0,21.0,,,,PIT,PIT,True,20260923,0.340748,0.659252,Final
2017_01_SEA_GB,2017-09-10,GB,SEA,17.0,9.0,,,,GB,GB,True,20260923,0.833781,0.166219,Final
2017_01_LAC_DEN,2017-09-11,DEN,LAC,24.0,21.0,,,,DEN,DEN,True,20260923,0.646078,0.353922,Final
2017_01_NO_MIN,2017-09-11,MIN,NO,29.0,19.0,,,,MIN,MIN,True,20260923,0.675134,0.324866,Final
2017_02_HOU_CIN,2017-09-14,CIN,HOU,9.0,13.0,,,,CIN,HOU,False,20260923,0.572577,0.427423,Final
2017_02_ARI_IND,2017-09-17,IND,ARI,13.0,16.0,,,,IND,ARI,False,20260923,0.631419,0.368581,Final
2017_02_BUF_CAR,2017-09-17,CAR,BUF,9.0,3.0,,,,CAR,CAR,True,20260923,0.561809,0.438191,Final
2017_02_CHI_TB,2017-09-17,TB,CHI,29.0,7.0,,,,TB,TB,True,20260923,0.762595,0.237405,Final
2017_02_CLE_BAL,2017-09-17,BAL,CLE,24.0,10.0,,,,BAL,BAL,True,20260923,0.755824,0.244176,Final
2017_02_DAL_DEN,2017-09-17,DEN,DAL,42.0,17.0,,,,DAL,DEN,False,20260923,0.433612,0.566388,Final
2017_02_GB_ATL,2017-09-17,ATL,GB,34.0,23.0,,,,ATL,ATL,True,20260923,0.586609,0.413391,Final
2017_02_MIA_LAC,2017-09-17,LAC,MIA,17.0,19.0,,,,LAC,MIA,False,20260923,0.514296,0.485704,Final
2017_02_MIN_PIT,2017-09-17,PIT,MIN,26.0,9.0,,,,PIT,PIT,True,20260923,0.671039,0.328961,Final
2017_02_NE_NO,2017-09-17,NO,NE,20.0,36.0,,,,NE,NE,True,20260923,0.426493,0.573507,Final
2017_02_NYJ_OAK,2017-09-17,OAK,NYJ,45.0,20.0,,,,OAK,OAK,True,20260923,0.764276,0.235724,Final
2017_02_PHI_KC,2017-09-17,KC,PHI,27.0,20.0,,,,KC,KC,True,20260923,0.731018,0.268982,Final
2017_02_SF_SEA,2017-09-17,SEA,SF,12.0,9.0,,,,SEA,SEA,True,20260923,0.775228,0.224772,Final
2017_02_TEN_JAX,2017-09-17,JAX,TEN,16.0,37.0,,,,TEN,TEN,True,20260923,0.419032,0.580968,Final
2017_02_WAS_LA,2017-09-17,LA,WAS,20.0,27.0,,,,WAS,WAS,True,20260923,0.454624,0.545376,Final
2017_02_DET_NYG,2017-09-18,NYG,DET,10.0,24.0,,,,NYG,DET,False,20260923,0.576697,0.423303,Final
2017_03_LA_SF,2017-09-21,SF,LA,39.0,41.0,,,,SF,LA,False,20260923,0.505085,0.494915,Final
2017_03_ATL_DET,2017-09-24,DET,ATL,26.0,30.0,,,,ATL,ATL,True,20260923,0.493405,0.506595,Final
2017_03_BAL_JAX,2017-09-24,JAX,BAL,44.0,7.0,,,,BAL,JAX,False,20260923,0.412477,0.587523,Final
2017_03_CIN_GB,2017-09-24,GB,CIN,27.0,24.0,,,,GB,GB,True,20260923,0.730388,0.269612,Final
2017_03_CLE_IND,2017-09-24,IND,CLE,31.0,28.0,,,,IND,IND,True,20260923,0.797603,0.202397,Final
2017_03_DEN_BUF,2017-09-24,BUF,DEN,26.0,16.0,,,,DEN,BUF,False,20260923,0.463632,0.536368,Final
2017_03_HOU_NE,2017-09-24,NE,HOU,36.0,33.0,,,,NE,NE,True,20260923,0.707146,0.292854,Final
2017_03_KC_LAC,2017-09-24,LAC,KC,10.0,24.0,,,,KC,KC,True,20260923,0.381309,0.618691,Final
2017_03_MIA_NYJ,2017-09-24,NYJ,MIA,20.0,6.0,,,,MIA,NYJ,False,20260923,0.304612,0.695388,Final
2017_03_NO_CAR,2017-09-24,CAR,NO,13.0,34.0,,,,CAR,NO,False,20260923,0.644729,0.355271,Final
2017_03_NYG_PHI,2017-09-24,PHI,NYG,27.0,24.0,,,,NYG,PHI,False,20260923,0.469984,0.530016,Final
2017_03_OAK_WAS,2017-09-24,WAS,OAK,27.0,10.0,,,,OAK,WAS,False,20260923,0.371793,0.628207,Final
2017_03_PIT_CHI,2017-09-24,CHI,PIT,23.0,17.0,,,,PIT,CHI,False,20260923,0.240379,0.759621,Final
2017_03_SEA_TEN,2017-09-24,TEN,SEA,33.0,27.0,,,,TEN,TEN,True,20260923,0.621404,0.378596,Final
2017_03_TB_MIN,2017-09-24,MIN,TB,34.0,17.0,,,,MIN,MIN,True,20260923,0.53582,0.46418,Final
2017_03_DAL_ARI,2017-09-25,ARI,DAL,17.0,28.0,,,,DAL,DAL,True,20260923,0.35755,0.64245,Final
2017_04_CHI_GB,2017-09-28,GB,CHI,35.0,14.0,,,,GB,GB,True,20260923,0.761031,0.238969,Final
2017_04_BUF_ATL,2017-10-01,ATL,BUF,17.0,23.0,,,,ATL,BUF,False,20260923,0.71299,0.28701,Final
2017_04_CAR_NE,2017-10-01,NE,CAR,30.0,33.0,,,,NE,CAR,False,20260923,0.748633,0.251367,Final
2017_04_CIN_CLE,2017-10-01,CLE,CIN,7.0,31.0,,,,CIN,CIN,True,20260923,0.461098,0.538902,Final
2017_04_DET_MIN,2017-10-01,MIN,DET,7.0,14.0,,,,MIN,DET,False,20260923,0.542313,0.457687,Final
2017_04_IND_SEA,2017-10-01,SEA,IND,46.0,18.0,,,,SEA,SEA,True,20260923,0.630643,0.369357,Final
2017_04_JAX_NYJ,2017-10-01,NYJ,JAX,23.0,20.0,,,,NYJ,NYJ,True,20260923,0.598437,0.401563,Final
2017_04_LA_DAL,2017-10-01,DAL,LA,30.0,35.0,,,,DAL,LA,False,20260923,0.784256,0.215744,Final
2017_04_NO_MIA,2017-10-01,MIA,NO,0.0,20.0,,,,MIA,NO,False,20260923,0.655016,0.344984,Final
2017_04_NYG_TB,2017-10-01,TB,NYG,25.0,23.0,,,,TB,TB,True,20260923,0.584332,0.415668,Final
2017_04_OAK_DEN,2017-10-01,DEN,OAK,16.0,10.0,,,,DEN,DEN,True,20260923,0.519763,0.480237,Final
2017_04_PHI_LAC,2017-10-01,LAC,PHI,24.0,26.0,,,,LAC,PHI,False,20260923,0.530439,0.469561,Final
