kind,game_id,gameday,season,week,home_team,away_team,stadium,gametime,home_record,away_record,p_home_win,p_away_win,p_tie,derived_ml,mu_h,mu_a,mu_margin,mu_total,fair_spread,fair_total,spread_line,total_line,has_offer,p_cover_offered,p_push_offered,p_over_offered,p_under_offered,p_push_total_offered,p_home_cover_minus_half,p_home_cover_plus_half,p_away_cover_minus_half,p_away_cover_plus_half,p_home_cover_m14,p_push_m14,p_home_cover_m13,p_push_m13,p_home_cover_m12,p_push_m12,p_home_cover_m11,p_push_m11,p_home_cover_m10,p_push_m10,p_home_cover_m9,p_push_m9,p_home_cover_m8,p_push_m8,p_home_cover_m7,p_push_m7,p_home_cover_m6,p_push_m6,p_home_cover_m5,p_push_m5,p_home_cover_m4,p_push_m4,p_home_cover_m3,p_push_m3,p_home_cover_m2,p_push_m2,p_home_cover_m1,p_push_m1,p_home_cover_0,p_push_0,p_home_cover_1,p_push_1,p_home_cover_2,p_push_2,p_home_cover_3,p_push_3,p_home_cover_4,p_push_4,p_home_cover_5,p_push_5,p_home_cover_6,p_push_6,p_home_cover_7,p_push_7,p_home_cover_8,p_push_8,p_home_cover_9,p_push_9,p_home_cover_10,p_push_10,p_home_cover_11,p_push_11,p_home_cover_12,p_push_12,p_home_cover_13,p_push_13,p_home_cover_14,p_push_14,p_over_24,p_under_24,p_push_24,p_over_25,p_under_25,p_push_25,p_over_26,p_under_26,p_push_26,p_over_27,p_under_27,p_push_27,p_over_28,p_under_28,p_push_28,p_over_29,p_under_29,p_push_29,p_over_30,p_under_30,p_push_30,p_over_31,p_under_31,p_push_31,p_over_32,p_under_32,p_push_32,p_over_33,p_under_33,p_push_33,p_over_34,p_under_34,p_push_34,p_over_35,p_under_35,p_push_35,p_over_36,p_under_36,p_push_36,p_over_37,p_under_37,p_push_37,p_over_38,p_under_38,p_push_38,p_over_39,p_under_39,p_push_39,p_over_40,p_under_40,p_push_40,p_over_41,p_under_41,p_push_41,p_over_42,p_under_42,p_push_42,p_over_43,p_under_43,p_push_43,p_over_44,p_under_44,p_push_44,p_over_45,p_under_45,p_push_45,p_over_46,p_under_46,p_push_46,p_over_47,p_under_47,p_push_47,p_over_48,p_under_48,p_push_48,p_over_49,p_under_49,p_push_49,p_over_50,p_under_50,p_push_50,p_over_51,p_under_51,p_push_51,p_over_52,p_under_52,p_push_52,p_over_53,p_under_53,p_push_53,p_over_54,p_under_54,p_push_54,p_over_55,p_under_55,p_push_55,p_over_56,p_under_56,p_push_56,p_over_57,p_under_57,p_push_57,p_over_58,p_under_58,p_push_58,p_over_59,p_under_59,p_push_59,p_over_60,p_under_60,p_push_60,p_over_61,p_under_61,p_push_61,p_over_62,p_under_62,p_push_62,p_over_63,p_under_63,p_push_63,p_over_64,p_under_64,p_push_64,p_over_65,p_under_65,p_push_65,p_over_66,p_under_66,p_push_66,p_home_win_derived,p_away_win_derived,derived_ml_shrunk,fair_spread_shrunk,fair_total_shrunk,p_cover_shrunk,p_over_shrunk,shrink_applied,treatment_mode,home_score,away_score,total,margin,p_over_fair,p_cover_fair,y_over_fair,y_under_fair,y_push_fair,y_cover_fair,y_push_spread_fair,y_over_offered,y_under_offered,y_push_total_offered,y_cover_offered,y_push_spread_offered,y_home_win,decided,frame_view,pred_home,pred_away
slate,2026_01_NE_SEA,2026-09-09,2026,1,SEA,NE,Lumen Field,20:20,86-55,76-66,0.63334943,0.36390057,0.00275,0.63509594,24.948,20.4156,4.5324,45.3636,5,45,3.5,44.5,1,0.541327,,0.526429,0.473571,,0.541327,0.5101,0.458673,0.4899,0.912018,0.011711,0.899025,0.012993,0.884693,0.014332,0.868976,0.015717,0.851839,0.017137,0.833263,0.018576,0.813242,0.02002,0.791791,0.021451,0.768941,0.022851,0.74474,0.024201,0.719258,0.025482,0.692584,0.026674,0.664823,0.027761,0.636099,0.028723,0.633349,0.00275,0.603128,0.030222,0.572396,0.030732,0.541327,0.031069,0.5101,0.031228,0.478894,0.031206,0.44789,0.031004,0.417265,0.030625,0.387188,0.030077,0.357819,0.029369,0.329307,0.028512,0.301785,0.027522,0.27537,0.026414,0.250164,0.025206,0.226249,0.023915,0.944684,0.047287,0.008029,0.935127,0.055316,0.009557,0.924983,0.064873,0.010144,0.913057,0.075017,0.011927,0.900548,0.086943,0.012509,0.886014,0.099452,0.014534,0.870948,0.113986,0.015066,0.853643,0.129052,0.017305,0.835912,0.146357,0.017731,0.815776,0.164088,0.020136,0.795378,0.184224,0.020398,0.772475,0.204622,0.022903,0.749537,0.227525,0.022938,0.724071,0.250463,0.025465,0.698855,0.275929,0.025216,0.671177,0.301145,0.027678,0.644078,0.328823,0.027099,0.61467,0.355922,0.029407,0.586203,0.38533,0.028468,0.555662,0.413797,0.030541,0.526429,0.444338,0.029233,0.495427,0.473571,0.031002,0.466085,0.504573,0.029342,0.435326,0.533915,0.03076,0.406539,0.564674,0.028787,0.376709,0.593461,0.029829,0.349104,0.623291,0.027605,0.32083,0.650896,0.028274,0.294956,0.67917,0.025874,0.268763,0.705044,0.026193,0.245057,0.731237,0.023705,0.221339,0.754943,0.023719,0.200111,0.778661,0.021228,0.179117,0.799889,0.020993,0.160535,0.820883,0.018582,0.142372,0.839465,0.018163,0.126471,0.857628,0.0159,0.11111,0.873529,0.015361,0.09781,0.88889,0.0133,0.08511,0.90219,0.0127,0.074234,0.91489,0.010876,0.063969,0.925766,0.010265,0.055274,0.936031,0.008694,0.635096,0.364904,0.62736244,5,44,0.533262,0.49857,0,"own-line (no known-vintage feed); shrink computed + flagged, never silently applied",,,,,,,,,,,,,,,,,,0,,,
slate,2026_01_SF_LA,2026-09-10,2026,1,LA,SF,Melbourne Cricket Ground,20:35,91-57,85-62,0.63177871,0.36547129,0.00275,0.63352089,24.8577,20.3802,4.4775,45.2379,5,45,3.5,48.5,1,0.539682,,0.402851,0.597149,,0.539682,0.508448,0.460318,0.491552,0.911369,0.011779,0.898304,0.013065,0.883898,0.014407,0.868104,0.015794,0.850888,0.017215,0.832233,0.018655,0.812134,0.020099,0.790606,0.021528,0.76768,0.022926,0.743407,0.024273,0.717857,0.02555,0.69112,0.026737,0.663302,0.027818,0.634529,0.028773,0.631779,0.00275,0.601523,0.030255,0.570767,0.030757,0.539682,0.031085,0.508448,0.031234,0.477246,0.031202,0.446255,0.030991,0.415652,0.030603,0.385606,0.030046,0.356276,0.02933,0.32781,0.028466,0.300341,0.027469,0.273986,0.026355,0.248844,0.025142,0.224997,0.023847,0.943616,0.048229,0.008154,0.933918,0.056384,0.009699,0.923631,0.066082,0.010286,0.911545,0.076369,0.012086,0.89888,0.088455,0.012666,0.884173,0.10112,0.014707,0.86894,0.115827,0.015233,0.851455,0.13106,0.017485,0.833554,0.148545,0.017902,0.813237,0.166446,0.020316,0.792673,0.186763,0.020564,0.769598,0.207327,0.023075,0.746507,0.230402,0.023092,0.720888,0.253493,0.025619,0.695539,0.279112,0.025349,0.667733,0.304461,0.027806,0.640531,0.332267,0.027202,0.611031,0.359469,0.0295,0.582496,0.388969,0.028535,0.551903,0.417504,0.030593,0.522643,0.448097,0.02926,0.491633,0.477357,0.031011,0.462306,0.508367,0.029327,0.431582,0.537694,0.030724,0.402851,0.568418,0.028731,0.3731,0.597149,0.029752,0.345588,0.6269,0.027511,0.317429,0.654412,0.028159,0.29168,0.682571,0.025749,0.26563,0.70832,0.02605,0.242073,0.73437,0.023556,0.218519,0.757927,0.023555,0.197454,0.781481,0.021065,0.176636,0.802546,0.020818,0.158223,0.823364,0.018412,0.140238,0.841777,0.017986,0.124505,0.859762,0.015732,0.109316,0.875495,0.015189,0.096175,0.890684,0.013141,0.083635,0.903825,0.01254,0.072905,0.916365,0.01073,0.062785,0.927095,0.010121,0.054219,0.937215,0.008565,0.633521,0.366479,0.62688053,5,47,0.532784,0.455368,0,"own-line (no known-vintage feed); shrink computed + flagged, never silently applied",,,,,,,,,,,,,,,,,,0,,,
slate,2026_01_CHI_CAR,2026-09-13,2026,1,CAR,CHI,Bank of America Stadium,13:00,44-90,61-76,0.46915087,0.52809913,0.00275,0.47044459,21.7946,22.7682,-0.9736,44.5628,-1,45,-2.5,47.5,1,0.534469,,0.411541,0.588459,,0.534469,0.503235,0.465531,0.496765,0.826809,0.019135,0.806235,0.020574,0.78424,0.021995,0.760861,0.023379,0.736153,0.024708,0.710191,0.025962,0.683067,0.027123,0.654893,0.028174,0.625797,0.029096,0.595922,0.029876,0.565423,0.030498,0.534469,0.030954,0.503235,0.031234,0.471901,0.031334,0.469151,0.00275,0.438161,0.03099,0.407607,0.030554,0.377658,0.029949,0.348472,0.029185,0.320196,0.028276,0.292961,0.027235,0.26688,0.026081,0.24205,0.02483,0.218547,0.023503,0.19643,0.022117,0.175737,0.020693,0.156488,0.019249,0.138686,0.017802,0.122318,0.016368,0.937695,0.053461,0.008843,0.927211,0.062305,0.010485,0.916149,0.072789,0.011062,0.903189,0.083851,0.01296,0.889681,0.096811,0.013508,0.874036,0.110319,0.015645,0.857923,0.125964,0.016114,0.839467,0.142077,0.018456,0.820679,0.160533,0.018787,0.799397,0.179321,0.021282,0.777982,0.200603,0.021415,0.753989,0.222018,0.023993,0.730124,0.246011,0.023865,0.70368,0.269876,0.026444,0.677678,0.29632,0.026002,0.649184,0.322322,0.028494,0.621489,0.350816,0.027696,0.591477,0.378511,0.030012,0.562641,0.408523,0.028837,0.531743,0.437359,0.030898,0.502396,0.468257,0.029348,0.471306,0.497604,0.03109,0.442114,0.528694,0.029192,0.411541,0.557886,0.030573,0.383163,0.588459,0.028378,0.353781,0.616837,0.029382,0.326819,0.646219,0.026962,0.299223,0.673181,0.027596,0.274188,0.700777,0.025035,0.248859,0.725812,0.025329,0.226141,0.751141,0.022718,0.20342,0.773859,0.022721,0.183272,0.79658,0.020148,0.163351,0.816728,0.01992,0.145886,0.836649,0.017465,0.128816,0.854114,0.01707,0.114018,0.871184,0.014798,0.099721,0.885982,0.014297,0.087465,0.900279,0.012256,0.075759,0.912535,0.011706,0.065836,0.924241,0.009922,0.056467,0.934164,0.009369,0.048614,0.943533,0.007853,0.470445,0.529555,0.45196613,-2,46,0.516074,0.457998,0,"own-line (no known-vintage feed); shrink computed + flagged, never silently applied",,,,,,,,,,,,,,,,,,0,,,
slate,2026_01_TB_CIN,2026-09-13,2026,1,CIN,TB,Paycor Stadium,13:00,63-75-1,77-66,0.64147995,0.35577005,0.00275,0.64324889,24.3353,19.5172,4.8181,43.8525,5,44,3.5,51.5,1,0.549844,,0.281127,0.718873,,0.549844,0.518645,0.450156,0.481355,0.915502,0.011374,0.902862,0.01264,0.888898,0.013964,0.873561,0.015337,0.856813,0.016748,0.83863,0.018183,0.819005,0.019626,0.797944,0.02106,0.775476,0.022469,0.751643,0.023833,0.72651,0.025133,0.700159,0.02635,0.672693,0.027466,0.64423,0.028463,0.64148,0.00275,0.611435,0.030045,0.580833,0.030602,0.549844,0.030989,0.518645,0.031199,0.487415,0.03123,0.456335,0.03108,0.425583,0.030752,0.39533,0.030253,0.365738,0.029591,0.33696,0.028778,0.309133,0.027827,0.28238,0.026753,0.256806,0.025574,0.232499,0.024306,0.930826,0.059554,0.00962,0.919483,0.069174,0.011344,0.907542,0.080517,0.01194,0.893633,0.092458,0.013909,0.879166,0.106367,0.014467,0.862512,0.120834,0.016655,0.845392,0.137488,0.01712,0.825908,0.154608,0.019484,0.806109,0.174092,0.019799,0.783832,0.193891,0.022277,0.761453,0.216168,0.02238,0.736555,0.238547,0.024897,0.711826,0.263445,0.024729,0.684624,0.288174,0.027202,0.657911,0.315376,0.026714,0.628859,0.342089,0.029052,0.600648,0.371141,0.028211,0.570316,0.399352,0.030332,0.541193,0.429684,0.029123,0.510237,0.458807,0.030956,0.480847,0.489763,0.02939,0.449967,0.519153,0.030881,0.420975,0.550033,0.028992,0.390864,0.579025,0.030111,0.362909,0.609136,0.027955,0.33421,0.637091,0.028699,0.307863,0.66579,0.026348,0.281127,0.692137,0.026735,0.256854,0.718873,0.024273,0.232509,0.743146,0.024345,0.21065,0.767491,0.021859,0.188981,0.78935,0.021669,0.169739,0.811019,0.019242,0.150887,0.830261,0.018853,0.134329,0.849113,0.016558,0.118295,0.865671,0.016034,0.104367,0.881705,0.013928,0.091036,0.895633,0.013331,0.079582,0.908964,0.011453,0.068747,0.920418,0.010836,0.059539,0.931253,0.009208,0.050929,0.940461,0.00861,0.043692,0.949071,0.007237,0.643249,0.356751,0.62990411,5,48,0.535936,0.409289,0,"own-line (no known-vintage feed); shrink computed + flagged, never silently applied",,,,,,,,,,,,,,,,,,0,,,
slate,2026_01_NO_DET,2026-09-13,2026,1,DET,NO,Ford Field,13:00,64-71-2,76-62,0.45090548,0.54634452,0.00275,0.45214889,22.811,24.3894,-1.5784,47.2004,-2,47,7.0,49.5,1,0.252214,0.025345,0.430464,0.569536,,0.277558,0.252214,0.722442,0.747786,0.814656,0.019941,0.793285,0.021371,0.770511,0.022773,0.746383,0.024128,0.720966,0.025417,0.694345,0.026621,0.666623,0.027722,0.637921,0.028702,0.608376,0.029545,0.578139,0.030237,0.547373,0.030766,0.516251,0.031122,0.484951,0.0313,0.453655,0.031296,0.450905,0.00275,0.420161,0.030745,0.389952,0.030209,0.360443,0.029509,0.331786,0.028658,0.304117,0.027669,0.277558,0.026559,0.252214,0.025345,0.228168,0.024046,0.205488,0.022681,0.184218,0.021269,0.164388,0.01983,0.146007,0.018381,0.129067,0.01694,0.113546,0.015521,0.958612,0.035053,0.006335,0.950987,0.041388,0.007625,0.942811,0.049013,0.008176,0.93309,0.057189,0.009721,0.922795,0.06691,0.010296,0.910694,0.077205,0.012101,0.89803,0.089306,0.012663,0.883313,0.10197,0.014717,0.868092,0.116687,0.015221,0.850598,0.131908,0.017494,0.832714,0.149402,0.017884,0.812385,0.167286,0.02033,0.791842,0.187615,0.020543,0.768745,0.208158,0.023097,0.745674,0.231255,0.023071,0.720021,0.254326,0.025653,0.694691,0.279979,0.02533,0.666838,0.305309,0.027854,0.639652,0.333162,0.027186,0.61009,0.360348,0.029561,0.58157,0.38991,0.028521,0.550905,0.41843,0.030665,0.52166,0.449095,0.029245,0.490572,0.47834,0.031088,0.461265,0.509428,0.029308,0.430464,0.538735,0.030801,0.40176,0.569536,0.028704,0.371937,0.59824,0.029823,0.344464,0.628063,0.027474,0.316245,0.655536,0.028219,0.290546,0.683755,0.025699,0.264452,0.709454,0.026094,0.240959,0.735548,0.023493,0.217378,0.759041,0.02358,0.196388,0.782622,0.02099,0.175562,0.803612,0.020826,0.157234,0.824438,0.018329,0.139256,0.842766,0.017978,0.123613,0.860744,0.015643,0.108445,0.876387,0.015168,0.095394,0.891555,0.01305,0.082885,0.904606,0.01251,0.072242,0.917115,0.010642,0.452149,0.547851,0.64298687,5,48,0.425461,0.464597,0,"own-line (no known-vintage feed); shrink computed + flagged, never silently applied",,,,,,,,,,,,,,,,,,0,,,
slate,2026_01_BUF_HOU,2026-09-13,2026,1,HOU,BUF,Reliant Stadium,13:00,68-73-1,97-50,0.49815549,0.49909451,0.00275,0.49952919,21.9866,22.0022,-0.0156,43.9888,0,44,-1.5,44.5,1,0.532158,,0.485011,0.514989,,0.532158,0.500905,0.467842,0.499095,0.844624,0.017797,0.825384,0.01924,0.804704,0.02068,0.782603,0.022101,0.759121,0.023483,0.734313,0.024808,0.708256,0.026057,0.681044,0.027212,0.65279,0.028254,0.623624,0.029166,0.593689,0.029934,0.563145,0.030545,0.532158,0.030987,0.500905,0.031253,0.498155,0.00275,0.466912,0.031243,0.435942,0.03097,0.405421,0.030521,0.375518,0.029904,0.346389,0.029128,0.318181,0.028208,0.291021,0.027159,0.265024,0.025998,0.240282,0.024742,0.216872,0.02341,0.194849,0.022023,0.174252,0.020597,0.155099,0.019153,0.137391,0.017707,0.932126,0.058419,0.009455,0.920948,0.067874,0.011178,0.909202,0.079052,0.011746,0.89548,0.090798,0.013723,0.881232,0.10452,0.014247,0.864776,0.118768,0.016456,0.847892,0.135224,0.016884,0.828607,0.152108,0.019285,0.809049,0.171393,0.019558,0.786956,0.190951,0.022093,0.764808,0.213044,0.022148,0.740064,0.235192,0.024744,0.715542,0.259936,0.024522,0.688448,0.284458,0.027094,0.661904,0.311552,0.026544,0.632903,0.338096,0.029001,0.604815,0.367097,0.028088,0.574471,0.395185,0.030345,0.545418,0.425529,0.029053,0.514384,0.454582,0.031033,0.485011,0.485616,0.029373,0.453993,0.514989,0.031019,0.424969,0.546007,0.029024,0.394668,0.575031,0.030301,0.366639,0.605332,0.028029,0.337712,0.633361,0.028927,0.311258,0.662288,0.026454,0.28427,0.688742,0.026987,0.259869,0.71573,0.024401,0.235262,0.740131,0.024607,0.213265,0.764738,0.021998,0.191338,0.786735,0.021927,0.171956,0.808662,0.019382,0.152859,0.828044,0.019097,0.136167,0.847141,0.016691,0.11991,0.863833,0.016257,0.10586,0.88009,0.01405,0.092332,0.89414,0.013528,0.080771,0.907668,0.011561,0.069767,0.919229,0.011004,0.060467,0.930233,0.0093,0.051716,0.939533,0.008751,0.044403,0.948284,0.007313,0.499529,0.500471,0.4818566,-1,44,0.514605,0.484238,0,"own-line (no known-vintage feed); shrink computed + flagged, never silently applied",,,,,,,,,,,,,,,,,,0,,,
slate,2026_01_BAL_IND,2026-09-13,2026,1,IND,BAL,Lucas Oil Stadium,13:00,67-68-1,89-53,0.41411391,0.58313609,0.00275,0.41525587,20.0263,22.8363,-2.81,42.8626,-3,43,-3.5,48.5,1,0.510488,,0.335172,0.664828,,0.510488,0.479176,0.489512,0.520824,0.789691,0.021739,0.766565,0.023126,0.742105,0.024461,0.71638,0.025725,0.689481,0.026899,0.661514,0.027967,0.632603,0.028911,0.602887,0.029716,0.572518,0.030369,0.541661,0.030857,0.510488,0.031173,0.479176,0.031311,0.447908,0.031268,0.416864,0.031044,0.414114,0.00275,0.384041,0.030073,0.354694,0.029347,0.326221,0.028473,0.298757,0.027463,0.272422,0.026336,0.247314,0.025108,0.223516,0.023798,0.20109,0.022425,0.180081,0.021009,0.160512,0.019569,0.142391,0.018121,0.125708,0.016683,0.110439,0.01527,0.096543,0.013895,0.920683,0.068551,0.010766,0.908067,0.079317,0.012616,0.894863,0.091933,0.013204,0.879573,0.105137,0.01529,0.863768,0.120427,0.015806,0.845674,0.136232,0.018094,0.827194,0.154326,0.018481,0.806272,0.172806,0.020922,0.785153,0.193728,0.021118,0.761506,0.214847,0.023648,0.737913,0.238494,0.023593,0.711781,0.262087,0.026132,0.686011,0.288219,0.02577,0.657778,0.313989,0.028233,0.630255,0.342222,0.027523,0.600432,0.369745,0.029823,0.571694,0.399568,0.028739,0.540897,0.428306,0.030797,0.51156,0.459103,0.029337,0.480473,0.48844,0.031088,0.451199,0.519527,0.029274,0.420525,0.548801,0.030674,0.391972,0.579475,0.028553,0.362392,0.608028,0.029581,0.335172,0.637608,0.02722,0.307291,0.664828,0.027881,0.281929,0.692709,0.025362,0.256246,0.718071,0.025682,0.23315,0.743754,0.023096,0.210028,0.76685,0.023121,0.189472,0.789972,0.020557,0.169127,0.810528,0.020345,0.151244,0.830873,0.017883,0.133748,0.848756,0.017496,0.118543,0.866252,0.015205,0.103835,0.881457,0.014708,0.091197,0.896165,0.012637,0.079113,0.908803,0.012085,0.068845,0.920887,0.010267,0.059139,0.931155,0.009707,0.050984,0.940861,0.008154,0.043362,0.949016,0.007622,0.037031,0.956638,0.006331,0.415256,0.584744,0.41430649,-3,46,0.509478,0.430857,0,"own-line (no known-vintage feed); shrink computed + flagged, never silently applied",,,,,,,,,,,,,,,,,,0,,,
slate,2026_01_CLE_JAX,2026-09-13,2026,1,JAX,CLE,EverBank Stadium,13:00,51-85,59-76-1,0.77507753,0.22217247,0.00275,0.77721487,28.2475,18.2519,9.9956,46.4994,10,47,7.5,40.5,1,0.579961,,0.675279,0.324721,,0.579961,0.549288,0.420039,0.450712,0.961047,0.006064,0.954108,0.006939,0.946215,0.007893,0.937288,0.008927,0.92725,0.010038,0.916029,0.011221,0.903559,0.01247,0.889781,0.013778,0.874646,0.015135,0.858118,0.016529,0.840172,0.017946,0.8208,0.019372,0.80001,0.02079,0.777828,0.022182,0.775078,0.00275,0.750255,0.024822,0.724225,0.026031,0.697084,0.02714,0.66895,0.028134,0.639953,0.028997,0.610237,0.029715,0.579961,0.030277,0.549288,0.030673,0.518392,0.030896,0.487447,0.030945,0.45663,0.030817,0.426114,0.030516,0.396068,0.030046,0.366651,0.029417,0.954415,0.038596,0.006988,0.946109,0.045585,0.008307,0.937128,0.053891,0.008981,0.926595,0.062872,0.010533,0.915347,0.073405,0.011248,0.902325,0.084653,0.013022,0.888587,0.097675,0.013738,0.872876,0.111413,0.01571,0.856497,0.127124,0.01638,0.83799,0.143503,0.018507,0.818917,0.16201,0.019073,0.79762,0.181083,0.021297,0.77592,0.20238,0.0217,0.751969,0.22408,0.023951,0.727839,0.248031,0.02413,0.70151,0.272161,0.026329,0.675279,0.29849,0.026231,0.646984,0.324721,0.028295,0.619104,0.353016,0.027879,0.589373,0.380896,0.029731,0.5604,0.410627,0.028973,0.529855,0.4396,0.030545,0.500414,0.470145,0.029441,0.469729,0.499586,0.030685,0.440476,0.530271,0.029253,0.410336,0.559524,0.03014,0.381915,0.589664,0.028421,0.352969,0.618085,0.028946,0.32597,0.647031,0.026999,0.298789,0.67403,0.027181,0.273711,0.701211,0.025078,0.248756,0.726289,0.024955,0.225981,0.751244,0.022775,0.20358,0.774019,0.022401,0.183357,0.79642,0.020223,0.163697,0.816643,0.01966,0.146141,0.836303,0.017556,0.129273,0.853859,0.016869,0.114372,0.870727,0.0149,0.100221,0.885628,0.014151,0.087857,0.899779,0.012364,0.076252,0.912143,0.011605,0.066222,0.923748,0.01003,0.777215,0.222785,0.74684804,9,42,0.541667,0.552625,0,"own-line (no known-vintage feed); shrink computed + flagged, never silently applied",,,,,,,,,,,,,,,,,,0,,,
slate,2026_01_ATL_PIT,2026-09-13,2026,1,PIT,ATL,Acrisure Stadium,13:00,77-59-2,55-78,0.55861054,0.43863946,0.00275,0.56015096,22.406,20.4191,1.9869,42.8251,2,43,3.5,41.5,1,0.464817,,0.539603,0.460397,,0.464817,0.43388,0.535183,0.56612,0.877831,0.015039,0.861387,0.016444,0.84351,0.017877,0.824188,0.019322,0.803426,0.020762,0.781244,0.022182,0.757683,0.023561,0.7328,0.024883,0.706674,0.026126,0.6794,0.027273,0.651094,0.028306,0.621886,0.029208,0.591922,0.029964,0.561361,0.030561,0.558611,0.00275,0.527363,0.031247,0.496038,0.031325,0.464817,0.031221,0.43388,0.030937,0.403402,0.030478,0.373551,0.029852,0.344481,0.029069,0.316337,0.028144,0.289246,0.027091,0.263318,0.025928,0.238647,0.024671,0.215307,0.02334,0.193353,0.021954,0.172821,0.020531,0.919775,0.069448,0.010776,0.907121,0.080225,0.012654,0.893915,0.092879,0.013206,0.878589,0.106085,0.015325,0.862785,0.121411,0.015804,0.844655,0.137215,0.018131,0.826176,0.155345,0.018479,0.805213,0.173824,0.020963,0.784092,0.194787,0.02112,0.760399,0.215908,0.023693,0.736801,0.239601,0.023599,0.710621,0.263199,0.02618,0.684842,0.289379,0.025779,0.656563,0.315158,0.02828,0.629032,0.343437,0.027531,0.599169,0.370968,0.029862,0.570427,0.400831,0.028742,0.539603,0.429573,0.030824,0.510271,0.460397,0.029332,0.479173,0.489729,0.031099,0.449915,0.520827,0.029258,0.419249,0.550085,0.030665,0.390725,0.580751,0.028525,0.361171,0.609275,0.029553,0.333991,0.638829,0.02718,0.306156,0.666009,0.027836,0.280843,0.693844,0.025313,0.255219,0.719157,0.025624,0.232178,0.744781,0.02304,0.209125,0.767822,0.023054,0.188627,0.790875,0.020498,0.168354,0.811373,0.020273,0.150529,0.831646,0.017825,0.133105,0.849471,0.017425,0.117954,0.866895,0.015151,0.103314,0.882046,0.01464,0.090725,0.896686,0.012589,0.078701,0.909275,0.012024,0.068476,0.921299,0.010225,0.058822,0.931524,0.009654,0.050702,0.941178,0.008119,0.043124,0.949298,0.007578,0.03682,0.956876,0.006303,0.560151,0.439849,0.60456378,4,42,0.509691,0.50265,0,"own-line (no known-vintage feed); shrink computed + flagged, never silently applied",,,,,,,,,,,,,,,,,,0,,,
slate,2026_01_NYJ_TEN,2026-09-13,2026,1,TEN,NYJ,Nissan Stadium,13:00,62-76,39-94,0.51970334,0.47754666,0.00275,0.52113646,21.7414,21.0456,0.6958,42.787,1,43,1.5,38.5,1,0.488374,,0.627988,0.372012,,0.488374,0.457194,0.511626,0.542806,0.857167,0.016821,0.838909,0.018258,0.819207,0.019702,0.798068,0.021139,0.775519,0.022549,0.751603,0.023916,0.726384,0.025219,0.699945,0.026439,0.672385,0.02756,0.643824,0.028562,0.614395,0.029429,0.584248,0.030147,0.553544,0.030704,0.522453,0.03109,0.519703,0.00275,0.488374,0.031329,0.457194,0.031181,0.426341,0.030853,0.39599,0.030351,0.366307,0.029684,0.337444,0.028863,0.309541,0.027903,0.282723,0.026818,0.257096,0.025627,0.232749,0.024347,0.209751,0.022998,0.188153,0.021598,0.167986,0.020166,0.149265,0.018721,0.919383,0.069796,0.010822,0.906677,0.080617,0.012706,0.893422,0.093323,0.013255,0.878042,0.106578,0.01538,0.862188,0.121958,0.015854,0.844001,0.137812,0.018187,0.825474,0.155999,0.018528,0.804455,0.174526,0.021019,0.78329,0.195545,0.021165,0.759543,0.21671,0.023746,0.735905,0.240457,0.023638,0.709676,0.264095,0.026229,0.683865,0.290324,0.025811,0.655542,0.316135,0.028323,0.627988,0.344458,0.027554,0.59809,0.372012,0.029898,0.569334,0.40191,0.028756,0.538484,0.430666,0.03085,0.50915,0.461516,0.029334,0.478036,0.49085,0.031114,0.448787,0.521964,0.029248,0.418118,0.551213,0.03067,0.389615,0.581882,0.028503,0.360069,0.610385,0.029546,0.332921,0.639931,0.027147,0.305104,0.667079,0.027817,0.279834,0.694896,0.02527,0.254238,0.720166,0.025596,0.231248,0.745762,0.02299,0.208231,0.768752,0.023017,0.187788,0.791769,0.020442,0.167558,0.812212,0.020231,0.149792,0.832442,0.017766,0.132412,0.850208,0.01738,0.11732,0.867588,0.015092,0.102726,0.88268,0.014594,0.090193,0.897274,0.012532,0.078214,0.909807,0.01198,0.068041,0.921786,0.010173,0.058428,0.931959,0.009613,0.050355,0.941572,0.008073,0.042813,0.949645,0.007542,0.03655,0.957187,0.006263,0.521136,0.478864,0.55147789,2,40,0.518651,0.534673,0,"own-line (no known-vintage feed); shrink computed + flagged, never silently applied",,,,,,,,,,,,,,,,,,0,,,
