feature,shap_value,signed_effect,perspective_team
elo_diff,-0.132352,negative,IND
win_pct_diff,-0.087968,negative,IND
elo_home,-0.078411,negative,IND
elo_away,-0.071595,negative,IND
ewm_net_pts_diff,-0.070394,negative,IND
ewm_net_pts_home,-0.058983,negative,IND
ewm_ypp_diff,-0.057228,negative,IND
pace_plays_min_diff,0.040993,positive,IND
ewm_ypp_away,-0.034931,negative,IND
ewm_net_pts_away,-0.028212,negative,IND
travel_miles_diff,0.020933,positive,IND
altitude_home,0.020887,positive,IND
win_pct_away,-0.015686,negative,IND
win_pct_home,-0.014148,negative,IND
rest_days_away,-0.014089,negative,IND
ewm_ypp_home,0.00395,positive,IND
div_game,0.002417,positive,IND
rest_days_home,-0.002159,negative,IND
prime_time,-0.001988,negative,IND
rest_days_diff,-0.001186,negative,IND
rest_short_diff,-0.000426,negative,IND
is_dome_home,-0.000117,negative,IND
